Relative Power Output [%];Efficiency [%];Efficiency [-];Specific Fuel Consumption [liter/kWh];;;;;;
0;0,001;0,000;9861,932939;;;;Size;23;kW
1;1,805157594;0,018;5,463197768;;;;Fuel LHV;10,14;kWh/liter
2;2,908309456;0,029;3,39095034;;;;;;
3;4,512893983;0,045;2,185279108;;;;;;
4;5,616045845;0,056;1,756027855;;;;;;
5;6,618911175;0,066;1,489963028;;;;;;
6;7,621776505;0,076;1,293915261;;;;;;
7;8,524355301;0,085;1,156912469;;;;;;
8;9,426934098;0,094;1,046144254;;;;;;
9;10,63037249;0,106;0,927712829;;;;;;
10;11,73352436;0,117;0,840491964;;;;;;
11;12,13467048;0,121;0,812707107;;;;;;
12;13,13753582;0,131;0,750668396;;;;;;
13;13,43839542;0,134;0,733862387;;;;;;
14;14,44126074;0,144;0,682899722;;;;;;
15;15,04297995;0,150;0,655583732;;;;;;
16;15,8452722;0,158;0,62238962;;;;;;
17;16,44699141;0,164;0,599619267;;;;;;
18;16,64756447;0,166;0,592394939;;;;;;
19;17,44985673;0,174;0,56515839;;;;;;
20;18,05157594;0,181;0,546319777;;;;;;
21;18,65329513;0,187;0,528696558;;;;;;
22;18,95415473;0,190;0,52030455;;;;;;
23;19,1547278;0,192;0,514856334;;;;;;
24;19,85673353;0,199;0,496654343;;;;;;
25;20,05730659;0,201;0,491687799;;;;;;
26;20,65902579;0,207;0,477366795;;;;;;
27;21,06017193;0,211;0,468274094;;;;;;
28;21,86246418;0,219;0,451089724;;;;;;
29;22,16332379;0,222;0,444966334;;;;;;
30;22,46418338;0,225;0,439006964;;;;;;
31;22,76504298;0,228;0,43320511;;;;;;
32;23,26647565;0,233;0,423868792;;;;;;
33;23,46704871;0,235;0,420245982;;;;;;
34;23,86819484;0,239;0,413183025;;;;;;
35;24,26934098;0,243;0,406353553;;;;;;
36;24,46991404;0,245;0,403022786;;;;;;
37;24,67048711;0,247;0,399746178;;;;;;
38;25,17191977;0,252;0,391783107;;;;;;
39;25,37249284;0,254;0,388686007;;;;;;
40;25,5730659;0,256;0,38563749;;;;;;
41;26,07449857;0,261;0,378221384;;;;;;
42;26,27507164;0,263;0,375334198;;;;;;
43;26,57593124;0,266;0,371085131;;;;;;
44;26,7765043;0,268;0,368305468;;;;;;
45;27,07736389;0,271;0,364213185;;;;;;
46;27,47851003;0,275;0,358896204;;;;;;
47;27,6790831;0,277;0,356295507;;;;;;
48;27,77936962;0,278;0,355009242;;;;;;
49;27,87965616;0,279;0,35373223;;;;;;
50;28,28080229;0,283;0,348714751;;;;;;
51;28,38108883;0,284;0,347482544;;;;;;
52;28,78223496;0,288;0,342639581;;;;;;
53;28,98280802;0,290;0,340268373;;;;;;
54;28,8825215;0,289;0,341449861;;;;;;
55;29,48424069;0,295;0,334481496;;;;;;
56;29,48424069;0,295;0,334481496;;;;;;
57;29,78510029;0,298;0,331102895;;;;;;
58;29,88538682;0,299;0,329991812;;;;;;
59;30,18624642;0,302;0,326702857;;;;;;
60;30,18624642;0,302;0,326702857;;;;;;
61;30,48710602;0,305;0,323478815;;;;;;
62;30,48710602;0,305;0,323478815;;;;;;
63;30,48710602;0,305;0,323478815;;;;;;
64;30,88825215;0,309;0,319277792;;;;;;
65;30,98853868;0,310;0,31824453;;;;;;
66;31,08587917;0,311;0,317247998;;;;;;
67;31,18911175;0,312;0,316197942;;;;;;
68;31,28939828;0,313;0,315184487;;;;;;
69;31,38968482;0,314;0,314177508;;;;;;
70;31,59025788;0,316;0,31218273;;;;;;
71;31,79083095;0,318;0,310213123;;;;;;
72;31,89111747;0,319;0,30923761;;;;;;
73;32,09169055;0,321;0,307304875;;;;;;
74;32,09169055;0,321;0,307304875;;;;;;
75;32,19197708;0,322;0,306347539;;;;;;
76;32,59312322;0,326;0,302577107;;;;;;
77;32,59312322;0,326;0,302577107;;;;;;
78;32,69340974;0,327;0,301648957;;;;;;
79;32,89398281;0,329;0,299809634;;;;;;
80;33,09455587;0,331;0,297992606;;;;;;
81;33,19484241;0,332;0,297092326;;;;;;
82;33,09455587;0,331;0,297992606;;;;;;
83;33,29512894;0,333;0,29619747;;;;;;
84;33,29512894;0,333;0,29619747;;;;;;
85;33,59598854;0,336;0,293544955;;;;;;
86;33,59598854;0,336;0,293544955;;;;;;
87;33,7965616;0,338;0,291802848;;;;;;
88;33,7965616;0,338;0,291802848;;;;;;
89;33,89684814;0,339;0,290939526;;;;;;
90;33,99713467;0,340;0,290081298;;;;;;
91;33,99713467;0,340;0,290081298;;;;;;
92;34,29799427;0,343;0,287536725;;;;;;
93;34,29799427;0,343;0,287536725;;;;;;
94;34,29799427;0,343;0,287536725;;;;;;
95;34,49856733;0,345;0,285865;;;;;;
96;34,49856733;0,345;0,285865;;;;;;
97;34,59885387;0,346;0,285036405;;;;;;
98;34,59885387;0,346;0,285036405;;;;;;
99;34,6991404;0,347;0,284212601;;;;;;
100;35;0,350;0,281769513;;;;;;
