Periods,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
1,2199.905498,2369.90829,2441.600717,2542.310874,2690.8009,2797.569908,3015.460738,3164.792093,3271.77021,3375.332635,3584.953402,3721.464372,3789.693536,3875.824057,4034.814875,4286.378611,4280.501265,4461.748571,4407.89286,4628.999622
2,4055.905283,4312.610563,4484.600483,4662.250567,4987.575716,5055.220851,5542.59965,5752.505028,5813.969227,6084.705579,6377.23877,6523.069568,6876.58109,7172.998279,7271.724624,7481.295903,7909.04422,8024.93189,8136.787514,8377.642346
3,7615.789386,8125.837928,8510.377403,8834.70747,9436.168947,9623.92024,10535.05172,10810.04311,11292.2648,11716.69483,12210.55939,12430.89702,13099.50718,13560.13238,13986.68039,14222.61742,14929.49338,15260.19426,15791.31974,16152.42225
4,11278.10651,12004.8672,12658.26636,13252.37025,14140.01912,14540.9346,15774.06011,16159.53358,16774.47979,17450.25727,18246.93317,18824.99224,19531.15468,20176.25752,20873.94586,21406.4436,22438.92303,22833.64666,23600.6244,24314.75733
5,15321.73677,16172.62135,17096.77255,18003.64603,19261.65591,19613.88,21154.95012,21654.80029,22537.9995,23501.47973,24674.2322,25331.41259,26434.40657,27196.06442,28258.50391,28861.9612,30217.39315,30651.40095,31699.46931,32776.71074
6,21777.52058,22535.27535,24158.55244,25143.12289,27229.78714,28037.6033,29483.20865,30783.99807,31646.74943,32948.53846,34963.75235,35279.73557,37403.98267,38474.34344,39903.58952,40634.51679,42094.38086,43008.72604,45538.29408,46193.99807
7,48105.57244,50538.886,53383.39253,55947.72149,59264.36342,61335.43778,65615.51017,67393.65898,70631.74758,73451.60732,75662.07093,78732.63948,81218.00041,85098.82398,87204.72464,89180.11345,92269.45363,95770.06576,99118.34067,101582.403
8,170258.5454,185244.5677,194848.5582,205138.6867,216422.0689,222966.5733,235604.4354,246072.0594,255266.971,262982.7817,273856.3052,284838.4126,296747.7673,306717.3963,312983.1155,328558.3205,338279.5109,352599.6897,363930.9093,364392.2586
9,241479.9577,256183.2248,268552.9022,282658.4605,293159.2309,311739.0076,329239.5174,346587.8333,352016.8627,367129.8403,378959.6682,397111.1504,406435.0762,416771.8128,441263.6763,451690.8116,469234.5799,477723.3693,495227.4533,505200.2179
10,199250.7121,204070.7135,220229.5175,231518.1355,244103.9716,253925.7545,262824.4717,282737.4638,293233.0552,306171.71,310962.126,324144.3979,337569.0672,354217.6228,364647.1895,375514.5125,377151.1986,394238.4438,415231.9322,420932.4843
11,180950.8647,185231.7334,201868.1006,211013.488,223072.9346,235062.309,238996.271,250380.5353,254829.8667,269538.0027,290870.9264,291007.4768,309556.9212,314762.8431,329857.776,338569.0167,342688.9586,340914.9033,365488.0221,376640.8219
12,164423.1154,172973.6794,183890.2077,201245.7036,203712.4614,217583.0028,223909.0556,238162.4087,241803.0889,258145.5196,269998.5942,277833.2934,275601.261,307720.8954,309748.9834,315806.3204,335740.585,337082.3927,341950.2637,355993.287
13,154926.9739,158840.2793,166258.9315,179886.4227,188397.4306,205549.621,204386.8304,215607.0012,220032.4499,238857.6041,245563.9751,256369.968,250991.5612,282411.1956,286583.4761,286143.5555,301276.4219,299762.704,317786.1471,324774.7177
14,149212.0817,158557.0177,167545.6421,172354.1716,181666.2628,199723.3768,200467.6509,209363.5809,216485.3156,230413.3003,236234.4382,245416.1987,251836.0082,265814.9809,274485.6812,278757.5257,287161.8973,291397.0222,310730.0385,324888.4648
15,152773.9876,161501.6268,178163.2312,185577.457,194570.0948,217308.5371,213915.2348,222792.2949,238688.2286,233416.1076,246333.8475,263598.5447,268389.3698,270404.8503,286888.7664,292640.0765,305326.5598,310811.6168,320662.1704,335727.2035
16,164264.2628,173804.1681,187325.9736,201298.5069,212128.6643,213533.8228,231388.7057,235229.0988,245726.681,251313.3427,268763.5592,279880.5157,289753.5186,287864.0558,302312.6459,313940.7337,328361.3059,343181.4056,337749.8983,354485.2974
17,165924.1397,172045.1155,179472.7752,199453.3621,215277.5612,216155.4637,239267.1681,236766.9743,240545.1376,263522.4852,277619.2156,278064.2297,298670.124,294761.9324,299600.733,313343.2351,333719.1073,336607.7935,353908.741,356976.4977
18,177101.7633,180425.7524,193180.557,200311.7009,216660.1383,217870.914,243761.6177,242981.5797,247302.1284,270540.5611,270923.9263,290918.6122,312851.0805,308065.5656,316165.962,333559.8508,332990.8025,348263.037,369580.5034,373269.5892
19,196397.2365,207223.6597,219291.9372,228879.3895,242467.496,249172.5221,265165.2855,276985.9318,285864.4582,299646.6766,310600.3878,325422.2703,336977.3585,348430.711,357252.2954,364802.686,376602.6176,392349.4254,412764.3082,418542.0022
20,199057.8212,217533.1749,231169.8946,240825.9123,254531.3219,267094.2944,286786.5029,292507.7822,304010.5483,323692.9013,333404.4581,342189.1166,354360.3632,371706.2703,375436.36,392335.8724,405856.8124,427821.4543,433074.4543,449022.8428
21,204181.2347,218747.6532,231758.369,243489.9777,256509.8214,265048.0048,281040.7793,289689.3541,308645.8798,321322.9079,325702.647,343322.0128,356053.7044,368355.0933,373761.0571,392162.5432,406528.9302,423086.6714,426280.3656,447772.3618
22,166333.6427,177408.4247,186939.9909,197617.2849,205385.87,215402.3457,229298.7846,234235.0829,250017.2978,258120.1666,267169.1414,278793.6813,288340.299,297401.2708,307816.4711,319194.8175,328704.7633,339934.0674,345719.028,357075.0331
23,87720.33427,92139.16629,96849.13518,102300.7765,107859.3298,113026.7468,117087.9201,122106.3856,133213.8449,133419.9446,138243.8662,141885.9963,149846.5468,152940.8674,160381.3857,167221.6606,172832.6741,175482.8474,181456.5275,184979.5036
24,32766.5315,34995.943,36573.96658,38821.1894,41713.38695,42083.20899,43504.12106,46021.39206,49980.28426,50105.4913,53593.19435,54729.70837,56594.05937,58332.96419,63933.4715,62468.70066,64861.29859,65942.4723,71639.58717,69372.54034
25,2199.905498,2369.90829,2441.600717,2542.310874,2690.8009,2797.569908,3015.460738,3164.792093,3271.77021,3375.332635,3584.953402,3721.464372,3789.693536,3875.824057,4034.814875,4286.378611,4280.501265,4461.748571,4407.89286,4628.999622
