Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,827.5012499999988,827.6667502499988,827.8322836000488,827.9978500567687,828.16344962678,828.3290823167054,828.4947481331686,828.6604470827953,828.8261791722118,828.9919444080463
2,782.7509999999992,782.9075501999992,783.0641317100391,783.2207445363811,783.3773886852883,783.5340641630254,783.690770975858,783.8475091300531,784.0042786318792,784.1610794876055
3,744.7510833333329,744.9000335499995,745.0490135567095,745.1980233594209,745.3470629640927,745.4961323766855,745.6452316031608,745.7943606494814,745.9435195216113,746.0927082255156
4,758.2509999999991,758.402650199999,758.554330730039,758.7060415961851,758.8577828045043,759.0095543610652,759.1613562719374,759.3131885431918,759.4650511809004,759.6169441911366
5,672.5016166666666,672.6361169899999,672.7706442133979,672.9051983422405,673.0397793819089,673.1743873377853,673.3090222152529,673.4436840196959,673.5783727564998,673.7130884310511
6,561.0040333333338,561.1162341400005,561.2284573868285,561.3407030783059,561.4529712189216,561.5652618131653,561.677574865528,561.789910380501,561.9022683625772,562.0146488162496
7,395.8568000000004,395.9359713600004,396.0151585542724,396.0943615859832,396.1735804583004,396.2528151743921,396.33206573742694,396.4113321505744,396.4906144170045,396.5699125398879
8,597.4735500000004,597.5930447100004,597.7125633189424,597.8321058316062,597.9516722527725,598.071262587223,598.1908768397404,598.3105150151084,598.4301771181114,598.549863153535
9,589.0266833333324,589.144488669999,589.2623175677329,589.3801700312464,589.4980460652527,589.6159456744657,589.7338688636006,589.8518156373733,589.9697860005008,590.0877799577008
10,829.109366666666,829.2751885399994,829.4410435777073,829.6069317864228,829.7728531727801,829.9388077434146,830.1047955049632,830.2708164640642,830.4368706273569,830.6029580014824
11,2739.591733333334,2740.1396516800005,2740.6876796103365,2741.2358171462583,2741.7840643096874,2742.3324211225495,2742.8808876067737,2743.429463784295,2743.978149677052,2744.5269453069873
12,1936.908349999999,1937.295731669999,1937.6831908163329,1938.0707274544961,1938.458341599987,1938.846033268307,1939.2338024749608,1939.6216492354558,1940.0095735653028,1940.3975754800158
13,1580.82745,1581.14361549,1581.459844213098,1581.7761361819405,1582.0924914091768,1582.4089099074586,1582.7253916894401,1583.041936767778,1583.3585451551314,1583.6752168641624
14,2012.176083333336,2012.5785185500026,2012.9810342537126,2013.3836304605632,2013.7863071866552,2014.1890644480925,2014.5919022609821,2014.9948206414342,2015.3978196055625,2015.8008991694835
15,8680.757016666666,8682.49316807,8684.229666703613,8685.966512636955,8687.703705939482,8689.44124668067,8691.179134930006,8692.917370756992,8694.655954231142,8696.394885421989
16,1519.038833333333,1519.3426410999996,1519.6465096282195,1519.950438930145,1520.254429017931,1520.5584799037345,1520.8625915997152,1521.1667641180352,1521.4709974708587,1521.7752916703528
17,953.7075333333341,953.8982748400008,954.0890544949688,954.2798723058677,954.4707282803288,954.6616224259848,954.85255475047,955.04352526142,955.2345339664722,955.4255808732655
18,905.4726666666674,905.6537612000006,905.8348919522406,906.0160589306311,906.1972621424171,906.3785015948456,906.5597772951645,906.7410892506235,906.9224374684736,907.1038219559673
19,991.0035333333323,991.2017340399989,991.3999743868069,991.5982543816842,991.7965740325606,991.994933347367,992.1933323340364,992.3917710005032,992.5902493547034,992.7887674045743
20,1189.001316666666,1189.2391169299995,1189.4769647533853,1189.714860146336,1189.9528031183652,1190.190793678989,1190.4288318377246,1190.666917604092,1190.9050509876129,1191.1432319978103
21,1262.90055,1263.1531301100001,1263.405760736022,1263.6584418881694,1263.911173576547,1264.1639558112624,1264.4167886024247,1264.6696719601453,1264.9226058945374,1265.1755904157162
22,1119.25,1119.47385,1119.69774477,1119.921684318954,1120.1456686558179,1120.369697789549,1120.593771729107,1120.8178904834529,1121.0420540615496,1121.2662624723619
23,1187.250016666667,1187.4874666700005,1187.7249641633343,1187.962509156167,1188.2001016579982,1188.4377416783298,1188.6754292266653,1188.9131643125106,1189.150946945373,1189.3887771347622
24,1101.250033333333,1101.4702833399997,1101.6905773966678,1101.910915512147,1102.1312976952495,1102.3517239547884,1102.5721942995795,1102.7927087384394,1103.013267280187,1103.233869933643
25,617.8851166666664,618.0086936899996,618.1322954287376,618.2559218878233,618.3795730722009,618.5032489868153,618.6269496366126,618.75067502654,618.8744251615452,618.9982000465775
26,754.985216666667,755.1362137100003,755.2872409527423,755.4382984009328,755.5893860606129,755.740503937825,755.8916520386125,756.0428303690202,756.194038935094,756.345277742881
27,746.0020000000003,746.1512004000002,746.3004306400802,746.4496907262082,746.5989806643535,746.7483004604863,746.8976501205784,747.0470296506026,747.1964390565327,747.345878344344
28,746.0020000000003,746.1512004000002,746.3004306400802,746.4496907262082,746.5989806643535,746.7483004604863,746.8976501205784,747.0470296506026,747.1964390565327,747.345878344344
29,746.0020000000003,746.1512004000002,746.3004306400802,746.4496907262082,746.5989806643535,746.7483004604863,746.8976501205784,747.0470296506026,747.1964390565327,747.345878344344
30,820.4375333333335,820.6016208400001,820.7657411641682,820.929894312401,821.0940802912634,821.2582991073216,821.4225507671431,821.5868352772965,821.7511526443519,821.9155028748808
31,965.0052666666675,965.1982677200008,965.3913073735448,965.5843856350195,965.7775025121465,965.9706580126489,966.1638521442513,966.3570849146802,966.5503563316631,966.7436664029294
32,764.8416333333328,764.9946016599994,765.1476005803314,765.3006301004475,765.4536902264675,765.6067809645128,765.7599023207057,765.9130543011698,766.06623691203,766.2194501594124
33,956.1753999999991,956.366635079999,956.557908407015,956.7492199886964,956.9405698326941,957.1319579466606,957.3233843382499,957.5148490151175,957.7063519849205,957.8978932553175
34,839.9772999999998,840.1452954599997,840.3133245190917,840.4813871839955,840.6494834614323,840.8176133581245,840.9857768807962,841.1539740361723,841.3222048309794,841.4904692719456
35,5841.960066666667,5843.12845868,5844.297084371736,5845.46594378861,5846.635036977368,5847.804363984764,5848.973924857561,5850.143719642532,5851.31374838646,5852.484011136137
