Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006,1991.628240000006
2,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004,1869.169788000004
3,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036,1894.0796160000036
4,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035,2102.6445240000035
5,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002,2117.099280000002
6,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004,2192.190654000004
7,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052,2384.2492740000052
8,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077,2765.9265120000077
9,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076,2923.3945860000076
10,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053,3046.3973100000053
11,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032,3266.8626420000032
12,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005,3348.520746000005
13,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116,3728.0981580000116
14,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011,3970.569438000011
15,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104,3688.8025140000104
16,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007,3489.604518000007
17,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063,3397.5726120000063
18,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012,3633.180414000012
19,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156,3786.1194660000156
20,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002,4198.13274000002
21,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023,3919.574292000023
22,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215,3958.1109900000215
23,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163,3480.8815860000163
24,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013,2758.502604000013
