Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
2,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
3,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
4,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
5,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
6,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998,468.2500149999998
7,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015,1224.94015
8,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332,2918.535503333332
9,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334,2246.302493333334
10,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333,2087.198448333333
11,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334,1861.461638333334
12,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668,1946.403076666668
13,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335,544.8631033333335
14,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334,1008.955568333334
15,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998,4305.296759999998
16,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666,5794.69875666666
17,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332,4023.403018333332
18,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665,527.4994466666665
19,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
20,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
21,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
22,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
23,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
24,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
25,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
26,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
27,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
28,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
29,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0,412.0
30,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331,444.5000333333331
31,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333,883.7836383333333
32,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333,2812.550588333333
33,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665,2966.723881666665
34,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001,2116.803210000001
35,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001,2076.183635000001
36,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667,1725.648386666667
37,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667,469.1344966666667
38,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667,499.8987116666667
