Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,94358.041,99075.94305,104029.7402025,109231.227212625,114692.78857325627,120427.42800191909,126448.79940201505,132771.23937211582,139409.8013407216,146380.29140775767,153699.30597814557,161384.27127705285,169453.48484090553,177926.1590829508,186822.46703709837,196163.59038895328,205971.76990840092,216270.35840382098,227083.87632401203,238438.0701402127
2,96665.37999999998,101498.64899999998,106573.58144999998,111902.26052249999,117497.373548625,123372.24222605626,129540.85433735907,136017.89705422704,142818.7919069384,149959.7315022853,157457.71807739956,165330.60398126955,173597.13418033306,182276.99088934972,191390.8404338172,200960.38245550808,211008.40157828346,221558.82165719767,232636.76274005754,244268.60087706047
3,104811.17199999999,110051.7306,115554.31713,121332.03298650001,127398.63463582502,133768.56636761627,140456.99468599708,147479.84442029695,154853.8366413118,162596.5284733774,170726.35489704626,179262.6726418986,188225.80627399354,197637.09658769323,207518.95141707791,217894.8989879318,228789.64393732836,240229.1261341948,252240.58244090455,264852.61156294984
4,107868.18099999998,113261.59004999998,118924.66955249998,124870.90303012499,131114.44818163125,137670.17059071283,144553.67912024847,151781.3630762609,159370.43123007394,167338.95279157764,175705.90043115654,184491.19545271437,193715.75522535012,203401.54298661763,213571.62013594853,224250.20114274597,235462.71119988323,247235.84675987743,259597.6390978713,272577.5210527649
5,118083.154,123987.3117,130186.677285,136696.01114925,143530.81170671253,150707.35229204816,158242.71990665057,166154.8559019831,174462.59869708226,183185.7286319364,192345.0150635332,201962.26581670987,212060.3791075454,222663.39806292267,233796.5679660688,245486.39636437228,257760.71618259087,270648.7519917204,284181.18959130644,298390.2490708718
6,120847.16299999999,126889.52114999999,133233.99720749998,139895.697067875,146890.48192126877,154235.0060173322,161946.75631819884,170044.09413410877,178546.2988408142,187473.61378285493,196847.29447199768,206689.65919559757,217024.14215537746,227875.34926314635,239269.1167263037,251232.5725626189,263794.2011907498,276983.9112502873,290833.1068128017,305374.76215344184
7,143296.06499999997,150460.86824999997,157983.91166249997,165883.107245625,174177.26260790625,182886.12573830158,192030.43202521667,201631.9536264775,211713.5513078014,222299.22887319146,233414.19031685102,245084.8998326936,257339.1448243283,270206.1020655447,283716.40716882196,297902.2275272631,312797.3389036262,328437.2058488076,344859.0661412479,362102.01944831037
8,142060.168,149163.17640000003,156621.33522,164452.40198100003,172675.02208005005,181308.77318405255,190374.21184325518,199892.92243541795,209887.56855718885,220381.9469850483,231401.0443343007,242971.09655101577,255119.65137856657,267875.6339474949,281269.4156448697,295332.8864271132,310099.5307484688,325604.5072858923,341884.7326501869,358978.9692826963
9,150340.14500000002,157857.15225,165750.00986250004,174037.51035562504,182739.3858734063,191876.35516707663,201470.17292543047,211543.681571702,222120.8656502871,233226.90893280148,244888.25437944155,257132.66709841363,269989.30045333435,283488.7654760011,297663.20374980115,312546.36393729126,328173.68213415577,344582.3662408636,361811.48455290677,379902.0587805521
10,153755.092,161442.84660000002,169514.98893000002,177990.73837650003,186890.27529532503,196234.7890600913,206046.5285130959,216348.85493875068,227166.29768568822,238524.61256997264,250450.84319847127,262973.3853583948,276122.0546263146,289928.1573576304,304424.5652255119,319645.79348678753,335628.0831611269,352409.48731918324,370029.96168514236,388531.45976939955
11,168085.10100000005,176489.35605000006,185313.82385250006,194579.5150451251,204308.49079738135,214523.91533725045,225250.11110411296,236512.61665931862,248338.24749228457,260755.1598668988,273792.91786024376,287482.56375325593,301856.69194091874,316949.5265379647,332797.00286486297,349436.8530081062,366908.6956585114,385254.130441437,404516.83696350886,424742.67881168437
12,169135.53500000003,177592.31175000005,186471.92733750003,195795.52370437505,205585.29988959382,215864.56488407354,226657.79312827723,237990.68278469107,249890.21692392565,262384.72777012194,275503.964158628,289279.16236655944,303743.12048488745,318930.2765091318,334876.79033458844,351620.6298513179,369201.6613438838,387661.744411078,407044.8316316319,427397.07321321353
13,172158.39000000004,180766.30950000006,189804.62497500004,199294.85622375007,209259.5990349376,219722.5789866845,230708.70793601873,242244.14333281966,254356.35049946065,267074.1680244337,280427.8764256554,294449.27024693816,309171.73375928507,324630.32044724934,340861.83646961185,357904.92829309247,375800.17470774706,394590.1834431345,414319.69261529116,435035.6772460558
14,186872.47500000006,196216.09875000006,206026.90368750007,216328.2488718751,227144.66131546887,238501.89438124234,250426.98910030446,262948.3385553197,276095.7554830857,289900.54325724,304395.570420102,319615.3489411071,335596.1163881625,352375.9222075706,369994.71831794915,388494.4542338467,407919.17694553896,428315.13579281594,449730.8925824567,472217.43721157964
15,179410.13900000002,188380.64595000003,197799.67824750004,207689.66215987506,218074.14526786882,228977.8525312623,240426.7451578254,252448.0824157167,265070.48653650255,278324.01086332765,292240.211406494,306852.22197681875,322194.8330756597,338304.5747294427,355219.8034659149,372980.79363921063,391629.8333211712,411211.3249872298,431771.8912365912,453360.48579842085
16,169843.54700000002,178335.72435000003,187252.51056750002,196615.13609587506,206445.8929006688,216768.18754570227,227606.5969229874,238986.92676913677,250936.27310759362,263483.0867629733,276657.24110112194,290490.1031561781,305014.60831398703,320265.3387296864,336278.6056661707,353092.53594947926,370747.1627469532,389284.52088430093,408748.74692851596,429186.1842749418
17,164892.08400000003,173136.68820000003,181793.52261000004,190883.19874050005,200427.35867752507,210448.72661140136,220971.16294197142,232019.72108907,243620.7071435235,255801.74250069968,268591.82962573465,282021.4211070214,296122.4921623725,310928.6167704912,326475.0476090157,342798.79998946656,359938.73998893984,377935.6769883869,396832.4608378062,416674.08387969655
18,163328.17600000004,171494.58480000004,180069.31404000006,189072.77974200007,198526.41872910009,208452.7396655551,218875.37664883287,229819.14548127452,241310.10275533824,253375.60789310516,266044.38828776043,279346.60770214844,293313.9380872559,307979.6349916187,323378.6167411997,339547.54757825966,356524.92495717265,374351.1712050313,393068.7297652828,412722.16625354707
19,167479.58899999995,175853.56844999996,184646.24687249996,193878.55921612497,203572.48717693123,213751.1115357778,224438.6671125667,235660.60046819504,247443.6304916048,259815.81201618505,272806.6026169943,286446.932747844,300769.27938523627,315807.74335449806,331598.130522223,348178.0370483342,365586.9389007509,383866.2858457884,403059.60013807786,423212.5801449818
20,189474.437,198948.15885,208895.5667925,219340.34513212502,230307.3623887313,241822.73050816788,253913.8670335763,266609.5603852551,279940.03840451787,293937.0403247438,308633.89234098094,324065.58695803,340268.86630593153,357282.30962122814,375146.4251022896,393903.7463574041,413598.93367527425,434278.880359038,455992.8243769899,478792.4655958395
21,165554.80599999998,173832.5463,182524.17361499998,191650.38229575,201232.9014105375,211294.5464810644,221859.27380511764,232952.23749537353,244599.8493701422,256829.84183864933,269671.3339305818,283154.9006271109,297312.64565846644,312178.2779413898,327787.19183845934,344176.5514303823,361385.37900190137,379454.6479519965,398427.3803495963,418348.7493670762
22,174997.70699999997,183747.59234999996,192934.97196749997,202581.72056587497,212710.80659416874,223346.3469238772,234513.66427007108,246239.34748357465,258551.31485775337,271478.8806006411,285052.8246306731,299305.46586220677,314270.73915531713,329984.276113083,346483.4899187372,363807.66441467404,381998.0476354077,401097.95001717814,421152.8475180371,442210.489893939
23,168141.56,176548.638,185376.0699,194644.87339500003,204377.11706475003,214595.97291798756,225325.77156388696,236592.0601420813,248421.66314918536,260842.74630664464,273884.8836219769,287579.1278030757,301958.08419322956,317055.98840289103,332908.7878230356,349554.22721418744,367031.9385748967,385383.53550364164,404652.7122788237,424885.34789276496
24,106902.758,112247.8959,117860.290695,123753.30522975001,129940.97049123753,136438.01901579942,143259.9199665894,150422.91596491885,157944.06176316482,165841.26485132307,174133.3280938892,182839.99449858366,191981.99422351288,201581.09393468854,211660.14863142298,222243.15606299415,233355.3138661438,245023.07955945103,257274.23353742357,270137.9452142948
25,91282.184,95846.2932,100638.60786,105670.538253,110954.06516565001,116501.76842393253,122326.85684512915,128443.19968738561,134865.3596717549,141608.62765534266,148689.0590381098,156123.51199001528,163929.68758951605,172126.17196899187,180732.48056744147,189769.10459581355,199257.55982560423,209220.43781688446,219681.45970772867,230665.53269311515
26,97987.25,102886.6125,108030.943125,113432.49028125001,119104.11479531252,125059.32053507816,131312.28656183206,137877.90088992368,144771.79593441988,152010.38573114085,159610.9050176979,167591.45026858282,175971.02278201198,184769.57392111258,194008.05261716823,203708.45524802664,213893.87801042796,224588.57191094937,235818.00050649684,247608.9005318217
27,100626.165,105657.47325,110940.3469125,116487.364258125,122311.73247103127,128427.31909458284,134848.685049312,141591.1193017776,148670.67526686648,156104.2090302098,163909.41948172028,172104.8904558063,180710.13497859664,189745.6417275265,199232.92381390283,209194.57000459798,219654.29850482786,230637.0134300693,242168.86410157272,254277.3073066514
28,101922.185,107018.29425,112369.20896250001,117987.669410625,123887.05288115627,130081.4055252141,136585.4758014748,143414.74959154855,150585.48707112597,158114.76142468228,166020.4994959164,174321.52447071223,183037.60069424784,192189.48072896025,201798.95476540827,211888.90250367872,222483.34762886263,233607.51501030577,245287.89076082106,257552.28529886215
29,101998.15800000002,107098.06590000003,112452.96919500003,118075.61765475004,123979.39853748755,130178.36846436195,136687.28688758003,143521.65123195905,150697.733793557,158232.62048323487,166144.2515073966,174451.46408276644,183174.0372869048,192332.73915125002,201949.37610881255,212046.8449142532,222649.18715996583,233781.64651796414,245470.72884386234,257744.2652860555
30,115260.225,121023.23625000002,127074.39806250001,133428.11796562502,140099.52386390627,147104.5000571016,154459.7250599567,162182.71131295455,170291.84687860226,178806.43922253238,187746.761183659,197134.09924284197,206990.80420498407,217340.3444152333,228207.36163599498,239617.72971779475,251598.61620368445,264178.5470138687,277387.47436456213,291256.84808279027
31,117114.18299999999,122969.89215,129118.38675749999,135574.306095375,142353.02140014377,149470.67247015095,156944.20609365852,164791.41639834145,173030.98721825852,181682.53657917146,190766.66340813003,200304.99657853655,210320.2464074634,220836.25872783657,231878.07166422842,243471.97524743984,255645.57400981183,268427.85271030245,281849.24534581753,295941.70761310845
32,140210.179,147220.68795000002,154581.7223475,162310.808464875,170426.34888811878,178947.66633252474,187895.04964915098,197289.80213160854,207154.29223818897,217512.00685009843,228387.60719260335,239806.98755223354,251797.33692984522,264387.2037763375,277606.5639651544,291486.8921634121,306061.2367715827,321364.2986101619,337432.51354067,354304.13921770355
33,162015.10799999998,170115.86339999997,178621.65657,187552.7393985,196930.376368425,206776.8951868463,217115.7399461886,227971.52694349803,239370.10329067294,251338.6084552066,263905.53887796693,277100.8158218653,290955.8566129586,305503.6494436065,320778.8319157869,336817.77351157623,353658.662187155,371341.5952965128,389908.6750613384,409404.1088144054
34,159415.091,167385.84555,175755.1378275,184542.894718875,193770.03945481876,203458.5414275597,213631.46849893773,224313.04192388462,235528.69402007884,247305.1287210828,259670.38515713695,272653.90441499377,286286.59963574354,300600.9296175307,315630.97609840723,331412.52490332763,347983.151148494,365382.3087059187,383651.42414121464,402833.99534827546
35,165565.09599999996,173843.35079999996,182535.51833999995,191662.29425699997,201245.40896985,211307.6794183425,221873.06338925965,232966.71655872263,244615.05238665876,256845.80500599172,269688.0952562913,283172.50001910585,297331.1250200612,312197.68127106427,327807.5653346175,344197.94360134844,361407.8407814158,379478.23282048665,398452.14446151094,418374.7516845866
36,170259.62500000003,178772.60625000004,187711.23656250004,197096.79839062504,206951.63831015633,217299.22022566415,228164.18123694736,239572.39029879475,251551.0098137345,264128.56030442123,277334.98831964226,291201.7377356244,305761.82462240563,321049.915853526,337102.41164620226,353957.5322285124,371655.408839938,390238.1792819349,409750.08824603166,430237.59265833336
37,161947.302,170044.6671,178546.900455,187474.24547775002,196847.95775163753,206690.35563921943,217024.8734211804,227876.11709223944,239269.9229468514,251233.419094194,263795.09004890366,276984.8445513489,290834.08677891636,305375.79111786216,320644.5806737553,336676.8097074431,353510.6501928152,371186.182702456,389745.4918375788,409232.7664294578
38,183680.622,192864.65310000003,202507.885755,212633.28004275003,223264.94404488755,234428.19124713194,246149.60080948856,258457.08084996298,271379.9348924611,284948.9316370842,299196.3782189384,314156.1971298854,329864.0069863796,346357.20733569865,363675.0677024836,381858.8210876078,400951.76214198815,420999.3502490876,442049.317761542,464151.78364961914
39,181098.318,190153.23390000002,199660.895595,209643.94037475003,220126.13739348753,231132.44426316195,242689.06647632003,254823.51980013604,267564.69579014287,280942.93057965,294990.0771086325,309739.58096406417,325226.5600122674,341487.88801288075,358562.28241352487,376490.3965342011,395314.9163609111,415080.6621789567,435834.6952879045,457626.43005229987
40,175718.47299999994,184504.39664999995,193729.61648249993,203416.09730662496,213586.90217195623,224266.24728055406,235479.55964458175,247253.53762681084,259616.2145081514,272597.02523355896,286226.87649523694,300538.2203199988,315565.13133599877,331343.3879027987,347910.5572979387,365306.08516283566,383571.3894209774,402749.9588920263,422887.45683662756,444031.82967845903
41,170865.099,179408.35395,188378.7716475,197797.710229875,207687.59574136877,218071.97552843724,228975.5743048591,240424.35302010205,252445.57067110715,265067.84920466255,278321.2416648957,292237.30374814046,306849.1689355475,322191.6273823249,338301.20875144115,355216.2691890133,372977.0826484639,391625.93678088713,411207.23361993144,431767.5953009281
42,162926.27300000007,171072.58665000007,179626.21598250009,188607.5267816251,198037.90312070638,207939.79827674173,218336.7881905788,229253.62760010775,240716.30898011316,252752.12442911882,265389.7306505747,278659.2171831035,292592.1780422587,307221.78694437165,322582.8762915903,338712.0201061698,355647.62111147825,373430.0021670522,392101.5022754048,411706.57738917513
43,168785.631,177224.91255,186086.1581775,195390.466086375,205159.98939069378,215417.98886022848,226188.88830323992,237498.3327184019,249373.24935432203,261841.91182203812,274934.00741314003,288680.70778379706,303114.74317298696,318270.48033163627,334184.00434821815,350893.2045656291,368437.86479391047,386859.75803360605,406202.74593528634,426512.88323205075
44,186418.42399999997,195739.34519999998,205526.31246,215802.628083,226592.75948715,237922.39746150753,249818.51733458292,262309.44320131204,275424.91536137764,289196.1611294466,303655.96918591886,318838.76764521486,334780.70602747565,351519.7413288494,369095.7283952919,387550.5148150565,406928.04055580933,427274.4425835998,448638.1647127798,471070.0729484189
45,166201.552,174511.62960000001,183237.21108,192399.07163400002,202019.02521570004,212119.97647648506,222725.9753003093,233862.27406532477,245555.38776859103,257833.15715702059,270724.8150148716,284261.0557656152,298474.108553896,313397.8139815908,329067.7046806704,345521.0899147039,362797.14441043907,380937.0016309611,399983.8517125091,419983.0442981346
46,160111.96900000004,168117.56745000006,176523.44582250004,185349.61811362507,194617.09901930633,204347.95397027166,214565.35166878527,225293.61925222454,236558.30021483576,248386.21522557756,260805.52598685643,273845.8022861993,287538.0924005093,301914.9970205347,317010.7468715615,332861.2842151396,349504.34842589655,366979.5658471914,385328.54413955094,404594.97134652856
