Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,10848.058,11390.460900000002,11959.983945000002,12557.983142250003,13185.882299362504,13845.17641433063,14537.435235047162,15264.30699679952,16027.522346639496,16828.898463971473,17670.343387170047,18553.86055652855,19481.553584354977,20455.631263572726,21478.412826751366,22552.333468088935,23679.95014149338,24863.947648568053,26107.145030996453,27412.50228254628
2,13067.025,13720.37625,14406.3950625,15126.714815625,15883.050556406253,16677.203084226567,17511.063238437895,18386.61640035979,19305.94722037778,20271.24458139667,21284.806810466504,22349.04715098983,23466.499508539324,24639.82448396629,25871.815708164606,27165.40649357284,28523.67681825148,29949.860659164056,31447.35369212226,33019.721376728376
3,12825.017,13466.26785,14139.5812425,14846.560304625002,15588.888319856253,16368.332735849066,17186.74937264152,18046.086841273598,18948.391183337277,19895.81074250414,20890.601279629347,21935.131343610818,23031.88791079136,24183.48230633093,25392.65642164748,26662.289242729854,27995.403704866345,29395.173890109665,30864.932584615144,32408.17921384591
4,11666.02,12249.321000000002,12861.78705,13504.876402500002,14180.120222625002,14889.126233756255,15633.582545444067,16415.26167271627,17236.024756352086,18097.82599416969,19002.717293878173,19952.853158572085,20950.49581650069,21998.020607325725,23097.921637692016,24252.81771957662,25465.458605555446,26738.73153583322,28075.66811262488,29479.45151825613
5,13153.019,13810.669950000001,14501.2034475,15226.263619875002,15987.576800868754,16786.955640912194,17626.303422957804,18507.618594105694,19432.999523810977,20404.649500001527,21424.881975001605,22496.126073751686,23620.932377439272,24801.978996311238,26042.0779461268,27344.181843433144,28711.390935604795,30146.96048238504,31654.30850650429,33237.02393182951
6,12216.017,12826.81785,13468.1587425,14141.566679625,14848.645013606252,15591.077264286567,16370.631127500896,17189.16268387594,18048.62081806974,18951.051858973227,19898.604451921885,20893.53467451798,21938.211408243882,23035.12197865608,24186.878077588884,25396.22198146833,26666.033080541743,27999.334734568834,29399.301471297276,30869.266544862145
7,11345.027999999998,11912.2794,12507.893369999998,13133.288038499999,13789.952440425,14479.450062446253,15203.422565568566,15963.593693846993,16761.773378539343,17599.86204746631,18479.855149839626,19403.84790733161,20374.04030269819,21392.7423178331,22462.37943372476,23585.498405411,24764.773325681545,26003.011991965624,27303.162591563905,28668.320721142107
8,13402.072,14072.1756,14775.784380000001,15514.573599000001,16290.302278950003,17104.817392897505,17960.05826254238,18858.0611756695,19800.964234452975,20791.012446175624,21830.563068484407,22922.091221908628,24068.195783004063,25271.605572154265,26535.18585076198,27861.945143300083,29255.04240046508,30717.79452048834,32253.684246512756,33866.3684588384
9,16388.130999999998,17207.537549999997,18067.914427499996,18971.310148875,19919.875656318753,20915.86943913469,21961.662911091425,23059.746056645996,24212.733359478298,25423.370027452213,26694.538528824825,28029.265455266068,29430.72872802937,30902.265164430843,32447.378422652386,34069.747343785006,35773.234710974255,37561.89644652297,39439.99126884912,41411.99083229158
10,17159.118,18017.0739,18917.927594999997,19863.82397475,20857.015173487503,21899.86593216188,22994.859228769976,24144.602190208472,25351.8322997189,26619.423914704843,27950.395110440084,29347.91486596209,30815.3106092602,32356.07613972321,33973.87994670937,35672.573944044845,37456.20264124708,39329.01277330944,41295.46341197491,43360.23658257366
