Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,20221.935999999998,21233.032799999997,22294.684439999997,23409.418662,24579.8895951,25808.884074855003,27099.328278597757,28454.294692527645,29877.009427154026,31370.859898511728,32939.40289343731,34586.37303810918,36315.691690014646,38131.47627451538,40038.05008824115,42039.952592653215,44141.950222285865,46349.04773340017,48666.50012007017,51099.82512607369
2,26923.224000000002,28269.385200000004,29682.854460000002,31166.997183000007,32725.34704215001,34361.614394257515,36079.69511397039,37883.67986966891,39777.86386315236,41766.75705630997,43855.09490912547,46047.84965458175,48350.24213731084,50767.75424417639,53306.14195638521,55971.44905420447,58770.02150691469,61708.52258226043,64793.94871137345,68033.64614694213
3,31538.194,33115.1037,34770.858885,36509.401829250004,38334.8719207125,40251.615516748134,42264.19629258554,44377.406107214825,46596.276412575564,48926.09023320434,51372.39474486456,53941.01448210779,56638.065206213185,59469.968466523846,62443.466889850046,65565.64023434256,68843.92224605966,72286.11835836267,75900.4242762808,79695.44549009485
4,33306.219,34971.52995,36720.106447499995,38556.111769875,40483.91735836875,42508.1132262872,44633.51888760156,46865.19483198164,49208.45457358072,51668.87730225976,54252.32116737274,56964.937225741385,59813.18408702846,62803.84329137988,65944.03545594888,69241.23722874634,72703.29909018365,76338.46404469284,80155.38724692746,84163.15660927386
5,33774.162,35462.8701,37236.013605,39097.81428525,41052.704999512505,43105.34024948813,45260.60726196254,47523.63762506067,49899.8195063137,52394.81048162939,55014.55100571086,57765.2785559964,60653.54248379623,63686.219607986044,66870.53058838536,70214.05711780462,73724.75997369485,77410.9979723796,81281.54787099858,85345.62526454852
6,26299.155000000006,27614.112750000008,28994.818387500007,30444.55930687501,31966.787272218764,33565.12663582971,35243.38296762119,37005.552116002254,38855.829721802365,40798.62120789249,42838.55226828711,44980.47988170147,47229.50387578654,49590.97906957587,52070.52802305467,54674.05442420741,57407.757145417774,60278.14500268867,63292.0522528231,66456.65486546427
7,10598.721000000003,11128.657050000003,11685.089902500004,12269.344397625006,12882.811617506257,13526.95219838157,14203.29980830065,14913.464798715682,15659.138038651467,16442.09494058404,17264.199687613243,18127.409671993904,19033.780155593602,19985.469163373284,20984.74262154195,22033.97975261905,23135.678740249998,24292.4626772625,25507.085811125624,26782.44010168191
8,12363.841000000004,12982.033050000005,13631.134702500005,14312.691437625006,15028.326009506258,15779.742309981571,16568.72942548065,17397.165896754683,18267.02419159242,19180.37540117204,20139.39417123064,21146.363879792174,22203.682073781787,23313.866177470874,24479.559486344424,25703.537460661646,26988.714333694723,28338.150050379463,29755.057552898437,31242.810430543363
9,12972.954999999998,13621.602749999998,14302.6828875,15017.817031875,15768.70788346875,16557.14327764219,17385.0004415243,18254.250463600514,19166.96298678054,20125.31113611957,21131.576692925548,22188.155527571827,23297.563303950417,24462.44146914794,25685.56354260534,26969.84171973561,28318.33380572239,29734.25049600851,31220.963020808933,32782.011171849386
10,23725.274999999987,24911.53874999999,26157.115687499987,27464.97147187499,28838.22004546874,30280.13104774218,31794.13760012929,33383.844480135755,35053.03670414254,36805.68853934967,38645.97296631715,40578.27161463301,42607.18519536467,44737.544455132906,46974.42167788955,49323.14276178404,51789.29989987323,54378.7648948669,57097.70313961024,59952.588296590766
11,14363.887999999999,15082.0824,15836.18652,16627.995846,17459.3956383,18332.365420215003,19248.983691225756,20211.432875787043,21222.004519576396,22283.104745555214,23397.259982832977,24567.122981974626,25795.47913107336,27085.25308762703,28439.515742008385,29861.491529108804,31354.56610556424,32922.294410842456,34568.40913138458,36296.82958795381
12,12330.733999999997,12947.270699999997,13594.634234999998,14274.365946749998,14988.084244087499,15737.488456291876,16524.36287910647,17350.581023061794,18218.110074214885,19129.015577925627,20085.466356821908,21089.739674663007,22144.226658396157,23251.43799131597,24414.009890881767,25634.710385425857,26916.445904697146,28262.26819993201,29675.38160992861,31159.150690425042
13,17640.923999999995,18522.970199999996,19449.118709999995,20421.574645499997,21442.653377774997,22514.78604666375,23640.52534899694,24822.551616446784,26063.679197269124,27366.863157132582,28735.206314989213,30171.966630738676,31680.56496227561,33264.593210389394,34927.822870908865,36674.21401445431,38507.924715177025,40433.32095093588,42454.98699848267,44577.73634840681
14,15952.590999999993,16750.220549999995,17587.73157749999,18467.118156374992,19390.474064193746,20359.997767403434,21377.997655773608,22446.897538562287,23569.242415490404,24747.704536264922,25985.08976307817,27284.34425123208,28648.561463793685,30080.989536983372,31585.039013832542,33164.290964524174,34822.50551275038,36563.6307883879,38391.812327807296,40311.40294419767
15,3786.9940000000006,3976.343700000001,4175.160885000001,4383.918929250001,4603.114875712502,4833.270619498127,5074.934150473034,5328.6808579966855,5595.114900896519,5874.870645941346,6168.614178238413,6477.044887150334,6800.897131507852,7140.941988083245,7497.989087487407,7872.888541861778,8266.532968954865,8679.85961740261,9113.85259827274,9569.54522818638
16,1238.2520000000004,1300.1646000000005,1365.1728300000004,1433.4314715000007,1505.1030450750009,1580.358197328751,1659.3761071951885,1742.344912554948,1829.4621581826955,1920.9352660918303,2016.9820293964217,2117.831130866243,2223.7226874095554,2334.908821780033,2451.654262869035,2574.236976012487,2702.948824813111,2838.096266053767,2980.001079356455,3129.0011333242783
17,2950.289,3097.8034500000003,3252.6936225000004,3415.3283036250004,3586.094718806251,3765.3994547465636,3953.669427483892,4151.3528988580865,4358.920543800991,4576.866570991041,4805.709899540593,5045.995394517623,5298.295164243505,5563.20992245568,5841.3704185784645,6133.438939507389,6440.1108864827565,6762.116430806896,7100.22225234724,7455.233364964603
18,5032.413,5284.033649999999,5548.2353324999995,5825.647099125,6116.929454081251,6422.7759267853135,6743.91472312458,7081.110459280809,7435.165982244849,7806.924281357092,8197.270495424946,8607.134020196194,9037.490721206004,9489.365257266305,9963.833520129621,10462.025196136103,10985.126455942907,11534.382778740053,12111.101917677057,12716.65701356091
19,16077.055,16880.907750000002,17724.9531375,18611.200794375003,19541.760834093755,20518.848875798445,21544.791319588367,22622.030885567787,23753.132429846173,24940.789051338485,26187.82850390541,27497.21992910068,28872.080925555718,30315.684971833503,31831.46922042518,33423.042681446444,35094.194815518764,36848.90455629471,38691.349784109436,40625.91727331492
20,43093.028,45247.6794,47510.063369999996,49885.5665385,52379.84486542501,54998.837108696265,57748.77896413108,60636.21791233763,63668.02880795451,66851.43024835225,70194.00176076985,73703.70184880836,77388.88694124878,81258.33128831122,85321.24785272678,89587.31024536313,94066.67575763128,98770.00954551286,103708.5100227885,108893.93552392794
21,61281.807,64345.89735000001,67563.1922175,70941.351828375,74488.41941979376,78212.84039078346,82123.48241032264,86229.65653083877,90541.13935738071,95068.19632524975,99821.60614151224,104812.68644858785,110053.32077101726,115555.98680956812,121333.78615004654,127400.47545754888,133770.4992304263,140459.02419194762,147481.975401545,154856.07417162228
22,85181.77399999998,89440.86269999998,93912.90583499998,98608.55112674998,103538.9786830875,108715.92761724188,114151.72399810397,119859.31019800917,125852.27570790963,132144.88949330512,138752.13396797038,145689.7406663689,152974.22769968736,160622.93908467173,168654.08603890534,177086.79034085062,185941.12985789313,195238.18635078782,205000.09566832718,215250.10045174358
23,78764.52799999999,82702.75439999999,86837.89211999999,91179.786726,95738.7760623,100525.71486541502,105552.00060868578,110829.60063912006,116371.08067107607,122189.63470462988,128299.11643986136,134714.07226185445,141449.77587494717,148522.26466869455,155948.3779021293,163745.79679723576,171933.08663709753,180529.74096895242,189556.22801740005,199034.03941827008
24,37568.219000000005,39446.62995000001,41418.961447500005,43489.90951987501,45664.40499586876,47947.62524566221,50345.00650794532,52862.25683334259,55505.369675009715,58280.6381587602,61194.670066698214,64254.40357003313,67467.1237485348,70840.47993596153,74382.50393275962,78101.6291293976,82006.71058586748,86107.04611516086,90412.3984209189,94933.01834196485
25,21817.025,22907.87625,24053.270062500003,25255.933565625004,26518.730243906255,27844.66675610157,29236.90009390665,30698.745098601983,32233.682353532084,33845.36647120869,35537.634794769125,37314.51653450758,39180.242361232966,41139.254479294614,43196.21720325935,45356.02806342232,47623.82946659343,50005.02093992311,52505.27198691926,55130.535586265236
26,30290.192,31804.7016,33394.93668,35064.683514000004,36817.91768970001,38658.81357418501,40591.754252894265,42621.34196553897,44752.409063815925,46990.029517006726,49339.53099285706,51806.507542499916,54396.83291962492,57116.67456560616,59972.50829388648,62971.133708580805,66119.69039400984,69425.67491371033,72896.95865939585,76541.80659236565
27,31083.203999999998,32637.3642,34269.23241,35982.6940305,37781.828732025,39670.92016862626,41654.46617705757,43737.18948591045,45924.048960205975,48220.251408216274,50631.26397862709,53162.82717755844,55820.968536436376,58612.0169632582,61542.61781142111,64619.74870199217,67850.73613709176,71243.27294394637,74805.43659114368,78545.70842070087
28,31538.240999999998,33115.15305,34770.9107025,36509.456237625,38334.92904950625,40251.67550198157,42264.25927708065,44377.47224093469,46596.34585298142,48926.16314563049,51372.47130291202,53941.09486805762,56638.1496114605,59470.05709203354,62443.559946635214,65565.73794396699,68844.02484116533,72286.22608322359,75900.53738738477,79695.56425675402
29,24908.132,26153.538600000003,27461.21553,28834.276306500004,30275.99012182501,31789.78962791626,33379.279109312076,35048.24306477768,36800.65521801657,38640.68797891739,40572.72237786326,42601.35849675643,44731.42642159425,46967.99774267397,49316.397629807674,51782.217511298055,54371.32838686295,57089.89480620611,59944.38954651641,62941.60902384224
30,19773.064,20761.7172,21799.80306,22889.793213,24034.28287365,25235.997017332505,26497.79686819913,27822.686711609087,29213.821047189544,30674.51209954902,32208.237704526473,33818.6495897528,35509.58206924044,37285.061172702466,39149.314231337594,41106.779942904475,43162.118940049695,45320.22488705218,47586.23613140479,49965.54793797504
31,13889.573,14584.051650000001,15313.254232500001,16078.916944125001,16882.862791331252,17727.005930897816,18613.35622744271,19544.024038814845,20521.225240755586,21547.28650279337,22624.650827933037,23755.88336932969,24943.677537796175,26190.861414685987,27500.404485420288,28875.424709691302,30319.195945175867,31835.15574243466,33426.9135295564,35098.25920603422
32,11581.795000000002,12160.884750000003,12768.928987500003,13407.375436875003,14077.744208718756,14781.631419154694,15520.71299011243,16296.74863961805,17111.586071598955,17967.1653751789,18865.523643937846,19808.799826134742,20799.23981744148,21839.201808313555,22931.161898729235,24077.719993665698,25281.605993348978,26545.68629301643,27872.970607667252,29266.61913805062
33,26756.861999999997,28094.7051,29499.440355,30974.41237275,32523.1329913875,34149.28964095688,35856.75412300473,37649.59182915496,39532.071420612716,41508.67499164335,43584.108741225515,45763.3141782868,48051.47988720114,50454.053881561194,52976.756575639265,55625.59440442123,58406.87412464229,61327.217830874404,64393.578722418126,67613.25765853903
34,28429.202999999987,29850.663149999986,31343.196307499988,32910.35612287499,34555.873929018744,36283.66762546968,38097.85100674316,40002.74355708033,42002.88073493434,44103.02477168106,46308.17601026511,48623.584810778375,51054.764051317296,53607.50225388316,56287.877366577326,59102.2712349062,62057.384796651495,65160.25403648408,68418.26673830829,71839.1800752237
35,20204.004999999994,21214.205249999995,22274.915512499992,23388.661288124997,24558.094352531247,25785.99907015781,27075.299023665702,28429.06397484899,29850.517173591437,31343.043032271013,32910.19518388456,34555.704943078796,36283.49019023273,38097.664699744375,40002.54793473159,42002.67533146818,44102.80909804158,46307.94955294367,48623.34703059085,51054.5143821204
36,11054.612000000001,11607.342600000002,12187.709730000002,12797.095216500002,13436.949977325005,14108.797476191256,14814.237350000818,15554.94921750086,16332.696678375904,17149.3315122947,18006.798087909432,18907.137992304906,19852.494891920152,20845.119636516163,21887.375618341972,22981.74439925907,24130.831619222023,25337.373200183127,26604.241860192284,27934.4539532019
37,10936.978999999996,11483.827949999995,12058.019347499996,12660.920314874997,13293.966330618747,13958.664647149686,14656.597879507171,15389.42777348253,16158.899162156657,16966.84412026449,17815.186326277715,18705.9456425916,19641.242924721184,20623.30507095724,21654.470324505106,22737.193840730364,23874.05353276688,25067.756209405226,26321.144019875486,27637.201220869265
38,21220.43399999999,22281.45569999999,23395.52848499999,24565.30490924999,25793.57015471249,27083.24866244812,28437.411095570526,29859.281650349054,31352.245732866508,32919.85801950983,34565.850920485325,36294.143466509595,38108.85063983507,40014.29317182683,42015.00783041818,44115.75822193909,46321.54613303604,48637.62343968784,51069.50461167224,53622.97984225586
39,6142.895999999999,6450.040799999999,6772.542839999999,7111.169981999999,7466.7284811,7840.064905155001,8232.068150412751,8643.671557933389,9075.855135830057,9529.647892621562,10006.13028725264,10506.436801615273,11031.758641696037,11583.346573780838,12162.513902469882,12770.639597593377,13409.171577473044,14079.630156346699,14783.611664164033,15522.792247372237
40,1044.1429999999998,1096.3501499999998,1151.1676575,1208.726040375,1269.16234239375,1332.6204595134377,1399.2514824891095,1469.214056613565,1542.6747594442434,1619.8084974164556,1700.7989222872784,1785.8388684016422,1875.1308118217246,1968.887352412811,2067.331720033452,2170.6983060351245,2279.2332213368804,2393.1948824037245,2512.8546265239106,2638.4973578501067
41,2358.2660000000005,2476.1793000000007,2599.988265000001,2729.987678250001,2866.4870621625014,3009.8114152706266,3160.301986034158,3318.317085335866,3484.2329396026594,3658.4445865827925,3841.366815911932,4033.4351567075287,4235.1069145429055,4446.862260270051,4669.205373283554,4902.665641947732,5147.798924045118,5405.188870247374,5675.4483137597435,5959.220729447731
42,3806.3530000000005,3996.670650000001,4196.504182500001,4406.329391625001,4626.6458612062515,4857.978154266564,5100.8770619798925,5355.920915078887,5623.716960832832,5904.9028088744735,6200.147949318198,6510.155346784108,6835.663114123314,7177.44626982948,7536.3185833209545,7913.134512487003,8308.791238111351,8724.230800016921,9160.442340017766,9618.464457018656
43,16850.27,17692.7835,18577.422675,19506.293808750004,20481.608499187503,21505.68892414688,22580.973370354226,23710.02203887194,24895.523140815534,26140.299297856312,27447.31426274913,28819.679975886585,30260.66397468092,31773.697173414967,33362.38203208572,35030.501133690006,36782.026190374505,38621.12749989323,40552.183874887894,42579.793068632294
44,36996.034999999996,38845.836749999995,40788.128587499996,42827.535016875,44968.91176771875,47217.357356104694,49578.22522390993,52057.13648510543,54659.9933093607,57392.99297482874,60262.64262357017,63275.77475474869,66439.56349248612,69761.54166711043,73249.61875046596,76912.09968798928,80757.70467238872,84795.58990600817,89035.36940130858,93487.13787137401
45,53338.095,56004.99975,58805.2497375,61745.51222437501,64832.787835593765,68074.42722737345,71478.14858874213,75052.05601817924,78804.6588190882,82744.89176004262,86882.13634804475,91226.24316544698,95787.55532371935,100576.93308990532,105605.7797444006,110886.06873162063,116430.37216820165,122251.89077661175,128364.48531544233,134782.70958121447
46,81458.51599999997,85531.44179999997,89808.01388999997,94298.41458449999,99013.335313725,103964.00207941125,109162.20218338181,114620.31229255091,120351.32790717845,126368.89430253737,132687.33901766426,139321.70596854747,146287.79126697485,153602.1808303236,161282.2898718398,169346.4043654318,177813.72458370336,186704.41081288856,196039.63135353298,205841.61292120966
47,69085.693,72539.97765,76166.9765325,79975.32535912501,83974.09162708126,88172.79620843533,92581.4360188571,97210.50781979997,102071.03321078996,107174.58487132947,112533.31411489594,118159.97982064074,124067.97881167279,130271.37775225643,136784.94663986927,143624.19397186275,150805.40367045585,158345.67385397866,166262.9575466776,174576.1054240115
48,41463.72000000001,43536.90600000001,45713.75130000001,47999.43886500002,50399.41080825002,52919.38134866252,55565.35041609565,58343.61793690044,61260.79883374546,64323.838775432734,67540.03071420437,70917.0322499146,74462.88386241034,78186.02805553086,82095.3294583074,86200.09593122278,90510.10072778391,95035.60576417312,99787.38605238176,104776.75535500087
49,21300.086,22365.0903,23483.344815,24657.51205575,25890.387658537504,27184.907041464383,28544.152393537603,29971.360013214482,31469.928013875207,33043.424414568966,34695.59563529742,36430.37541706229,38251.89418791541,40164.48889731118,42172.71334217674,44281.34900928558,46495.41645974985,48820.18728273735,51261.19664687422,53824.25647921794
