Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
1,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
2,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
3,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
4,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
5,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
6,253800.0,266490.0,279814.5,293805.22500000003,308495.4862500001,323920.2605625001,340116.2735906251,357122.08727015636,374978.1916336642,393727.1012153474,413413.4562761148,434084.12908992055,455788.3355444166,478577.75232163747,502506.6399377194,527631.9719346054,554013.5705313355,581714.2490579025,610799.9615107975,641339.9595863376
7,24390.0,25609.5,26889.975000000002,28234.473750000005,29646.197437500006,31128.507309375007,32684.93267484376,34319.179308585946,36035.13827401525,37836.89518771601,39728.73994710181,41715.17694445691,43800.93579167975,45990.98258126374,48290.53171032693,50705.058295843286,53240.31121063544,55902.32677116722,58697.44310972558,61632.315265211866
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
