meta,scenario_1
hour,typical_year
0,0.4409364
1,0.4795025
2,0.503402217
3,1.346520717
4,6.9349076
5,7.544392633
6,4.66692965
7,13.66380342
8,52.11430821
9,62.86125445
10,66.73172272
11,30.92933008
12,24.7454494
13,83.12378468
14,41.76079236
15,16.20787302
16,8.764609327
17,5.049630867
18,6.2960814
19,9.090179233
20,8.670561233
21,8.513393767
22,7.815425567
23,5.741444233
24,0.441203183
25,0.475152267
26,0.510602667
27,1.442137217
28,6.827004317
29,7.905773967
30,4.7532742
31,3.431876967
32,27.56392505
33,51.96270097
34,38.14502689
35,19.32713189
36,6.780683629
37,40.72134095
38,40.44873003
39,4.841371555
40,4.640228867
41,6.398641883
42,7.307193267
43,9.408008833
44,8.204142433
45,8.04307445
46,7.87572445
47,6.637925983
48,0.451620433
49,0.499518117
50,0.50293615
51,1.488338683
52,7.294022517
53,8.857421483
54,3.6585093
55,9.486929607
56,42.41700922
57,53.62016504
58,48.28467361
59,19.36919307
60,6.51560744
61,19.32138447
62,23.67618162
63,4.501678702
64,4.087247178
65,5.307656766
66,7.97380855
67,9.289242217
68,8.448476367
69,8.27972585
70,7.3753237
71,5.700107467
72,0.412602783
73,0.467202317
74,0.552435917
75,1.164820417
76,7.249789183
77,7.95886035
78,5.346049167
79,12.0773415
80,75.19880397
81,76.59335436
82,48.07468595
83,29.55285992
84,33.2964483
85,58.38187843
86,41.3420201
87,15.86039388
88,10.63519287
89,7.69150758
90,6.859394033
91,9.120160883
92,8.861359333
93,8.715959583
94,7.82629375
95,6.602045217
96,0.43880255
97,0.467801667
98,0.488535067
99,0.779385783
100,6.61043705
101,7.38898995
102,4.313163283
103,17.27042748
104,59.26947517
105,73.49840835
106,65.0297441
107,32.1601026
108,25.16719857
109,69.52760528
110,40.35851155
111,16.06080822
112,11.13203721
113,6.720934517
114,7.718729683
115,8.156762667
116,8.333526983
117,8.669541767
118,8.061559033
119,6.1051599
120,0.433403
121,0.50298505
122,0.561852467
123,1.003154
124,7.334155783
125,7.6850431
126,4.142467567
127,17.51604568
128,64.14942308
129,55.28743949
130,59.10552257
131,37.80177498
132,29.6765353
133,78.6250588
134,45.35615928
135,15.95275086
136,14.70428766
137,5.653034667
138,7.442513817
139,8.5101425
140,8.839256917
141,8.948091617
142,7.885758533
143,6.028342
144,0.426736217
145,0.471002683
146,0.54948745
147,0.939055383
148,6.969591933
149,7.7251266
150,4.4623499
151,15.00782107
152,45.11333696
153,68.65436988
154,74.08877245
155,48.77236649
156,36.16768493
157,55.01850184
158,47.46049237
159,16.16328721
160,11.02220561
161,7.187904591
162,8.806910517
163,9.363425367
164,8.604176733
165,8.185611567
166,7.4948452
167,5.245929
168,0.4426034
169,0.4688694
170,0.552671617
171,1.003871683
172,6.994937967
173,7.46007405
174,3.86859475
175,11.0910487
176,36.4736542
177,72.31306508
178,70.58591133
179,39.54483031
180,22.04685375
181,91.01127012
182,38.79839727
183,16.70182406
184,11.89012932
185,6.55310045
186,7.31682765
187,10.06154067
188,9.628175017
189,8.6776744
190,8.598573133
191,6.777756633
