meta,scenario_1
hour,typical_year
,Solar
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0.086787577
8,0.306117694
9,0.498214991
10,0.650976145
11,0.725891779
12,0.762858955
13,0.739665866
14,0.661427578
15,0.533918576
16,0.358523326
17,0.156174449
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0.300025272
33,0.489949487
34,0
35,0.717812994
36,0
37,0.69134686
38,0.628359265
39,0.519022034
40,0.314767527
41,0.153673454
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0.081847111
56,0.292354965
57,0.414838065
58,0.614093952
59,0.64050998
60,0.661668657
61,0.688154171
62,0.617864553
63,0.511204769
64,0.337488304
65,0.160041569
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0.066952007
80,0.272491572
81,0.228379415
82,0.436334065
83,0.693948661
84,0.675826632
85,0.690986459
86,0.653813093
87,0.535568314
88,0.36011089
89,0.158450646
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0.057615476
104,0.287510219
105,0.395004743
106,0.574522818
107,0.729550361
108,0.768286791
109,0.74370219
110,0.669640064
111,0.541686883
112,0.365548778
113,0.162374122
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0.083983633
128,0.307667458
129,0.501437439
130,0.647350406
131,0.73882813
132,0.774032653
133,0.749469888
134,0.674908802
135,0.542571845
136,0.370279882
137,0.166678273
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0.08454877
152,0.300029518
153,0.497678018
154,0.647452179
155,0.736957156
156,0.77022514
157,0.752200044
158,0.67473997
159,0.545563026
160,0.373646239
161,0.169953639
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0.0769786
176,0.294716445
177,0.490790825
178,0.643412145
179,0.73603985
180,0.771851096
181,0.748093757
182,0.67732616
183,0.545747471
184,0.364592857
185,0.169188029
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0.078111795
200,0.296725978
201,0.469916424
202,0.637656757
203,0.735530527
204,0.771996863
205,0.751659315
206,0.678054845
207,0.553175378
208,0.371418961
209,0.174666693
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0.053983034
224,0.246616025
225,0.457679911
226,0.602787871
227,0.715735215
228,0.673852628
229,0.678455331
230,0.661077105
231,0.534293273
232,0.376206317
233,0.175133073
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0.057717777
248,0.279336786
249,0.474567991
250,0.634764111
251,0.733592728
252,0.771300903
253,0.748488907
254,0.670546169
255,0.552827873
256,0.379751373
257,0.174789639
258,0.00573348
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0.021701802
272,0.239427901
273,0.487155939
274,0
275,0.731439827
276,0.770353195
277,0.754529963
278,0.679427387
279,0.553746685
280,0.378196097
281,0.176983908
282,0.00573348
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0.02571889
296,0.289938722
297,0.48750075
298,0.641732902
299,0.734906773
300,0.773065306
301,0.754235251
302,0.681942652
303,0.5546602
304,0.381023186
305,0.177087093
306,0.005724875
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0.069888773
320,0.283768226
321,0.481660033
322,0.638300404
323,0.734774205
324,0.774192652
325,0.758915467
326,0.684270249
327,0.559893081
328,0.385239461
329,0.181540704
330,0.006673587
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0.070136469
344,0.284435213
345,0.482607342
346,0.635436957
347,0.732856793
348,0.772037115
349,0.757609832
350,0.686298482
351,0.554734169
352,0.396293722
353,0.176472515
354,0.006677706
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.073044518
368,0.077803124
369,0.454126956
370,0.632885773
371,0.729881813
372,0.770010372
373,0.752615979
374,0.685168535
375,0.553817393
376,0.381467603
377,0.181808714
378,0.008586545
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0.065789521
392,0.277641786
393,0.474771156
394,0.631636566
395,0.729080514
396,0.769724774
397,0.75550099
398,0.685643991
399,0.559527708
400,0.38748251
401,0.184549389
402,0.009536521
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0.009885885
416,0.123550136
417,0.444324668
418,0.626269868
419,0.731868096
420,0.77558058
421,0.759079431
422,0.69127762
423,0.563632084
424,0.391613771
425,0.187011718
426,0.0095295
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0.029436871
440,0.273274872
441,0.474608401
442,0.63241052
443,0.736595254
444,0.780427391
445,0.76643556
446,0.693521183
447,0.568819942
448,0.39571956
449,0.189097284
450,0.010496926
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0.069398345
464,0.288115668
465,0.48751032
466,0.645455311
467,0.747858993
468,0.789780045
469,0.773019668
470,0.702382321
471,0.575100144
472,0.400705716
473,0.186651446
474,0.011466332
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0.072324373
488,0.285827448
489,0.495035674
490,0.653848107
491,0.755545265
492,0.794317779
493,0.784243846
494,0.696118442
495,0.575193481
496,0.40193652
497,0.172696763
498,0.011546235
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0.064701312
512,0.293936797
513,0.4714073
514,0.656213356
515,0.760470472
516,0.799791592
517,0.783513445
518,0.710974384
519,0.59068106
520,0.397987635
521,0.209677848
522,0.012501833
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0.075690379
536,0.306959841
537,0.508891205
538,0.666825133
539,0.75998127
540,0.794995657
541,0.779188748
542,0.714797702
543,0.575783208
544,0.394505184
545,0.205470553
546,0.013409359
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0.072557651
560,0.301319984
561,0.504408553
562,0.658929974
563,0.763862688
564,0.806502403
565,0.789940521
566,0.713935278
567,0.584601643
568,0.404657996
569,0.194185577
570,0.011499916
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0.056723926
584,0.262845408
585,0.481499379
586,0.619872451
587,0.708635154
588,0.77575409
589,0.767866569
590,0.706637927
591,0.591405318
592,0.390896652
593,0.18858977
594,0.014295556
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0.066506438
608,0.296484022
609,0.502290234
610,0.661171626
611,0.763065518
612,0.805691155
613,0.789282201
614,0.713032854
615,0.581868509
616,0.407003605
617,0.202459398
618,0.014298957
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0.069812748
632,0.295164394
633,0.492045405
634,0.661769911
635,0.76145476
636,0.80488667
637,0.78909852
638,0.717071871
639,0.585599612
640,0.407830875
641,0.204490469
642,0.016169484
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0.066868279
656,0.284394819
657,0.492853068
658,0.650792323
659,0.750636103
660,0.797674945
661,0.782786312
662,0.712278774
663,0.579359505
664,0.406809173
665,0.203258219
666,0.016182193
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0.062974741
680,0.285818966
681,0.465193267
682,0.644992729
683,0.754413949
684,0.798385283
685,0.783388299
686,0.712347099
687,0.582140743
688,0.4079268
689,0.205045991
690,0.016217848
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0.068417853
704,0.298273181
705,0.498706275
706,0.657344507
707,0.754743253
708,0.747285784
709,0.673372472
710,0.631544744
711,0.514227668
712,0.387966753
713,0.21743842
714,0.017162111
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0.031484987
728,0.290700872
729,0.496169923
730,0.658207148
731,0.75762312
732,0.797560242
733,0.782459181
734,0.703259267
735,0.584207319
736,0.411807709
737,0.208334027
738,0.018107176
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0.073312836
752,0.293958419
753,0.513616617
754,0.681317328
755,0.772197747
756,0.820085347
757,0.808930492
758,0.739750787
759,0.611084966
760,0.42959581
761,0.215283316
762,0.01725945
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0.07558254
776,0.297791752
777,0.512018447
778,0.674625744
779,0.775975517
780,0.824096914
781,0.813229108
782,0.740117589
783,0.615042563
784,0.427787526
785,0.220151162
786,0.018199328
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0.075785734
800,0.300033664
801,0.511424749
802,0.67353697
803,0.774675422
804,0.818701047
805,0.800770707
806,0.74103552
807,0.613664445
808,0.432152644
809,0.220249409
810,0.018135025
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0.069057216
824,0.308704703
825,0.494352102
826,0.655177735
827,0.730141242
828,0.649773361
829,0.715874454
830,0.727163315
831,0.607530762
832,0.435303291
833,0.200815796
834,0.018213307
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0.065486503
848,0.277658722
849,0.495207278
850,0.661320077
851,0.769758563
852,0.813759191
853,0.809850742
854,0.741030782
855,0.616810957
856,0.43917226
857,0.223760132
858,0.020029292
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0.070893997
872,0.295634825
873,0.517325637
874,0.685352493
875,0.793792438
876,0.838547319
877,0.830132955
878,0.752613014
879,0.630116783
880,0.445688421
881,0.228280773
882,0.020087828
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0.077591392
896,0.312500062
897,0.532883636
898,0.702101807
899,0.808313461
900,0.84959224
901,0.844023051
902,0.76694245
903,0.639731068
904,0.454783692
905,0.232715999
906,0.021090832
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0.085011139
920,0.324937745
921,0.54309098
922,0.718168227
923,0.81344359
924,0.855347677
925,0.851582289
926,0.763625968
927,0.642903916
928,0.449787068
929,0.234678354
930,0.021069628
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0.078903832
944,0.316162017
945,0.525154241
946,0.700803759
947,0.805440653
948,0.850432394
949,0.842853732
950,0.7688117
951,0.635888428
952,0.451861677
953,0.232825051
954,0.020117782
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0.081449836
968,0.313447003
969,0.529163693
970,0.68868624
971,0.790974671
972,0.836186774
973,0.82605806
974,0.747969967
975,0.620500894
976,0.444231986
977,0.226610598
978,0.020952426
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0.077151639
992,0.298447923
993,0.513133316
994,0.657327069
995,0.734166956
996,0.771470507
997,0.795762461
998,0.692678079
999,0.588271956
1000,0.429334189
1001,0.231336382
1002,0.018138404
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0.057840942
1016,0.300582036
1017,0.503899152
1018,0.669044417
1019,0.773520637
1020,0.823477281
1021,0.810870794
1022,0.723642833
1023,0.603537213
1024,0.438368076
1025,0.222947305
1026,0.018106257
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0.080689799
1040,0.311672027
1041,0.527296909
1042,0.683918088
1043,0.787356964
1044,0.829800861
1045,0.807652559
1046,0.724203763
1047,0.601460493
1048,0.441763446
1049,0.23024927
1050,0.021989314
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0.085126865
1064,0.322311848
1065,0.532967447
1066,0.626571118
1067,0.706160439
1068,0.812451939
1069,0.800380547
1070,0.745990859
1071,0.617769132
1072,0.450854607
1073,0.239313957
1074,0.022929447
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0.084374142
1088,0.316594353
1089,0.515558493
1090,0.692621806
1091,0.801668605
1092,0.843734559
1093,0.833043933
1094,0.7607472
1095,0.635158216
1096,0.443262904
1097,0.249134125
1098,0.023825711
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0.085329957
1112,0.319196407
1113,0.531305288
1114,0.693589812
1115,0.786365082
1116,0.835194062
1117,0.822712805
1118,0.719699612
1119,0.601206772
1120,0.387894491
1121,0.18639937
1122,0.022848265
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0.086435303
1136,0.315321119
1137,0.527644566
1138,0.68331612
