period,scenario,demand,supply_renewable,supply_generator,supply_grid_import,supply_battery_discharge,supply_lost_load,sink_battery_charge,sink_grid_export,balance_lhs,balance_residual
0,scenario_1,0.4409364,0.0,0.0,0.0,0.4409364,0.0,0.0,0.0,0.4409364,0.0
1,scenario_1,0.4795025,0.0,0.0,0.0,0.4795025,0.0,0.0,0.0,0.4795025,0.0
2,scenario_1,0.503402217,0.0,0.0,0.0,0.503402217,0.0,0.0,0.0,0.503402217,0.0
3,scenario_1,1.346520717,0.0,0.0,0.0,1.346520717,0.0,0.0,0.0,1.346520717,0.0
4,scenario_1,6.9349076,0.0,0.0,0.0,6.9349076,0.0,0.0,0.0,6.9349076,0.0
5,scenario_1,7.544392633,0.0,0.0,0.0,7.544392633,0.0,0.0,0.0,7.544392633,0.0
6,scenario_1,4.66692965,0.0,0.0,0.0,4.66692965,0.0,0.0,0.0,4.66692965,0.0
7,scenario_1,13.66380342,10.63581756135,0.0,0.0,3.02798585865,0.0,0.0,0.0,13.66380342,0.0
8,scenario_1,52.11430821,37.5147233997,0.0,0.0,14.599584810299994,0.0,0.0,0.0,52.11430821,0.0
9,scenario_1,62.86125445,61.05624714705,0.0,0.0,1.8050073029499956,0.0,0.0,0.0,62.86125445,0.0
10,scenario_1,66.73172272,79.77712656975001,0.0,0.0,0.0,0.0,13.045403849750016,0.0,66.73172272,0.0
11,scenario_1,30.92933008,40.932283870867195,0.0,0.0,0.0,0.0,10.002953790867192,0.0,30.929330080000003,3.552713678800501e-15
12,scenario_1,24.7454494,52.7454494,0.0,0.0,0.0,0.0,28.0,0.0,24.7454494,0.0
13,scenario_1,83.12378468,83.12378468,0.0,0.0,0.0,0.0,0.0,0.0,83.12378468,0.0
14,scenario_1,41.76079236,41.76079236,0.0,0.0,0.0,0.0,0.0,0.0,41.76079236,0.0
15,scenario_1,16.20787302,16.20787302,0.0,0.0,0.0,0.0,0.0,0.0,16.20787302,0.0
16,scenario_1,8.764609327,8.764609327,0.0,0.0,0.0,0.0,0.0,0.0,8.764609327,0.0
17,scenario_1,5.049630867,5.049630867,0.0,0.0,0.0,0.0,0.0,0.0,5.049630867,0.0
18,scenario_1,6.2960814,0.0,0.0,0.0,6.2960814,0.0,0.0,0.0,6.2960814,0.0
19,scenario_1,9.090179233,0.0,0.0,0.0,9.090179233,0.0,0.0,0.0,9.090179233,0.0
20,scenario_1,8.670561233,0.0,0.0,0.0,8.670561233,0.0,0.0,0.0,8.670561233,0.0
21,scenario_1,8.513393767,0.0,0.0,0.0,8.513393767,0.0,0.0,0.0,8.513393767,0.0
22,scenario_1,7.815425567,0.0,0.0,0.0,7.815425567,0.0,0.0,0.0,7.815425567,0.0
23,scenario_1,5.741444233,0.0,0.0,0.0,5.741444233,0.0,0.0,0.0,5.741444233,0.0
24,scenario_1,0.441203183,0.0,0.0,0.0,0.441203183,0.0,0.0,0.0,0.441203183,0.0
25,scenario_1,0.475152267,0.0,0.0,0.0,0.475152267,0.0,0.0,0.0,0.475152267,0.0
26,scenario_1,0.510602667,0.0,0.0,0.0,0.510602667,0.0,0.0,0.0,0.510602667,0.0
27,scenario_1,1.442137217,0.0,0.0,0.0,1.442137217,0.0,0.0,0.0,1.442137217,0.0
28,scenario_1,6.827004317,0.0,0.0,0.0,6.827004317,0.0,0.0,0.0,6.827004317,0.0
29,scenario_1,7.905773967,0.0,0.0,0.0,7.905773967,0.0,0.0,0.0,7.905773967,0.0
30,scenario_1,4.7532742,0.0,0.0,0.0,4.7532742,0.0,0.0,0.0,4.7532742,0.0
31,scenario_1,3.431876967,0.0,0.0,0.0,3.431876967,0.0,0.0,0.0,3.431876967,0.0
32,scenario_1,27.56392505,36.7680970836,0.0,0.0,0.0,0.0,9.204172033599995,0.0,27.56392505,0.0
33,scenario_1,51.96270097,60.04330963184999,0.0,0.0,0.0,0.0,8.080608661849993,0.0,51.96270097,0.0
34,scenario_1,38.14502689,0.0,0.0,0.0,28.0,10.145026889999997,0.0,0.0,38.14502689,0.0
35,scenario_1,19.32713189,47.327131890000004,0.0,0.0,0.0,0.0,28.0,0.0,19.327131890000004,3.552713678800501e-15
36,scenario_1,6.780683629,0.0,0.0,0.0,6.780683629,0.0,0.0,0.0,6.780683629,0.0
37,scenario_1,40.72134095,58.724488062195675,0.0,0.0,0.0,0.0,18.003147112195673,0.0,40.72134095,0.0
38,scenario_1,40.44873003,68.44873003000001,0.0,0.0,0.0,0.0,28.0,0.0,40.44873003000001,7.105427357601002e-15
39,scenario_1,4.841371555,32.841371555,0.0,0.0,0.0,0.0,28.0,0.0,4.841371555000002,1.7763568394002505e-15
40,scenario_1,4.640228867,4.640228867,0.0,0.0,0.0,0.0,0.0,0.0,4.640228867,0.0
41,scenario_1,6.398641883,18.832681787699997,0.0,0.0,0.0,0.0,12.434039904699997,0.0,6.398641883,0.0
42,scenario_1,7.307193267,0.0,0.0,0.0,7.307193267,0.0,0.0,0.0,7.307193267,0.0
43,scenario_1,9.408008833,0.0,0.0,0.0,9.408008833,0.0,0.0,0.0,9.408008833,0.0
44,scenario_1,8.204142433,0.0,0.0,0.0,8.204142433,0.0,0.0,0.0,8.204142433,0.0
45,scenario_1,8.04307445,0.0,0.0,0.0,8.04307445,0.0,0.0,0.0,8.04307445,0.0
46,scenario_1,7.87572445,0.0,0.0,0.0,7.87572445,0.0,0.0,0.0,7.87572445,0.0
47,scenario_1,6.637925983,0.0,0.0,0.0,6.637925983,0.0,0.0,0.0,6.637925983,0.0
48,scenario_1,0.451620433,0.0,0.0,0.0,0.451620433,0.0,0.0,0.0,0.451620433,0.0
49,scenario_1,0.499518117,0.0,0.0,0.0,0.499518117,0.0,0.0,0.0,0.499518117,0.0
50,scenario_1,0.50293615,0.0,0.0,0.0,0.50293615,0.0,0.0,0.0,0.50293615,0.0
51,scenario_1,1.488338683,0.0,0.0,0.0,1.488338683,0.0,0.0,0.0,1.488338683,0.0
52,scenario_1,7.294022517,0.0,0.0,0.0,7.294022517,0.0,0.0,0.0,7.294022517,0.0
53,scenario_1,8.857421483,0.0,0.0,0.0,8.857421483,0.0,0.0,0.0,8.857421483,0.0
54,scenario_1,3.6585093,0.0,0.0,0.0,3.6585093,0.0,0.0,0.0,3.6585093,0.0
55,scenario_1,9.486929607,9.486929607,0.0,0.0,0.0,0.0,0.0,0.0,9.486929607,0.0
56,scenario_1,42.41700922,35.82810096075,0.0,0.0,6.5889082592499975,0.0,0.0,0.0,42.41700922,0.0
57,scenario_1,53.62016504,50.83840486574999,0.0,0.0,2.78176017425001,0.0,0.0,0.0,53.62016504,0.0
58,scenario_1,48.28467361,48.28467361,0.0,0.0,0.0,0.0,0.0,0.0,48.28467361,0.0
59,scenario_1,19.36919307,19.36919307,0.0,0.0,0.0,0.0,0.0,0.0,19.36919307,0.0
60,scenario_1,6.51560744,6.51560744,0.0,0.0,0.0,0.0,0.0,0.0,6.51560744,0.0
61,scenario_1,19.32138447,19.32138447,0.0,0.0,0.0,0.0,0.0,0.0,19.32138447,0.0
62,scenario_1,23.67618162,51.67618162,0.0,0.0,0.0,0.0,28.0,0.0,23.67618162,0.0
63,scenario_1,4.501678702,32.501678702,0.0,0.0,0.0,0.0,28.0,0.0,4.5016787019999995,-8.881784197001252e-16
64,scenario_1,4.087247178,32.087247178,0.0,0.0,0.0,0.0,28.0,0.0,4.087247177999998,-1.7763568394002505e-15
65,scenario_1,5.307656766,19.5781561888395,0.0,0.0,0.0,0.0,14.270499422839498,0.0,5.307656766000003,2.6645352591003757e-15
66,scenario_1,7.97380855,0.0,0.0,0.0,0.0,7.97380855,0.0,0.0,7.97380855,0.0
67,scenario_1,9.289242217,0.0,0.0,0.0,9.289242217,0.0,0.0,0.0,9.289242217,0.0
68,scenario_1,8.448476367,0.0,0.0,0.0,8.448476367,0.0,0.0,0.0,8.448476367,0.0
69,scenario_1,8.27972585,0.0,0.0,0.0,0.0,8.27972585,0.0,0.0,8.27972585,0.0
70,scenario_1,7.3753237,0.0,0.0,0.0,6.4038356408499695,0.9714880591500306,0.0,0.0,7.3753237,0.0
71,scenario_1,5.700107467,0.0,0.0,0.0,0.0,5.700107467,0.0,0.0,5.700107467,0.0
72,scenario_1,0.412602783,0.0,0.0,0.0,0.412602783,0.0,0.0,0.0,0.412602783,0.0
73,scenario_1,0.467202317,0.0,0.0,0.0,0.0,0.467202317,0.0,0.0,0.467202317,0.0
74,scenario_1,0.552435917,0.0,0.0,0.0,0.0,0.552435917,0.0,0.0,0.552435917,0.0
75,scenario_1,1.164820417,0.0,0.0,0.0,1.164820417,0.0,0.0,0.0,1.164820417,0.0
76,scenario_1,7.249789183,0.0,0.0,0.0,7.249789183,0.0,0.0,0.0,7.249789183,0.0
77,scenario_1,7.95886035,0.0,0.0,0.0,7.95886035,0.0,0.0,0.0,7.95886035,0.0
78,scenario_1,5.346049167,0.0,0.0,0.0,0.0,5.346049167,0.0,0.0,5.346049167,0.0
79,scenario_1,12.0773415,8.204968457849999,0.0,0.0,3.8723730421500004,0.0,0.0,0.0,12.0773415,0.0
80,scenario_1,75.19880397,33.3938421486,0.0,0.0,28.0,13.8049618214,0.0,0.0,75.19880397,0.0
81,scenario_1,76.59335436,27.987897308249998,0.0,0.0,28.0,20.605457051750008,0.0,0.0,76.59335436,0.0
82,scenario_1,48.07468595,53.47273966575,0.0,0.0,0.0,0.0,5.398053715749995,0.0,48.07468595,0.0
83,scenario_1,29.55285992,57.55285992,0.0,0.0,0.0,0.0,28.0,0.0,29.552859920000003,3.552713678800501e-15
84,scenario_1,33.2964483,33.2964483,0.0,0.0,0.0,0.0,0.0,0.0,33.2964483,0.0
85,scenario_1,58.38187843,81.70165007139447,0.0,0.0,0.0,0.0,23.319771641394468,0.0,58.38187843,0.0
86,scenario_1,41.3420201,69.3420201,0.0,0.0,0.0,0.0,28.0,0.0,41.3420201,0.0
87,scenario_1,15.86039388,15.86039388,0.0,0.0,0.0,0.0,0.0,0.0,15.86039388,0.0
88,scenario_1,10.63519287,38.63519287,0.0,0.0,0.0,0.0,28.0,0.0,10.635192869999997,-1.7763568394002505e-15
89,scenario_1,7.69150758,19.418126667299997,0.0,0.0,0.0,0.0,11.726619087299998,0.0,7.69150758,0.0
90,scenario_1,6.859394033,0.0,0.0,0.0,6.859394033,0.0,0.0,0.0,6.859394033,0.0
91,scenario_1,9.120160883,0.0,0.0,0.0,0.0,9.120160883,0.0,0.0,9.120160883,0.0
92,scenario_1,8.861359333,0.0,0.0,0.0,8.861359333,0.0,0.0,0.0,8.861359333,0.0
93,scenario_1,8.715959583,0.0,0.0,0.0,7.640162607100026,1.0757969758999746,0.0,0.0,8.715959583,0.0
94,scenario_1,7.82629375,0.0,0.0,0.0,7.82629375,0.0,0.0,0.0,7.82629375,0.0
95,scenario_1,6.602045217,0.0,0.0,0.0,0.0,6.602045217,0.0,0.0,6.602045217,0.0
96,scenario_1,0.43880255,0.0,0.0,0.0,0.43880255,0.0,0.0,0.0,0.43880255,0.0
97,scenario_1,0.467801667,0.0,0.0,0.0,0.467801667,0.0,0.0,0.0,0.467801667,0.0
98,scenario_1,0.488535067,0.0,0.0,0.0,0.488535067,0.0,0.0,0.0,0.488535067,0.0
99,scenario_1,0.779385783,0.0,0.0,0.0,0.779385783,0.0,0.0,0.0,0.779385783,0.0
100,scenario_1,6.61043705,0.0,0.0,0.0,6.61043705,0.0,0.0,0.0,6.61043705,0.0
101,scenario_1,7.38898995,0.0,0.0,0.0,7.38898995,0.0,0.0,0.0,7.38898995,0.0
102,scenario_1,4.313163283,0.0,0.0,0.0,4.313163283,0.0,0.0,0.0,4.313163283,0.0
103,scenario_1,17.27042748,7.0607765838,0.0,0.0,0.0,10.2096508962,0.0,0.0,17.27042748,0.0
104,scenario_1,59.26947517,35.23437733845,0.0,0.0,24.035097831549997,0.0,0.0,0.0,59.26947517,0.0
105,scenario_1,73.49840835,48.40783125465,0.0,0.0,25.090577095350007,0.0,0.0,0.0,73.49840835,0.0
106,scenario_1,65.0297441,70.4077713459,0.0,0.0,0.0,0.0,5.3780272459,0.0,65.0297441,0.0
107,scenario_1,32.1601026,60.1601026,0.0,0.0,0.0,0.0,28.0,0.0,32.1601026,0.0
108,scenario_1,25.16719857,38.62051766404444,0.0,0.0,0.0,0.0,13.453319094044438,0.0,25.167198570000004,3.552713678800501e-15
109,scenario_1,69.52760528,91.14070338450001,0.0,0.0,0.0,0.0,21.61309810450001,0.0,69.52760528,0.0
110,scenario_1,40.35851155,68.35851155,0.0,0.0,0.0,0.0,28.0,0.0,40.35851155,0.0
111,scenario_1,16.06080822,44.06080822,0.0,0.0,0.0,0.0,28.0,0.0,16.06080822,0.0
112,scenario_1,11.13203721,11.13203721,0.0,0.0,0.0,0.0,0.0,0.0,11.13203721,0.0
113,scenario_1,6.720934517,6.720934517,0.0,0.0,0.0,0.0,0.0,0.0,6.720934517,0.0
114,scenario_1,7.718729683,0.0,0.0,0.0,7.718729683,0.0,0.0,0.0,7.718729683,0.0
115,scenario_1,8.156762667,0.0,0.0,0.0,8.156762667,0.0,0.0,0.0,8.156762667,0.0
116,scenario_1,8.333526983,0.0,0.0,0.0,8.333526983,0.0,0.0,0.0,8.333526983,0.0
117,scenario_1,8.669541767,0.0,0.0,0.0,8.669541767,0.0,0.0,0.0,8.669541767,0.0
118,scenario_1,8.061559033,0.0,0.0,0.0,6.484590475049978,1.576968557950022,0.0,0.0,8.061559033,0.0
119,scenario_1,6.1051599,0.0,0.0,0.0,6.1051599,0.0,0.0,0.0,6.1051599,0.0
120,scenario_1,0.433403,0.0,0.0,0.0,0.433403,0.0,0.0,0.0,0.433403,0.0
121,scenario_1,0.50298505,0.0,0.0,0.0,0.50298505,0.0,0.0,0.0,0.50298505,0.0
122,scenario_1,0.561852467,0.0,0.0,0.0,0.561852467,0.0,0.0,0.0,0.561852467,0.0
123,scenario_1,1.003154,0.0,0.0,0.0,1.003154,0.0,0.0,0.0,1.003154,0.0
124,scenario_1,7.334155783,0.0,0.0,0.0,7.334155783,0.0,0.0,0.0,7.334155783,0.0
125,scenario_1,7.6850431,0.0,0.0,0.0,7.6850431,0.0,0.0,0.0,7.6850431,0.0
126,scenario_1,4.142467567,0.0,0.0,0.0,4.142467567,0.0,0.0,0.0,4.142467567,0.0
127,scenario_1,17.51604568,10.292194224149998,0.0,0.0,7.223851455850003,0.0,0.0,0.0,17.51604568,0.0
128,scenario_1,64.14942308,37.7046469779,0.0,0.0,26.444776102100008,0.0,0.0,0.0,64.14942308,0.0
129,scenario_1,55.28743949,55.28743949,0.0,0.0,0.0,0.0,0.0,0.0,55.28743949,0.0
130,scenario_1,59.10552257,79.3327922553,0.0,0.0,0.0,0.0,20.22726968530001,0.0,59.10552257,0.0
131,scenario_1,37.80177498,65.80177498,0.0,0.0,0.0,0.0,28.0,0.0,37.801774980000005,7.105427357601002e-15
132,scenario_1,29.6765353,57.6765353,0.0,0.0,0.0,0.0,28.0,0.0,29.676535299999998,-3.552713678800501e-15
133,scenario_1,78.6250588,91.8475347744,0.0,0.0,0.0,0.0,13.222475974399998,0.0,78.6250588,0.0
134,scenario_1,45.35615928,45.35615928,0.0,0.0,0.0,0.0,0.0,0.0,45.35615928,0.0
135,scenario_1,15.95275086,37.4319844098062,0.0,0.0,0.0,0.0,21.479233549806196,0.0,15.952750860000002,1.7763568394002505e-15
136,scenario_1,14.70428766,14.70428766,0.0,0.0,0.0,0.0,0.0,0.0,14.70428766,0.0
137,scenario_1,5.653034667,5.653034667,0.0,0.0,0.0,0.0,0.0,0.0,5.653034667,0.0
