meta,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Constant_Demand,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,Moderate_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth,High_Growth
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045
0,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,17.312,20.7744,24.92928,29.915136,35.8981632,43.07779584,51.69335501,62.03202601,74.43843121,89.32611745,107.1913409,128.6296091,154.355531,185.2266372,222.2719646,266.7263575,320.071629,384.0859548,460.9031458,553.0837749,17.312,24.2368,29.08416,34.900992,41.8811904,50.25742848,60.30891418,72.37069701,86.84483641,104.2138037,125.0565644,150.0678773,180.0814528,216.0977433,259.317292,311.1807504,373.4169005,448.1002806,537.7203367,645.2644041
1,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,25.614,30.7368,36.88416,44.260992,53.1131904,63.73582848,76.48299418,91.77959301,110.1355116,132.1626139,158.5951367,190.3141641,228.3769969,274.0523963,328.8628755,394.6354506,473.5625407,568.2750489,681.9300587,818.3160704,25.614,35.8596,43.03152,51.637824,61.9653888,74.35846656,89.23015987,107.0761918,128.4914302,154.1897163,185.0276595,222.0331914,266.4398297,319.7277956,383.6733548,460.4080257,552.4896309,662.987557,795.5850684,954.7020821
2,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,29.901,35.8812,43.05744,51.668928,62.0027136,74.40325632,89.28390758,107.1406891,128.5688269,154.2825923,185.1391108,222.1669329,266.6003195,319.9203834,383.9044601,460.6853521,552.8224225,663.386907,796.0642884,955.2771461,29.901,41.8614,50.23368,60.280416,72.3364992,86.80379904,104.1645588,124.9974706,149.9969647,179.9963577,215.9956292,259.1947551,311.0337061,373.2404473,447.8885368,537.4662441,644.9594929,773.9513915,928.7416698,1114.490004
3,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,38.433,46.1196,55.34352,66.412224,79.6946688,95.63360256,114.7603231,137.7123877,165.2548652,198.3058383,237.9670059,285.5604071,342.6724885,411.2069862,493.4483835,592.1380602,710.5656722,852.6788067,1023.214568,1227.857482,38.433,53.8062,64.56744,77.480928,92.9771136,111.5725363,133.8870436,160.6644523,192.7973428,231.3568113,277.6281736,333.1538083,399.7845699,479.7414839,575.6897807,690.8277369,828.9932842,994.7919411,1193.750329,1432.500395
4,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,53.686,64.4232,77.30784,92.769408,111.3232896,133.5879475,160.305537,192.3666444,230.8399733,277.007968,332.4095616,398.8914739,478.6697687,574.4037224,689.2844669,827.1413603,992.5696323,1191.083559,1429.300271,1715.160325,53.686,75.1604,90.19248,108.230976,129.8771712,155.8526054,187.0231265,224.4277518,269.3133022,323.1759626,387.8111552,465.3733862,558.4480634,670.1376761,804.1652114,964.9982536,1157.997904,1389.597485,1667.516982,2001.020379
5,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,66.868,80.2416,96.28992,115.547904,138.6574848,166.3889818,199.6667781,239.6001337,287.5201605,345.0241926,414.0290311,496.8348373,596.2018048,715.4421657,858.5305989,1030.236719,1236.284062,1483.540875,1780.24905,2136.29886,66.868,93.6152,112.33824,134.805888,161.7670656,194.1204787,232.9445745,279.5334894,335.4401872,402.5282247,483.0338696,579.6406435,695.5687722,834.6825267,1001.619032,1201.942838,1442.331406,1730.797687,2076.957225,2492.34867
6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,12.72,15.264,18.3168,21.98016,26.376192,31.6514304,37.98171648,45.57805978,54.69367173,65.63240608,78.75888729,94.51066475,113.4127977,136.0953572,163.3144287,195.9773144,235.1727773,282.2073328,338.6487993,10.6,14.84,17.808,21.3696,25.64352,30.772224,36.9266688,44.31200256,53.17440307,63.80928369,76.57114042,91.88536851,110.2624422,132.3149307,158.7779168,190.5335001,228.6402002,274.3682402,329.2418882,395.0902659
7,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,222.357,266.8284,320.19408,384.232896,461.0794752,553.2953702,663.9544443,796.7453331,956.0943998,1147.31328,1376.775936,1652.131123,1982.557347,2379.068817,2854.88258,3425.859096,4111.030916,4933.237099,5919.884518,7103.861422,222.357,311.2998,373.55976,448.271712,537.9260544,645.5112653,774.6135183,929.536222,1115.443466,1338.53216,1606.238592,1927.48631,2312.983572,2775.580286,3330.696344,3996.835612,4796.202735,5755.443282,6906.531938,8287.838326
8,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,250.941,301.1292,361.35504,433.626048,520.3512576,624.4215091,749.3058109,899.1669731,1079.000368,1294.800441,1553.76053,1864.512635,2237.415163,2684.898195,3221.877834,3866.253401,4639.504081,5567.404897,6680.885877,8017.063052,250.941,351.3174,421.58088,505.897056,607.0764672,728.4917606,874.1901128,1049.028135,1258.833762,1510.600515,1812.720618,2175.264741,2610.31769,3132.381228,3758.857473,4510.628968,5412.754761,6495.305714,7794.366856,9353.240228
