Periods,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
1,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497,3872.779497
2,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149,3967.331149
3,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974,4254.746974
4,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545,4257.688545
5,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794,4217.07794
6,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124,4241.818124
7,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434,5655.901434
8,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372,8785.677372
9,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197,8401.853197
10,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947,7895.184947
11,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237,9973.921237
12,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734,9666.068734
13,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275,9279.889275
14,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244,10536.5244
15,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781,20070.07781
16,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606,14148.19606
17,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986,11612.4986
18,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851,8648.979851
19,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997,10247.70997
20,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283,14243.28283
21,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699,18024.50699
22,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437,19862.67437
23,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678,17532.25678
