Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,4002.1111433333385,4002.9115655620053,4003.712147875118,4004.5128903046925,4005.313792882753,4006.1148556413295,4006.9160786124576,4007.71746182818,4008.5190053205456,4009.3207091216095
2,3868.652646333337,3869.426376862604,3870.200262137976,3870.9743021904037,3871.7484970508417,3872.5228467502516,3873.2973513196016,3874.0720107898655,3874.8468251920235,3875.621794557062
3,3925.975927666671,3926.761122852204,3927.5464750767746,3928.33198437179,3929.117650768664,3929.903474298818,3930.6894549936774,3931.475592884676,3932.2618880032533,3933.048340380854
4,4261.768692333337,4262.621046071803,4263.473570281018,4264.326264995074,4265.179130248072,4266.032166074122,4266.885372507337,4267.738749581838,4268.592297331755,4269.446015791221
5,4240.177231666669,4241.025267113003,4241.873472166425,4242.721846860858,4243.57039123023,4244.419105308476,4245.267989129537,4246.117042727364,4246.966266135909,4247.815659389136
6,4093.9319116586457,4094.7506980409776,4095.569648180586,4096.388762110222,4097.208039862644,4098.027481470616,4098.84708696691,4099.666856384303,4100.48678975558,4101.306887113531
7,5198.419039120643,5199.458722928467,5200.4986146730525,5201.538714395987,5202.579022138866,5203.619537943294,5204.660261850882,5205.701193903253,5206.7423341420335,5207.783682608861
8,8044.301352711589,8045.910212982131,8047.519395024728,8049.128898903732,8050.738724683512,8052.348872428449,8053.959342202935,8055.570134071375,8057.181248098189,8058.792684347808
9,7448.989962100059,7450.4797600924785,7451.969856044497,7453.460250015705,7454.950942065709,7456.441932254122,7457.9332206405725,7459.4248072847,7460.916692246157,7462.408875584606
10,7231.014888205531,7232.461091183171,7233.907583401408,7235.354364918088,7236.8014357910715,7238.248796078229,7239.696445837445,7241.144385126612,7242.592614003637,7244.041132526438
11,8970.24116854142,8972.03521677513,8973.829623818485,8975.624389743249,8977.419514621197,8979.214998524121,8981.010841523826,8982.807043692132,8984.60360510087,8986.400525821891
12,8418.120276517013,8419.803900572317,8421.48786135243,8423.1721589247,8424.856793356486,8426.541764715157,8428.2270730681,8429.912718482712,8431.598701026409,8433.285020766614
13,7814.687156353338,7816.250093784608,7817.813343803365,7819.3769064721255,7820.94078185342,7822.504970009791,7824.069471003792,7825.634284897993,7827.199411754972,7828.764851637323
14,9170.448350894108,9172.282440564288,9174.1168970524,9175.951720431809,9177.786910775894,9179.62246815805,9181.45839265168,9183.29468433021,9185.131343267076,9186.968369535729
