Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,68.09906666666667,68.11268648000001,68.12630901729601,68.13993427909946,68.15356226595529,68.16719297840848,68.18082641700416,68.19446258228756,68.20810147480401,68.22174309509897
2,186.80837333333344,186.8457350080001,186.8831041550017,186.9204807758327,186.95786487198785,186.99525644496225,187.03265549625124,187.07006202735047,187.10747603975594,187.1448975349639
3,183.8203466666669,183.8571107360002,183.8938821581474,183.930660934579,183.9674470667659,184.00424055617927,184.0410414042905,184.07784961257136,184.11466518249387,184.15148811553036
4,314.0992533333336,314.16207318400023,314.224905598637,314.28775057975673,314.3506081298727,314.41347825149865,314.4763609471489,314.53925621933837,314.6021640705822,314.6650845033963
5,328.2857866666669,328.3514438240002,328.41711411276503,328.48279753558757,328.54849409509467,328.6142037939137,328.6799266346725,328.7456626199994,328.8114117525234,328.87717403487386
6,191.02717333333345,191.0653787680001,191.1035918437537,191.14181256212242,191.18004092463485,191.21827693281978,191.25652058820634,191.29477189232398,191.33303084670243,191.37129745287177
7,376.4958133333338,376.57111249600047,376.64642671849964,376.7217560038433,376.7971003550441,376.8724597751151,376.9478342670701,377.0232238339235,377.0986284786903,377.174048204386
8,625.5337066666652,625.6588134079985,625.7839451706801,625.9091019597142,626.0342837801062,626.1594906368622,626.2847225349896,626.4099794794965,626.5352614753924,626.6605685276875
9,503.5498399999997,503.65054996799967,503.7512800779933,503.8520303340089,503.95280074007565,504.0535913002237,504.1544020184837,504.2552328988874,504.35608394546716,504.45695516225624
10,243.26256000000032,243.3112125120003,243.3598747545027,243.4085467294536,243.4572284387995,243.50591988448724,243.55462106846414,243.60333199267782,243.65205265907636,243.70078306960818
11,143.6923733333332,143.72111180799985,143.74985603036146,143.77860600156754,143.80736172276784,143.83612319511238,143.8648904197514,143.89366339783533,143.9224421305149,143.951226618941
12,213.3136266666669,213.3562893920002,213.3989606498786,213.44164044200858,213.48432877009697,213.52702563585098,213.56973104097816,213.61244498718634,213.65516747618378,213.69789850967902
13,259.22890666666706,259.2807524480004,259.33260859848997,259.3844751202097,259.4363520152337,259.4882392856367,259.54013693349384,259.5920449608805,259.64396336987267,259.6958921625466
14,274.3458666666672,274.4007358400005,274.45561598716847,274.5105071103659,274.56540921178794,274.6203222936303,274.675246358089,274.7301814073606,274.78512744364207,274.8400844691308
15,285.3593866666672,285.41645854400053,285.47354183570934,285.53063654407646,285.5877426713853,285.64486021991956,285.70198919196355,285.75912958980194,285.8162814157199,285.8734446720031
16,275.4658400000002,275.52093316800017,275.57603735463374,275.63115256210466,275.6862787926171,275.7414160483756,275.7965643315853,275.85172364445157,275.90689398918045,275.9620753679783
17,402.7599733333338,402.84052532800047,402.92109343306606,403.0016776517527,403.082277987283,403.1628944428805,403.24352702176907,403.32417572717344,403.40484056231884,403.4855215304313
18,491.1184533333333,491.216677024,491.31492035940477,491.41318334347665,491.5114659801453,491.60976827334133,491.708090226996,491.80643184504135,491.9047931314103,492.00317409003657
19,732.8885333333312,733.0351110399979,733.1817180622058,733.3283544058182,733.4750200766994,733.6217150807147,733.7684394237308,733.9151931116155,734.0619761502378,734.2087885454679
20,1979.6007466666624,1979.9966668159957,1980.3926661493588,1980.7887446825887,1981.1849024315252,1981.5811394120115,1981.9774556398938,1982.3738511310219,1982.770325901248,1983.1668799664283
21,3581.4374933333365,3582.153780832003,3582.8702115881692,3583.5867856304867,3584.303502987613,3585.02036368821,3585.7373677609476,3586.4545152344995,3587.1718061375464,3587.8892404987737
22,5099.3678933333495,5100.387766912016,5101.407844465398,5102.4281260342905,5103.448611659497,5104.469301381829,5105.490195242105,5106.5112932811535,5107.532595539809,5108.554102058917
23,3947.9860800000033,3948.7756772160033,3949.5654323514464,3950.3553454379166,3951.145416507004,3951.9356455903053,3952.726032719423,3953.516577925967,3954.307281241552,3955.0981426978005
24,1711.1346666666625,1711.4768935999957,1711.8191889787156,1712.1615528165114,1712.5039851270747,1712.8464859241,1713.189055221285,1713.531693032329,1713.8743993709354,1714.2171742508096
25,107.48325333333327,107.50474998399993,107.52625093399672,107.54775618418351,107.56926573542034,107.59077958856743,107.61229774448515,107.63382020403404,107.65534696807484,107.67687803746846
26,153.21205333333327,153.24269574399995,153.27334428314873,153.30399895200534,153.33465975179575,153.3653266837461,153.39599974908285,153.42667894903266,153.45736428482246,153.48805575767943
27,223.01792000000034,223.06252358400033,223.1071360887171,223.15175751593486,223.19638786743803,223.24102714501151,223.2856753504405,223.33033248551058,223.37499855200767,223.41967355171806
28,233.47048000000032,233.5171740960003,233.5638775308195,233.61059030632566,233.65731242438693,233.7040438868718,233.75078469564917,233.79753485258829,233.8442943595588,233.8910632184307
29,307.94488000000047,308.00646897600046,308.06807026979567,308.1296838838496,308.1913098206264,308.2529480825905,308.314598672207,308.37626159194144,308.4379368442598,308.49962443162866
30,262.43570666666704,262.48819380800035,262.54069144676197,262.5931995850513,262.64571822496833,262.6982473686133,262.750787018087,262.80333717549064,262.85589784292574,262.90846902249433
31,452.4101066666665,452.5005886879998,452.5910888057374,452.68160702349854,452.7721433449032,452.86269777357217,452.9532703131269,453.0438609671895,453.13446973938295,453.2250966333308
32,715.388639999998,715.531717727998,715.6748240715435,715.8179590363578,715.9611226281651,716.1043148526907,716.2475357156612,716.3907852228043,716.5340633798488,716.6773701925248
33,480.0679466666664,480.1639602559997,480.2599930480509,480.3560450466605,480.4521162556698,480.5482066789209,480.6443163202567,480.7404451835207,480.8365932725574,480.93276059121195
34,390.78701333333333,390.865170736,390.9433437701472,391.0215324389012,391.09973674538895,391.177956692738,391.2561922840765,391.3344435225333,391.4127104112378,391.4909929533201
