Periods,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
1,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
2,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
3,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
4,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
5,412.0,412.0824,412.16481648,412.247249443296,412.3296988931847,412.4121648329633,412.49464726592987,412.577146195383,412.6596616246221,412.74219355694703
6,468.2500149999998,468.3436650029998,468.43733373600037,468.5310212027476,468.62472740698814,468.7184523524695,468.81219604294,468.9059584821486,468.999739673845,469.09353962177977
7,1224.94015,1225.18513803,1225.430175057606,1225.6752610926176,1225.920396144836,1226.165580224065,1226.4108133401098,1226.6560955027778,1226.9014267218784,1227.1468070072226
8,2918.535503333332,2919.119210433999,2919.7030342760854,2920.2869748829407,2920.871032277917,2921.4552064843724,2922.039497525669,2922.623905425174,2923.208430206259,2923.7930718923003
9,2246.302493333334,2246.7517538320008,2247.2011041827673,2247.650544403604,2248.1000745124843,2248.5496945273867,2248.999404466292,2249.4492043471855,2249.8990941880547,2250.3490740068924
10,2087.198448333333,2087.6158880229996,2088.033411200604,2088.451017882844,2088.8687080864206,2089.2864818280377,2089.7043391244033,2090.122279992228,2090.5403044482264,2090.958412509116
11,1861.461638333334,1861.8339306610005,1862.2062974471328,1862.578738706622,1862.9512544543634,1863.3238447052543,1863.6965094741952,1864.06924877609,1864.4420626258452,1864.8149510383703
12,1946.403076666668,1946.7923572820014,1947.1817157534576,1947.5711520966083,1947.9606663270276,1948.350258460293,1948.739928511985,1949.1296764976873,1949.5195024329869,1949.9094063334735
13,544.8631033333335,544.9720759540002,545.0810703691909,545.1900865832647,545.2991246005813,545.4081844255014,545.5172660623865,545.626369515599,545.7354947895021,545.84464188846
14,1008.955568333334,1009.1573594470007,1009.35919091889,1009.5610627570737,1009.7629749696251,1009.9649275646191,1010.166920550132,1010.368953934242,1010.5710277250288,1010.7731419305737
15,4305.296759999998,4306.157819351998,4307.019050915868,4307.8804547260515,4308.742030816997,4309.60377922316,4310.465699979005,4311.3277931190005,4312.190058677625,4313.05249668936
16,5794.69875666666,5795.857696417994,5797.016867957277,5798.176271330868,5799.335906585134,5800.495773766451,5801.655872921204,5802.816204095788,5803.976767336607,5805.137562690074
17,4023.403018333332,4024.2076989369984,4025.012540476786,4025.817542984881,4026.622706493478,4027.4280310347763,4028.233516640983,4029.039163344311,4029.84497117698,4030.650940171215
