period,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,fuel_consumption,grid_import,grid_export,grid_import_delivered,grid_export_delivered,res_generation__Solar
0,scenario_1,17.312,0.0,0.0,0.0,17.312,985.2073923914915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,scenario_1,25.614,0.0,0.0,0.0,25.614,967.1740590581582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,scenario_1,29.901,0.0,0.0,0.0,29.901,940.4928090581582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,scenario_1,38.433,0.0,0.0,0.0,38.433,909.3459340581582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,scenario_1,53.686,0.0,0.0,0.0,53.686,869.3115590581582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,scenario_1,66.868,0.0,0.0,0.0,66.868,813.3886423914915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,scenario_1,10.6,0.3566595386791463,0.0,0.0,10.243340461320853,743.7344757248248,0.0,0.0,0.0,0.0,0.0,0.0,0.3566595386791463
7,scenario_1,222.357,164.08948483182283,0.0,0.0,58.26751516817717,733.064329410949,0.0,0.0,0.0,0.0,0.0,0.0,164.08948483182283
8,scenario_1,250.941,250.941,0.0,0.0,0.0,672.3690011107644,0.0,0.0,0.0,0.0,0.0,0.0,250.941
9,scenario_1,229.837,229.837,0.0,0.0,0.0,672.3690011107644,0.0,0.0,0.0,0.0,0.0,0.0,229.837
10,scenario_1,137.978,532.0609569565966,0.0,394.0829569565966,0.0,672.3690011107644,0.0,0.0,0.0,0.0,0.0,0.0,532.0609569565966
11,scenario_1,13.329,407.4119569565966,0.0,394.0829569565966,0.0,1046.7478102195312,0.0,0.0,0.0,0.0,0.0,0.0,407.4119569565966
12,scenario_1,107.116,107.116,0.0,0.0,0.0,1421.126619328298,0.0,0.0,0.0,0.0,0.0,0.0,107.116
13,scenario_1,11.53,405.6129569565966,0.0,394.0829569565966,0.0,1421.126619328298,0.0,0.0,0.0,0.0,0.0,0.0,405.6129569565966
14,scenario_1,114.441,298.55611194307187,0.0,184.11511194307184,0.0,1795.5054284370647,0.0,0.0,0.0,0.0,0.0,0.0,298.55611194307187
15,scenario_1,107.333,107.333,0.0,0.0,0.0,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,107.333
16,scenario_1,131.548,131.548,0.0,0.0,0.0,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,131.548
17,scenario_1,177.208,19.98163317917071,0.0,0.0,157.2263668208293,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,19.98163317917071
18,scenario_1,274.324,0.0,61.3917014289115,0.0,212.9322985710885,1806.637319344619,0.0,20.463900476303834,0.0,0.0,0.0,0.0,0.0
19,scenario_1,294.662,0.0,58.035543616161846,0.0,236.62645638383813,1584.832841666402,0.0,19.34518120538728,0.0,0.0,0.0,0.0,0.0
20,scenario_1,258.803,0.0,0.0,0.0,258.803,1338.3469495999038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,scenario_1,158.622,0.0,0.0,0.0,158.622,1068.7604912665706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,scenario_1,68.128,0.0,0.0,0.0,68.128,903.5292412665707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,scenario_1,25.237,0.0,0.0,0.0,25.237,832.562574599904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,scenario_1,21.239,0.0,0.0,0.0,21.239,806.2740329332373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,scenario_1,24.749,0.0,0.0,0.0,24.749,784.150074599904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,scenario_1,3.829,0.0,0.0,0.0,3.829,758.3698662665706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,scenario_1,45.479,0.0,0.0,0.0,45.479,754.3813245999039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,scenario_1,69.081,0.0,0.0,0.0,69.081,707.0073662665706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,scenario_1,84.809,0.0,0.0,0.0,84.809,635.0479912665705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,scenario_1,108.125,0.03479605255406305,0.0,0.0,108.09020394744594,546.7052829332372,0.0,0.0,0.0,0.0,0.0,0.0,0.03479605255406305
31,scenario_1,205.283,166.85577100987086,0.0,0.0,38.42722899012912,434.111320487981,0.0,0.0,0.0,0.0,0.0,0.0,166.85577100987086
32,scenario_1,247.355,247.355,0.0,0.0,0.0,394.0829569565965,0.0,0.0,0.0,0.0,0.0,0.0,247.355
33,scenario_1,202.174,285.1388330434942,0.0,82.96483304349414,0.0,394.0829569565965,0.0,0.0,0.0,0.0,0.0,0.0,285.1388330434942
34,scenario_1,130.858,524.9409569565967,0.0,394.0829569565966,0.0,472.8995483479159,0.0,0.0,0.0,0.0,0.0,0.0,524.9409569565967
35,scenario_1,123.012,517.0949569565967,0.0,394.0829569565966,0.0,847.2783574566827,0.0,0.0,0.0,0.0,0.0,0.0,517.0949569565967
36,scenario_1,93.725,487.8079569565966,0.0,394.0829569565966,0.0,1221.6571665654494,0.0,0.0,0.0,0.0,0.0,0.0,487.8079569565966
37,scenario_1,99.017,99.017,0.0,0.0,0.0,1596.0359756742162,0.0,0.0,0.0,0.0,0.0,0.0,99.017
38,scenario_1,101.375,495.4579569565966,0.0,394.0829569565966,0.0,1596.0359756742162,0.0,0.0,0.0,0.0,0.0,0.0,495.4579569565966
39,scenario_1,114.014,114.014,0.0,0.0,0.0,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,114.014
40,scenario_1,139.898,139.898,0.0,0.0,0.0,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,139.898
41,scenario_1,199.673,21.547455544103546,61.3917014289115,0.0,116.73384302698496,1970.414784782983,0.0,20.463900476303834,0.0,0.0,0.0,0.0,21.547455544103546
42,scenario_1,272.177,0.0,61.3917014289115,0.0,210.7852985710885,1848.8170316298736,0.0,20.463900476303834,0.0,0.0,0.0,0.0,0.0
43,scenario_1,301.939,0.0,7.958565017129047,0.0,293.980434982871,1629.2490122849897,0.0,2.6528550057096822,0.0,0.0,0.0,0.0,0.0
44,scenario_1,224.756,0.0,61.3917014289115,0.0,163.3642985710885,1323.0193925111657,0.0,20.463900476303834,0.0,0.0,0.0,0.0,0.0
45,scenario_1,156.296,0.0,0.0,0.0,156.296,1152.8482481662818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,scenario_1,81.852,0.0,0.0,0.0,81.852,990.0399148329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,scenario_1,37.844,0.0,0.0,0.0,37.844,904.7774148329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,scenario_1,3.195,0.0,0.0,0.0,3.195,865.356581499615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,scenario_1,42.895,0.0,0.0,0.0,42.895,862.028456499615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,scenario_1,43.327,0.0,0.0,0.0,43.327,817.3461648329484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,scenario_1,54.088,0.0,0.0,0.0,54.088,772.2138731662817,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,scenario_1,59.358,0.0,0.0,0.0,59.358,715.872206499615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,scenario_1,103.242,0.0,0.0,0.0,103.242,654.040956499615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,scenario_1,148.695,0.0,61.3917014289115,0.0,87.30329857108849,546.497206499615,0.0,20.463900476303834,0.0,0.0,0.0,0.0,0.0
55,scenario_1,202.229,81.82291758087928,61.3917014289115,0.0,59.01438099020923,455.55627048806446,0.0,20.463900476303834,0.0,0.0,0.0,0.0,81.82291758087928
56,scenario_1,286.691,286.691,0.0,0.0,0.0,394.0829569565965,0.0,0.0,0.0,0.0,0.0,0.0,286.691
57,scenario_1,232.383,517.3042143081169,0.0,284.9212143081169,0.0,394.0829569565965,0.0,0.0,0.0,0.0,0.0,0.0,517.3042143081169
58,scenario_1,164.312,164.312,0.0,0.0,0.0,664.7581105493075,0.0,0.0,0.0,0.0,0.0,0.0,164.312
59,scenario_1,127.076,521.1589569565966,0.0,394.0829569565966,0.0,664.7581105493075,0.0,0.0,0.0,0.0,0.0,0.0,521.1589569565966
60,scenario_1,95.396,489.4789569565966,0.0,394.0829569565966,0.0,1039.1369196580742,0.0,0.0,0.0,0.0,0.0,0.0,489.4789569565966
61,scenario_1,84.245,478.3279569565966,0.0,394.0829569565966,0.0,1413.515728766841,0.0,0.0,0.0,0.0,0.0,0.0,478.3279569565966
62,scenario_1,97.763,97.763,0.0,0.0,0.0,1787.8945378756077,0.0,0.0,0.0,0.0,0.0,0.0,97.763
63,scenario_1,117.283,309.4095756919739,0.0,192.12657569197387,0.0,1787.8945378756077,0.0,0.0,0.0,0.0,0.0,0.0,309.4095756919739
64,scenario_1,137.068,137.068,0.0,0.0,0.0,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,137.068
65,scenario_1,187.828,20.912427584991892,0.0,0.0,166.9155724150081,1970.414784782983,0.0,0.0,0.0,0.0,0.0,0.0,20.912427584991892
66,scenario_1,255.293,0.0,0.0,0.0,255.293,1796.5443968506827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,scenario_1,28.536,0.0,0.0,0.0,28.536,1530.6141885173492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,scenario_1,234.155,0.0,0.0,0.0,234.155,1500.8891885173493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,scenario_1,164.486,0.0,0.0,0.0,164.486,1256.977730184016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,scenario_1,7.845,0.0,0.0,0.0,7.845,1085.6381468506827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
