period,scenario,demand,supply_renewable,supply_generator,supply_grid_import,supply_battery_discharge,supply_lost_load,sink_battery_charge,sink_grid_export,balance_lhs,balance_residual
0,scenario_1,17.312,0.0,0.0,0.0,17.312,0.0,0.0,0.0,17.312,0.0
1,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
2,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
3,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
4,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
5,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
6,scenario_1,10.6,0.3566595386791463,0.0,0.0,10.243340461320853,0.0,0.0,0.0,10.6,0.0
7,scenario_1,222.357,164.08948483182283,0.0,0.0,58.26751516817717,0.0,0.0,0.0,222.357,0.0
8,scenario_1,250.941,250.941,0.0,0.0,0.0,0.0,0.0,0.0,250.941,0.0
9,scenario_1,229.837,229.837,0.0,0.0,0.0,0.0,0.0,0.0,229.837,0.0
10,scenario_1,137.978,532.0609569565966,0.0,0.0,0.0,0.0,394.0829569565966,0.0,137.97799999999995,-5.684341886080802e-14
11,scenario_1,13.329,407.4119569565966,0.0,0.0,0.0,0.0,394.0829569565966,0.0,13.329000000000008,7.105427357601002e-15
12,scenario_1,107.116,107.116,0.0,0.0,0.0,0.0,0.0,0.0,107.116,0.0
13,scenario_1,11.53,405.6129569565966,0.0,0.0,0.0,0.0,394.0829569565966,0.0,11.529999999999973,-2.6645352591003757e-14
14,scenario_1,114.441,298.55611194307187,0.0,0.0,0.0,0.0,184.11511194307184,0.0,114.44100000000003,2.842170943040401e-14
15,scenario_1,107.333,107.333,0.0,0.0,0.0,0.0,0.0,0.0,107.333,0.0
16,scenario_1,131.548,131.548,0.0,0.0,0.0,0.0,0.0,0.0,131.548,0.0
17,scenario_1,177.208,19.98163317917071,0.0,0.0,157.2263668208293,0.0,0.0,0.0,177.208,0.0
18,scenario_1,274.324,0.0,61.3917014289115,0.0,212.9322985710885,0.0,0.0,0.0,274.324,0.0
