meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,17.312,18.1776,19.08648,20.040804,21.0428442,22.09498641,23.19973573,24.35972252,25.57770864,26.85659408
1,25.614,26.8947,28.239435,29.65140675,31.13397709,32.69067594,34.32520974,36.04147023,37.84354374,39.73572092
2,29.901,31.39605,32.9658525,34.61414513,36.34485238,38.162095,40.07019975,42.07370974,44.17739522,46.38626499
3,38.433,40.35465,42.3723825,44.49100163,46.71555171,49.05132929,51.50389576,54.07909054,56.78304507,59.62219732
4,53.686,56.3703,59.188815,62.14825575,65.25566854,68.51845196,71.94437456,75.54159329,79.31867296,83.2846066
5,66.868,70.2114,73.72197,77.4080685,81.27847193,85.34239552,89.6095153,94.08999106,98.79449062,103.7342151
6,10.6,11.13,11.6865,12.270825,12.88436625,13.52858456,14.20501379,14.91526448,15.6610277,16.44407909
7,222.357,233.47485,245.1485925,257.4060221,270.2763232,283.7901394,297.9796464,312.8786287,328.5225601,344.9486881
8,250.941,263.48805,276.6624525,290.4955751,305.0203539,320.2713716,336.2849402,353.0991872,370.7541465,389.2918538
9,229.837,241.32885,253.3952925,266.0650571,279.36831,293.3367255,308.0035618,323.4037398,339.5739268,356.5526232
10,137.978,144.8769,152.120745,159.7267823,167.7131214,176.0987774,184.9037163,194.1489021,203.8563472,214.0491646
11,13.329,13.99545,14.6952225,15.42998363,16.20148281,17.01155695,17.86213479,18.75524153,19.69300361,20.67765379
12,107.116,112.4718,118.09539,124.0001595,130.2001675,136.7101758,143.5456846,150.7229689,158.2591173,166.1720732
13,11.53,12.1065,12.711825,13.34741625,14.01478706,14.71552642,15.45130274,16.22386787,17.03506127,17.88681433
14,114.441,120.16305,126.1712025,132.4797626,139.1037508,146.0589383,153.3618852,161.0299795,169.0814784,177.5355524
15,107.333,112.69965,118.3346325,124.2513641,130.4639323,136.9871289,143.8364854,151.0283097,158.5797251,166.5087114
16,131.548,138.1254,145.03167,152.2832535,159.8974162,167.892287,176.2869013,185.1012464,194.3563087,204.0741242
17,177.208,186.0684,195.37182,205.140411,215.3974316,226.1673031,237.4756683,249.3494517,261.8169243,274.9077705
18,274.324,288.0402,302.44221,317.5643205,333.4425365,350.1146634,367.6203965,386.0014163,405.3014872,425.5665615
19,294.662,309.3951,324.864855,341.1080978,358.1635026,376.0716778,394.8752617,414.6190247,435.349976,457.1174748
20,258.803,271.74315,285.3303075,299.5968229,314.576664,330.3054972,346.8207721,364.1618107,382.3699012,401.4883963
21,158.622,166.5531,174.880755,183.6247928,192.8060324,202.446334,212.5686507,223.1970832,234.3569374,246.0747843
22,68.128,71.5344,75.11112,78.866676,82.8100098,86.95051029,91.2980358,95.86293759,100.6560845,105.6888887
23,25.237,26.49885,27.8237925,29.21498213,30.67573123,32.20951779,33.81999368,35.51099337,37.28654303,39.15087019
24,21.239,22.30095,23.4159975,24.58679738,25.81613724,27.10694411,28.46229131,29.88540588,31.37967617,32.94865998
25,24.749,25.98645,27.2857725,28.65006113,30.08256418,31.58669239,33.16602701,34.82432836,36.56554478,38.39382202
26,3.829,4.02045,4.2214725,4.432546125,4.654173431,4.886882103,5.131226208,5.387787518,5.657176894,5.940035739
27,45.479,47.75295,50.1405975,52.64762738,55.28000874,58.04400918,60.94620964,63.99352012,67.19319613,70.55285593
28,69.081,72.53505,76.1618025,79.96989263,83.96838726,88.16680662,92.57514695,97.2039043,102.0640995,107.1673045
29,84.809,89.04945,93.5019225,98.17701863,103.0858696,108.240163,113.6521712,119.3347797,125.3015187,131.5665947
30,108.125,113.53125,119.2078125,125.1682031,131.4266133,137.9979439,144.8978411,152.1427332,159.7498699,167.7373634
31,205.283,215.54715,226.3245075,237.6407329,249.5227695,261.998908,275.0988534,288.8537961,303.2964859,318.4613102
32,247.355,259.72275,272.7088875,286.3443319,300.6615485,315.6946259,331.4793572,348.053325,365.4559913,383.7287909
33,202.174,212.2827,222.896835,234.0416768,245.7437606,258.0309486,270.932496,284.4791209,298.7030769,313.6382307
34,130.858,137.4009,144.270945,151.4844923,159.0587169,167.0116527,175.3622353,184.1303471,193.3368645,203.0037077
35,123.012,129.1626,135.62073,142.4017665,149.5218548,156.9979476,164.8478449,173.0902372,181.7447491,190.8319865
36,93.725,98.41125,103.3318125,108.4984031,113.9233233,119.6194894,125.6004639,131.8804871,138.4745115,145.398237
37,99.017,103.96785,109.1662425,114.6245546,120.3557824,126.3735715,132.69225,139.3268626,146.2932057,153.607866
38,101.375,106.44375,111.7659375,117.3542344,123.2219461,129.3830434,135.8521956,142.6448053,149.7770456,157.2658979
39,114.014,119.7147,125.700435,131.9854568,138.5847296,145.5139661,152.7896644,160.4291476,168.450605,176.8731352
40,139.898,146.8929,154.237545,161.9494223,170.0468934,178.549238,187.4766999,196.8505349,206.6930617,217.0277148
41,199.673,209.65665,220.1394825,231.1464566,242.7037795,254.8389684,267.5809169,280.9599627,295.0079608,309.7583589
42,272.177,285.78585,300.0751425,315.0788996,330.8328446,347.3744868,364.7432112,382.9803717,402.1293903,422.2358598
43,301.939,317.03595,332.8877475,349.5321349,367.0087416,385.3591787,404.6271376,424.8584945,446.1014192,468.4064902
44,224.756,235.9938,247.79349,260.1831645,273.1923227,286.8519389,301.1945358,316.2542626,332.0669757,348.6703245
45,156.296,164.1108,172.31634,180.932157,189.9787649,199.4777031,209.4515882,219.9241677,230.920376,242.4663948
46,81.852,85.9446,90.24183,94.7539215,99.49161758,104.4661985,109.6895084,115.1739838,120.932683,126.9793171
47,37.844,39.7362,41.72301,43.8091605,45.99961853,48.29959945,50.71457942,53.2503084,55.91282381,58.70846501
48,3.195,3.35475,3.5224875,3.698611875,3.883542469,4.077719592,4.281605572,4.49568585,4.720470143,4.95649365
49,42.895,45.03975,47.2917375,49.65632438,52.13914059,54.74609762,57.4834025,60.35757263,63.37545126,66.54422382
50,43.327,45.49335,47.7680175,50.15641838,52.66423929,55.29745126,58.06232382,60.96544001,64.01371201,67.21439761
51,54.088,56.7924,59.63202,62.613621,65.74430205,69.03151715,72.48309301,76.10724766,79.91261004,83.90824055
52,59.358,62.3259,65.442195,68.71430475,72.15001999,75.75752099,79.54539704,83.52266689,87.69880023,92.08374024
53,103.242,108.4041,113.824305,119.5155203,125.4912963,131.7658611,138.3541541,145.2718618,152.5354549,160.1622277
54,148.695,156.12975,163.9362375,172.1330494,180.7397018,189.7766869,199.2655213,209.2287973,219.6902372,230.6747491
55,202.229,212.34045,222.9574725,234.1053461,245.8106134,258.1011441,271.0062013,284.5565114,298.7843369,313.7235538
56,286.691,301.02555,316.0768275,331.8806689,348.4747023,365.8984374,384.1933593,403.4030273,423.5731786,444.7518376
57,232.383,244.00215,256.2022575,269.0123704,282.4629889,296.5861383,311.4154453,326.9862175,343.3355284,360.5023048
58,164.312,172.5276,181.15398,190.211679,199.722263,209.7083761,220.1937949,231.2034846,242.7636589,254.9018418
59,127.076,133.4298,140.10129,147.1063545,154.4616722,162.1847558,170.2939936,178.8086933,187.749128,197.1365844
