year,discount_factor,annuity_res,annuity_battery,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,54394.970647407674,96569.73110547103,4665.10027658743,18308.47637014939,0.0,0.0,173938.27839961552,165655.50323772905,0.0,165655.50323772905
2027,0.9070294784580498,54394.970647407674,96569.73110547103,4665.10027658743,25157.22168984618,0.0,0.0,180787.02371931233,163979.15983611095,0.0,163979.15983611095
2028,0.863837598531476,54394.970647407674,96569.73110547103,4665.10027658743,34744.243034398685,0.0,0.0,190374.04506386482,164452.257910692,0.0,164452.257910692
2029,0.8227024747918819,54394.970647407674,96569.73110547103,4665.10027658743,47010.39908189069,0.0,0.0,202640.20111135684,166712.59494663792,0.0,166712.59494663792
2030,0.7835261664684589,54394.970647407674,96569.73110547103,4665.10027658743,61425.871051962065,0.0,0.0,217055.67308142822,170068.7994397225,0.0,170068.7994397225
2031,0.7462153966366274,69423.29812976172,123250.16730929528,5953.981469804658,23386.768511679125,0.0,0.0,222014.21542054077,165670.42581900847,0.0,165670.42581900847
2032,0.7106813301301214,69423.29812976172,123250.16730929528,5953.981469804658,32107.698202214116,0.0,0.0,230735.14511107578,163979.1598353059,0.0,163979.1598353059
2033,0.676839362028687,69423.29812976172,123250.16730929528,5953.981469804658,44343.436784562844,0.0,0.0,242970.88369342452,164452.25791060377,0.0,164452.25791060377
2034,0.6446089162177971,69423.29812976172,123250.16730929528,5953.981469804658,59998.5055715919,0.0,0.0,258625.95248045356,166712.5949342207,0.0,166712.5949342207
2035,0.6139132535407591,69423.29812976172,123250.16730929528,5953.981469804658,78396.70667202421,0.0,0.0,277024.15358088585,170068.79943421655,535933.918199283,170068.79943421655
