period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
0,2026,scenario_1,17.312,0.0,0.0,0.0,17.312,1065.265522541573,0.0,0.0,0.0,0.0,0.0
0,2027,scenario_1,18.1776,0.0,0.0,0.0,18.1776,745.744322203426,0.0,0.0,0.0,0.0,0.0
0,2028,scenario_1,19.08648,0.0,0.0,0.0,19.08648,771.161486265926,0.0,0.0,0.0,0.0,0.0
0,2029,scenario_1,20.040804,0.0,0.0,0.0,20.040804,722.0304955404297,0.0,0.0,0.0,0.0,0.0
0,2030,scenario_1,21.0428442,0.0,0.0,0.0,21.0428442,650.0617072487629,0.0,0.0,0.0,0.0,0.0
0,2031,scenario_1,22.09498641,0.0,14.335677018527694,0.0,7.759309391472306,868.8077025129277,0.0,0.0,0.0,0.0,0.0
0,2032,scenario_1,23.19973573,0.0,0.0,0.0,23.19973573,951.7797288277272,0.0,0.0,0.0,0.0,0.0
0,2033,scenario_1,24.35972252,0.0,0.0,0.0,24.35972252,984.2191866714772,0.0,0.0,0.0,0.0,0.0
0,2034,scenario_1,25.57770864,0.0,22.631405392839298,0.0,2.946303247160703,921.5142090832697,0.0,0.0,0.0,0.0,0.0
0,2035,scenario_1,26.85659408,0.0,22.631405392839298,0.0,4.225188687160703,829.66177167702,0.0,0.0,0.0,0.0,0.0
1,2026,scenario_1,25.614,0.0,0.0,0.0,25.614,1047.2321892082398,0.0,0.0,0.0,0.0,0.0
1,2027,scenario_1,26.8947,0.0,0.0,0.0,26.8947,726.8093222034261,0.0,0.0,0.0,0.0,0.0
1,2028,scenario_1,28.239435,0.0,0.0,0.0,28.239435,751.279736265926,0.0,0.0,0.0,0.0,0.0
1,2029,scenario_1,29.65140675,0.0,29.65140675,0.0,0.0,701.1546580404297,0.0,0.0,0.0,0.0,0.0
1,2030,scenario_1,31.13397709,0.0,31.13397709,0.0,0.0,628.1420778737629,0.0,0.0,0.0,0.0,0.0
1,2031,scenario_1,32.69067594,0.0,0.0,0.0,32.69067594,860.7250885634774,0.0,0.0,0.0,0.0,0.0
1,2032,scenario_1,34.32520974,0.0,0.0,0.0,34.32520974,927.6133374423106,0.0,0.0,0.0,0.0,0.0
1,2033,scenario_1,36.04147023,0.0,0.0,0.0,36.04147023,958.844475713144,0.0,0.0,0.0,0.0,0.0
1,2034,scenario_1,37.84354374,0.0,22.631405392839298,0.0,15.212138347160703,918.4451432008107,0.0,0.0,0.0,0.0,0.0
1,2035,scenario_1,39.73572092,0.0,39.73572092,0.0,0.0,825.2605334612276,0.0,0.0,0.0,0.0,0.0
2,2026,scenario_1,29.901,0.0,0.0,0.0,29.901,1020.5509392082398,0.0,0.0,0.0,0.0,0.0
2,2027,scenario_1,31.39605,0.0,0.0,0.0,31.39605,698.794009703426,0.0,0.0,0.0,0.0,0.0
2,2028,scenario_1,32.9658525,0.0,0.0,0.0,32.9658525,721.863658140926,0.0,0.0,0.0,0.0,0.0
2,2029,scenario_1,34.61414513,0.0,0.0,0.0,34.61414513,701.1546580404297,0.0,0.0,0.0,0.0,0.0
2,2030,scenario_1,36.34485238,0.0,36.34485238,0.0,0.0,628.1420778737629,0.0,0.0,0.0,0.0,0.0
2,2031,scenario_1,38.162095,0.0,22.631405392839298,0.0,15.530689607160703,826.6723011259774,0.0,0.0,0.0,0.0,0.0
2,2032,scenario_1,40.07019975,0.0,0.0,0.0,40.07019975,891.8579106298106,0.0,0.0,0.0,0.0,0.0
2,2033,scenario_1,42.07370974,0.0,0.0,0.0,42.07370974,921.3012775568939,0.0,0.0,0.0,0.0,0.0
2,2034,scenario_1,44.17739522,0.0,0.0,0.0,44.17739522,902.5991657558516,0.0,0.0,0.0,0.0,0.0
2,2035,scenario_1,46.38626499,0.0,22.631405392839298,0.0,23.754859597160703,825.2605334612276,0.0,0.0,0.0,0.0,0.0
3,2026,scenario_1,38.433,0.0,0.0,0.0,38.433,989.4040642082398,0.0,0.0,0.0,0.0,0.0
3,2027,scenario_1,40.35465,0.0,0.0,0.0,40.35465,666.089790953426,0.0,0.0,0.0,0.0,0.0
3,2028,scenario_1,42.3723825,0.0,0.0,0.0,42.3723825,687.524228453426,0.0,0.0,0.0,0.0,0.0
3,2029,scenario_1,44.49100163,0.0,31.25692355322674,0.0,13.234078076773256,665.0982568633464,0.0,0.0,0.0,0.0,0.0
3,2030,scenario_1,46.71555171,0.0,46.71555171,0.0,0.0,628.1420778737629,0.0,0.0,0.0,0.0,0.0
3,2031,scenario_1,49.05132929,0.0,0.0,0.0,49.05132929,810.4944994518517,0.0,0.0,0.0,0.0,0.0
3,2032,scenario_1,51.50389576,0.0,0.0,0.0,51.50389576,850.1181192235606,0.0,0.0,0.0,0.0,0.0
3,2033,scenario_1,54.07909054,0.0,0.0,0.0,54.07909054,877.4744965777272,0.0,0.0,0.0,0.0,0.0
3,2034,scenario_1,56.78304507,0.0,22.631405392839298,0.0,34.1516396771607,856.5810457350183,0.0,0.0,0.0,0.0,0.0
3,2035,scenario_1,59.62219732,0.0,59.62219732,0.0,0.0,800.5158880475186,0.0,0.0,0.0,0.0,0.0
4,2026,scenario_1,53.686,0.0,0.0,0.0,53.686,949.3696892082398,0.0,0.0,0.0,0.0,0.0
4,2027,scenario_1,56.3703,0.0,0.0,0.0,56.3703,624.053697203426,0.0,0.0,0.0,0.0,0.0
