meta,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,17.312,17.7448,18.18842,18.6431305,19.10920876,19.58693898,20.07661246,20.57852777,21.09299096,21.62031574,17.312,18.1776,18.63204,19.097841,19.57528703,20.0646692,20.56628593,21.08044308,21.60745416,22.14764051,17.312,18.6104,19.07566,19.5525515,20.04136529,20.54239942,21.05595941,21.58235839,22.12191735,22.67496528
1,25.614,26.25435,26.91070875,27.58347647,28.27306338,28.97988996,29.70438721,30.44699689,31.20817182,31.98837611,25.614,26.8947,27.5670675,28.25624419,28.96265029,29.68671655,30.42888446,31.18960657,31.96934674,32.76858041,25.614,27.53505,28.22342625,28.92901191,29.6522372,30.39354313,31.15338171,31.93221626,32.73052166,33.5487847
2,29.901,30.648525,31.41473813,32.20010658,33.00510924,33.83023697,34.6759929,35.54289272,36.43146504,37.34225166,29.901,31.39605,32.18095125,32.98547503,33.81011191,34.6553647,35.52174882,36.40979254,37.32003736,38.25303829,29.901,32.143575,32.94716438,33.77084348,34.61511457,35.48049244,36.36750475,37.27669237,38.20860967,39.16382492
3,38.433,39.393825,40.37867063,41.38813739,42.42284083,43.48341185,44.57049714,45.68475957,46.82687856,47.99755052,38.433,40.35465,41.36351625,42.39760416,43.45754426,44.54398287,45.65758244,46.799022,47.96899755,49.16822249,38.433,41.315475,42.34836188,43.40707092,44.49224769,45.60455389,46.74466773,47.91328443,49.11111654,50.33889445
4,53.686,55.02815,56.40385375,57.81395009,59.25929885,60.74078132,62.25930085,63.81578337,65.41117796,67.0464574,53.686,56.3703,57.7795575,59.22404644,60.7046476,62.22226379,63.77782038,65.37226589,67.00657254,68.68173685,53.686,57.71245,59.15526125,60.63414278,62.14999635,63.70374626,65.29633992,66.92874841,68.60196712,70.3170163
5,66.868,68.5397,70.2531925,72.00952231,73.80976037,75.65500438,77.54637949,79.48503898,81.47216495,83.50896907,66.868,70.2114,71.966685,73.76585213,75.60999843,77.50024839,79.4377546,81.42369846,83.45929093,85.5457732,66.868,71.8831,73.6801775,75.52218194,77.41023649,79.3454924,81.32912971,83.36235795,85.4464169,87.58257732
6,10.6,10.865,11.136625,11.41504063,11.70041664,11.99292706,12.29275023,12.60006899,12.91507071,13.23794748,10.6,11.13,11.40825,11.69345625,11.98579266,12.28543747,12.59257341,12.90738774,13.23007244,13.56082425,10.6,11.395,11.679875,11.97187188,12.27116867,12.57794789,12.89239659,13.2147065,13.54507416,13.88370102
7,222.357,227.915925,233.6138231,239.4541687,245.4405229,251.576536,257.8659494,264.3125981,270.9204131,277.6934234,222.357,233.47485,239.3117213,245.2945143,251.4268771,257.7125491,264.1553628,270.7592469,277.528228,284.4664337,222.357,239.033775,245.0096194,251.1348599,257.4132314,263.8485621,270.4447762,277.2058956,284.136043,291.2394441
8,250.941,257.214525,263.6448881,270.2360103,276.9919106,283.9167084,291.0146261,298.2899917,305.7472415,313.3909225,250.941,263.48805,270.0752513,276.8271325,283.7478108,290.8415061,298.1125438,305.5653574,313.2044913,321.0346036,250.941,269.761575,276.5056144,283.4182547,290.5037111,297.7663039,305.2104615,312.840723,320.6617411,328.6782846
9,229.837,235.582925,241.4724981,247.5093106,253.6970433,260.0394694,266.5404562,273.2039676,280.0340668,287.0349184,229.837,241.32885,247.3620713,253.546123,259.8847761,266.3818955,273.0414429,279.867479,286.8641659,294.0357701,229.837,247.074775,253.2516444,259.5829355,266.0725089,272.7243216,279.5424296,286.5309904,293.6942651,301.0366218
10,137.978,141.42745,144.9631363,148.5872147,152.301895,156.1094424,160.0121785,164.0124829,168.112795,172.3156149,137.978,144.8769,148.4988225,152.2112931,156.0165754,159.9169898,163.9149145,168.0127874,172.2131071,176.5184347,137.978,148.32635,152.0345088,155.8353715,159.7312558,163.7245371,167.8176506,172.0130918,176.3134191,180.7212546
11,13.329,13.662225,14.00378063,14.35387514,14.71272202,15.08054007,15.45755357,15.84399241,16.24009222,16.64609453,13.329,13.99545,14.34533625,14.70396966,15.0715689,15.44835812,15.83456707,16.23043125,16.63619203,17.05209683,13.329,14.328675,14.68689188,15.05406417,15.43041578,15.81617617,16.21158057,16.61687009,17.03229184,17.45809914
12,107.116,109.7939,112.5387475,115.3522162,118.2360216,121.1919221,124.2217202,127.3272632,130.5104448,133.7732059,107.116,112.4718,115.283595,118.1656849,121.119827,124.1478227,127.2515182,130.4328062,133.6936263,137.035967,107.116,115.1497,118.0284425,120.9791536,124.0036324,127.1037232,130.2813163,133.5383492,136.8768079,140.2987281
13,11.53,11.81825,12.11370625,12.41654891,12.72696263,13.04513669,13.37126511,13.70554674,14.04818541,14.39939004,11.53,12.1065,12.4091625,12.71939156,13.03737635,13.36331076,13.69739353,14.03982837,14.39082408,14.75059468,11.53,12.39475,12.70461875,13.02223422,13.34779007,13.68148483,14.02352195,14.37411,14.73346275,15.10179931
14,114.441,117.302025,120.2345756,123.24044,126.321451,129.4794873,132.7164745,136.0343863,139.435246,142.9211271,114.441,120.16305,123.1671263,126.2463044,129.402462,132.6375236,135.9534617,139.3522982,142.8361057,146.4070083,114.441,123.024075,126.0996769,129.2521688,132.483473,135.7955598,139.1904488,142.6702101,146.2369653,149.8928894
15,107.333,110.016325,112.7667331,115.5859015,118.475549,121.4374377,124.4733737,127.585208,130.7748382,134.0442092,107.333,112.69965,115.5171413,118.4050698,121.3651965,124.3993264,127.5093096,130.6970423,133.9644684,137.3135801,107.333,115.382975,118.2675494,121.2242381,124.2548441,127.3612152,130.5452455,133.8088767,137.1540986,140.5829511
16,131.548,134.8367,138.2076175,141.6628079,145.2043781,148.8344876,152.5553498,156.3692335,160.2784644,164.285426,131.548,138.1254,141.578535,145.1179984,148.7459483,152.464597,156.276212,160.1831173,164.1876952,168.2923876,131.548,141.4141,144.9494525,148.5731888,152.2875185,156.0947065,159.9970742,163.997001,168.096926,172.2993492
17,177.208,181.6382,186.179155,190.8336339,195.6044747,200.4945866,205.5069513,210.644625,215.9107407,221.3085092,177.208,186.0684,190.72011,195.4881128,200.3753156,205.3846985,210.5193159,215.7822988,221.1768563,226.7062777,177.208,190.4986,195.261065,200.1425916,205.1461564,210.2748103,215.5316806,220.9199726,226.4429719,232.1040462
18,274.324,281.1821,288.2116525,295.4169438,302.8023674,310.3724266,318.1317373,326.0850307,334.2371565,342.5930854,274.324,288.0402,295.241205,302.6222351,310.187791,317.9424858,325.8910479,334.0383241,342.3892822,350.9490143,274.324,294.8983,302.2707575,309.8275264,317.5732146,325.512545,333.6503586,341.9916176,350.541408,359.3049432
19,294.662,302.02855,309.5792638,317.3187453,325.251714,333.3830068,341.717582,350.2605215,359.0170346,367.9924605,294.662,309.3951,317.1299775,325.0582269,333.1846826,341.5142997,350.0521572,358.8034611,367.7735476,376.9678863,294.662,316.76165,324.6806913,332.7977085,341.1176512,349.6455925,358.3867323,367.3464006,376.5300607,385.9433122
20,258.803,265.273075,271.9049019,278.7025244,285.6700875,292.8118397,300.1321357,307.6354391,315.3263251,323.2094832,258.803,271.74315,278.5367288,285.500147,292.6376506,299.9535919,307.4524317,315.1387425,323.0172111,331.0926413,258.803,278.213225,285.1685556,292.2977695,299.6052138,307.0953441,314.7727277,322.6420459,330.708097,338.9757995
21,158.622,162.58755,166.6522388,170.8185447,175.0890083,179.4662335,183.9528894,188.5517116,193.2655044,198.097142,158.622,166.5531,170.7169275,174.9848507,179.359472,183.8434588,188.4395452,193.1505339,197.9792972,202.9287796,158.622,170.51865,174.7816163,179.1511567,183.6299356,188.220684,192.9262011,197.7493561,202.69309,207.7604172
22,68.128,69.8312,71.57698,73.3664045,75.20056461,77.08057873,79.0075932,80.98278303,83.0073526,85.08253642,68.128,71.5344,73.32276,75.155829,77.03472473,78.96059284,80.93460766,82.95797286,85.03192218,87.15772023,68.128,73.2376,75.06854,76.9452535,78.86888484,80.84060696,82.86162213,84.93316269,87.05649175,89.23290405
23,25.237,25.867925,26.51462313,27.1774887,27.85692592,28.55334907,29.2671828,29.99886237,30.74883392,31.51755477,25.237,26.49885,27.16132125,27.84035428,28.53636314,29.24977222,29.98101652,30.73054194,31.49880548,32.28627562,25.237,27.129775,27.80801938,28.50321986,29.21580036,29.94619536,30.69485025,31.46222151,32.24877704,33.05499647
24,21.239,21.769975,22.31422438,22.87207998,23.44388198,24.02997903,24.63072851,25.24649672,25.87765914,26.52460062,21.239,22.30095,22.85847375,23.42993559,24.01568398,24.61607608,25.23147799,25.86226493,26.50882156,27.1715421,21.239,22.831925,23.40272313,23.9877912,24.58748598,25.20217313,25.83222746,26.47803315,27.13998398,27.81848358
25,24.749,25.367725,26.00191813,26.65196608,27.31826523,28.00122186,28.70125241,29.41878372,30.15425331,30.90810964,24.749,25.98645,26.63611125,27.30201403,27.98456438,28.68417849,29.40128295,30.13631503,30.8897229,31.66196598,24.749,26.605175,27.27030438,27.95206198,28.65086353,29.36713512,30.1013135,30.85384634,31.6251925,32.41582231
26,3.829,3.924725,4.022843125,4.123414203,4.226499558,4.332162047,4.440466098,4.551477751,4.665264695,4.781896312,3.829,4.02045,4.12096125,4.223985281,4.329584913,4.437824536,4.54877015,4.662489403,4.779051638,4.898527929,3.829,4.116175,4.219079375,4.324556359,4.432670268,4.543487025,4.657074201,4.773501056,4.892838582,5.015159547
27,45.479,46.615975,47.78137438,48.97590873,50.20030645,51.45531411,52.74169697,54.06023939,55.41174538,56.79703901,45.479,47.75295,48.94677375,50.17044309,51.42470417,52.71032178,54.02807982,55.37878182,56.76325136,58.18233264,45.479,48.889925,50.11217313,51.36497745,52.64910189,53.96532944,55.31446267,56.69732424,58.11475735,59.56762628
28,69.081,70.808025,72.57822563,74.39268127,76.2524983,78.15881075,80.11278102,82.11560055,84.16849056,86.27270283,69.081,72.53505,74.34842625,76.20713691,78.11231533,80.06512321,82.06675129,84.11842007,86.22138058,88.37691509,69.081,74.262075,76.11862688,78.02159255,79.97213236,81.97143567,84.02072156,86.1212396,88.27427059,90.48112736
