year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1052894.8437600431,1567862.6860507245,514967.8422906813,0.32845213223858866,54555.88654326288,0.0,0.0,0.0,0.0,0.9507374142700494,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2027,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2028,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2029,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2030,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2031,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2032,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2033,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2034,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2035,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,1052750.4067519493,1567862.6860507245,515112.27929877513,0.3285442557449256,54555.88654326288,0.0,0.0,0.0,0.0,0.9507309884594703,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2026,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1052894.8437600431,1567862.6860507245,514967.8422906813,0.32845213223858866,54555.88654326288,0.0,0.0,0.0,0.0,0.9507374142700494,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2027,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2028,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2029,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894612,0.0,0.0,0.0,0.0,1609391.649263447
2030,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2031,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2032,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326289,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2033,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2034,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1053166.8224557452,1567862.6860507245,514695.8635949793,0.32827866124644,54555.88654326288,0.0,0.0,0.0,0.0,0.9507495096922204,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
2035,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,1052750.4067519493,1567862.6860507245,515112.27929877513,0.3285442557449256,54555.88654326288,0.0,0.0,0.0,0.0,0.9507309884594703,24247.060685894616,0.0,0.0,0.0,0.0,1609391.649263447
