meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
0,17.312,17.312,17.312,17.312,17.312
1,25.614,25.614,25.614,25.614,25.614
2,29.901,29.901,29.901,29.901,29.901
3,38.433,38.433,38.433,38.433,38.433
4,53.686,53.686,53.686,53.686,53.686
5,66.868,66.868,66.868,66.868,66.868
6,10.6,10.6,10.6,10.6,10.6
7,222.357,222.357,222.357,222.357,222.357
8,250.941,250.941,250.941,250.941,250.941
9,229.837,229.837,229.837,229.837,229.837
10,137.978,137.978,137.978,137.978,137.978
11,13.329,13.329,13.329,13.329,13.329
12,107.116,107.116,107.116,107.116,107.116
13,11.53,11.53,11.53,11.53,11.53
14,114.441,114.441,114.441,114.441,114.441
15,107.333,107.333,107.333,107.333,107.333
16,131.548,131.548,131.548,131.548,131.548
17,177.208,177.208,177.208,177.208,177.208
18,274.324,274.324,274.324,274.324,274.324
19,294.662,294.662,294.662,294.662,294.662
20,258.803,258.803,258.803,258.803,258.803
21,158.622,158.622,158.622,158.622,158.622
22,68.128,68.128,68.128,68.128,68.128
23,25.237,25.237,25.237,25.237,25.237
24,21.239,21.239,21.239,21.239,21.239
25,24.749,24.749,24.749,24.749,24.749
26,3.829,3.829,3.829,3.829,3.829
27,45.479,45.479,45.479,45.479,45.479
28,69.081,69.081,69.081,69.081,69.081
29,84.809,84.809,84.809,84.809,84.809
30,108.125,108.125,108.125,108.125,108.125
31,205.283,205.283,205.283,205.283,205.283
32,247.355,247.355,247.355,247.355,247.355
33,202.174,202.174,202.174,202.174,202.174
34,130.858,130.858,130.858,130.858,130.858
35,123.012,123.012,123.012,123.012,123.012
36,93.725,93.725,93.725,93.725,93.725
37,99.017,99.017,99.017,99.017,99.017
38,101.375,101.375,101.375,101.375,101.375
39,114.014,114.014,114.014,114.014,114.014
40,139.898,139.898,139.898,139.898,139.898
41,199.673,199.673,199.673,199.673,199.673
42,272.177,272.177,272.177,272.177,272.177
43,301.939,301.939,301.939,301.939,301.939
44,224.756,224.756,224.756,224.756,224.756
45,156.296,156.296,156.296,156.296,156.296
46,81.852,81.852,81.852,81.852,81.852
47,37.844,37.844,37.844,37.844,37.844
48,3.195,3.195,3.195,3.195,3.195
49,42.895,42.895,42.895,42.895,42.895
50,43.327,43.327,43.327,43.327,43.327
51,54.088,54.088,54.088,54.088,54.088
52,59.358,59.358,59.358,59.358,59.358
53,103.242,103.242,103.242,103.242,103.242
54,148.695,148.695,148.695,148.695,148.695
55,202.229,202.229,202.229,202.229,202.229
56,286.691,286.691,286.691,286.691,286.691
57,232.383,232.383,232.383,232.383,232.383
58,164.312,164.312,164.312,164.312,164.312
59,127.076,127.076,127.076,127.076,127.076
60,95.396,95.396,95.396,95.396,95.396
61,84.245,84.245,84.245,84.245,84.245
62,97.763,97.763,97.763,97.763,97.763
63,117.283,117.283,117.283,117.283,117.283
64,137.068,137.068,137.068,137.068,137.068
65,187.828,187.828,187.828,187.828,187.828
66,255.293,255.293,255.293,255.293,255.293
67,28.536,28.536,28.536,28.536,28.536
68,234.155,234.155,234.155,234.155,234.155
69,164.486,164.486,164.486,164.486,164.486
70,7.845,7.845,7.845,7.845,7.845
71,48.142,48.142,48.142,48.142,48.142
72,19.693,19.693,19.693,19.693,19.693
73,34.229,34.229,34.229,34.229,34.229
74,35.114,35.114,35.114,35.114,35.114
75,40.075,40.075,40.075,40.075,40.075
76,73.345,73.345,73.345,73.345,73.345
77,78.612,78.612,78.612,78.612,78.612
78,123.043,123.043,123.043,123.043,123.043
79,233.813,233.813,233.813,233.813,233.813
80,25.688,25.688,25.688,25.688,25.688
81,224.759,224.759,224.759,224.759,224.759
82,177.375,177.375,177.375,177.375,177.375
