meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
,Solar,Solar,Solar,Solar,Solar
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0.00041,0.00041,0.00041,0.00041,0.00041
7,0.18863,0.18863,0.18863,0.18863,0.18863
8,0.41475,0.41475,0.41475,0.41475,0.41475
9,0.59275,0.59275,0.59275,0.59275,0.59275
10,0.70033,0.70033,0.70033,0.70033,0.70033
11,0.7648,0.7648,0.7648,0.7648,0.7648
12,0.75688,0.75688,0.75688,0.75688,0.75688
13,0.70625,0.70625,0.70625,0.70625,0.70625
14,0.6032,0.6032,0.6032,0.6032,0.6032
15,0.45104,0.45104,0.45104,0.45104,0.45104
16,0.24634,0.24634,0.24634,0.24634,0.24634
17,0.02297,0.02297,0.02297,0.02297,0.02297
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0.00004,0.00004,0.00004,0.00004,0.00004
31,0.19181,0.19181,0.19181,0.19181,0.19181
32,0.42535,0.42535,0.42535,0.42535,0.42535
33,0.59413,0.59413,0.59413,0.59413,0.59413
34,0.71513,0.71513,0.71513,0.71513,0.71513
35,0.76832,0.76832,0.76832,0.76832,0.76832
36,0.7688,0.7688,0.7688,0.7688,0.7688
37,0.71477,0.71477,0.71477,0.71477,0.71477
38,0.62065,0.62065,0.62065,0.62065,0.62065
39,0.46025,0.46025,0.46025,0.46025,0.46025
40,0.2557,0.2557,0.2557,0.2557,0.2557
41,0.02477,0.02477,0.02477,0.02477,0.02477
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0.09406,0.09406,0.09406,0.09406,0.09406
56,0.40353,0.40353,0.40353,0.40353,0.40353
57,0.59467,0.59467,0.59467,0.59467,0.59467
58,0.49265,0.49265,0.49265,0.49265,0.49265
59,0.7287,0.7287,0.7287,0.7287,0.7287
60,0.74658,0.74658,0.74658,0.74658,0.74658
61,0.70265,0.70265,0.70265,0.70265,0.70265
62,0.59596,0.59596,0.59596,0.59596,0.59596
63,0.38452,0.38452,0.38452,0.38452,0.38452
64,0.23966,0.23966,0.23966,0.23966,0.23966
65,0.02404,0.02404,0.02404,0.02404,0.02404
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0.10707,0.10707,0.10707,0.10707,0.10707
80,0.40835,0.40835,0.40835,0.40835,0.40835
81,0.48106,0.48106,0.48106,0.48106,0.48106
82,0.24657,0.24657,0.24657,0.24657,0.24657
83,0.38394,0.38394,0.38394,0.38394,0.38394
84,0.57378,0.57378,0.57378,0.57378,0.57378
85,0.33919,0.33919,0.33919,0.33919,0.33919
86,0.23733,0.23733,0.23733,0.23733,0.23733
87,0.28706,0.28706,0.28706,0.28706,0.28706
88,0.23822,0.23822,0.23822,0.23822,0.23822
89,0.02435,0.02435,0.02435,0.02435,0.02435
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0.16237,0.16237,0.16237,0.16237,0.16237
104,0.40073,0.40073,0.40073,0.40073,0.40073
105,0.54225,0.54225,0.54225,0.54225,0.54225
106,0.6766,0.6766,0.6766,0.6766,0.6766
107,0.69838,0.69838,0.69838,0.69838,0.69838
108,0.73464,0.73464,0.73464,0.73464,0.73464
109,0.67883,0.67883,0.67883,0.67883,0.67883
110,0.56025,0.56025,0.56025,0.56025,0.56025
111,0.21033,0.21033,0.21033,0.21033,0.21033
112,0.23237,0.23237,0.23237,0.23237,0.23237
113,0.01758,0.01758,0.01758,0.01758,0.01758
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0.17254,0.17254,0.17254,0.17254,0.17254
128,0.39458,0.39458,0.39458,0.39458,0.39458
129,0.56386,0.56386,0.56386,0.56386,0.56386
130,0.68154,0.68154,0.68154,0.68154,0.68154
131,0.73684,0.73684,0.73684,0.73684,0.73684
132,0.73994,0.73994,0.73994,0.73994,0.73994
133,0.68599,0.68599,0.68599,0.68599,0.68599
134,0.59433,0.59433,0.59433,0.59433,0.59433
135,0.43708,0.43708,0.43708,0.43708,0.43708
136,0.2455,0.2455,0.2455,0.2455,0.2455
137,0.02429,0.02429,0.02429,0.02429,0.02429
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0,0,0,0
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
151,0.1688,0.1688,0.1688,0.1688,0.1688
152,0.39439,0.39439,0.39439,0.39439,0.39439
153,0.55319,0.55319,0.55319,0.55319,0.55319
154,0.67954,0.67954,0.67954,0.67954,0.67954
155,0.72495,0.72495,0.72495,0.72495,0.72495
156,0.73112,0.73112,0.73112,0.73112,0.73112
157,0.66995,0.66995,0.66995,0.66995,0.66995
158,0.58732,0.58732,0.58732,0.58732,0.58732
159,0.44023,0.44023,0.44023,0.44023,0.44023
160,0.24576,0.24576,0.24576,0.24576,0.24576
161,0.02468,0.02468,0.02468,0.02468,0.02468
162,0,0,0,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,0,0,0,0
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,0,0,0,0,0
173,0,0,0,0,0
174,0,0,0,0,0
175,0.17266,0.17266,0.17266,0.17266,0.17266
176,0.3925,0.3925,0.3925,0.3925,0.3925
177,0.55914,0.55914,0.55914,0.55914,0.55914
178,0.67764,0.67764,0.67764,0.67764,0.67764
179,0.73449,0.73449,0.73449,0.73449,0.73449
180,0.74585,0.74585,0.74585,0.74585,0.74585
181,0.68648,0.68648,0.68648,0.68648,0.68648
182,0.59208,0.59208,0.59208,0.59208,0.59208
183,0.44408,0.44408,0.44408,0.44408,0.44408
184,0.24505,0.24505,0.24505,0.24505,0.24505
185,0.02882,0.02882,0.02882,0.02882,0.02882
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,0,0,0,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,0,0,0,0
197,0,0,0,0,0
198,0,0,0,0,0
199,0.17639,0.17639,0.17639,0.17639,0.17639
200,0.4014,0.4014,0.4014,0.4014,0.4014
201,0.57601,0.57601,0.57601,0.57601,0.57601
202,0.69551,0.69551,0.69551,0.69551,0.69551
203,0.74716,0.74716,0.74716,0.74716,0.74716
204,0.75729,0.75729,0.75729,0.75729,0.75729
205,0.70799,0.70799,0.70799,0.70799,0.70799
206,0.61396,0.61396,0.61396,0.61396,0.61396
207,0.45871,0.45871,0.45871,0.45871,0.45871
208,0.25895,0.25895,0.25895,0.25895,0.25895
209,0.03287,0.03287,0.03287,0.03287,0.03287
210,0,0,0,0,0
211,0,0,0,0,0
212,0,0,0,0,0
213,0,0,0,0,0
214,0,0,0,0,0
215,0,0,0,0,0
216,0,0,0,0,0
217,0,0,0,0,0
218,0,0,0,0,0
219,0,0,0,0,0
220,0,0,0,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,0.17331,0.17331,0.17331,0.17331,0.17331
224,0.40373,0.40373,0.40373,0.40373,0.40373
225,0.58108,0.58108,0.58108,0.58108,0.58108
226,0.70072,0.70072,0.70072,0.70072,0.70072
227,0.7554,0.7554,0.7554,0.7554,0.7554
228,0.77147,0.77147,0.77147,0.77147,0.77147
229,0.72086,0.72086,0.72086,0.72086,0.72086
230,0.61715,0.61715,0.61715,0.61715,0.61715
231,0.46394,0.46394,0.46394,0.46394,0.46394
232,0.25977,0.25977,0.25977,0.25977,0.25977
233,0.02547,0.02547,0.02547,0.02547,0.02547
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,0,0,0,0,0
240,0,0,0,0,0
241,0,0,0,0,0
242,0,0,0,0,0
243,0,0,0,0,0
244,0,0,0,0,0
245,0,0,0,0,0
246,0,0,0,0,0
247,0.17239,0.17239,0.17239,0.17239,0.17239
248,0.3945,0.3945,0.3945,0.3945,0.3945
249,0.5702,0.5702,0.5702,0.5702,0.5702
250,0.68684,0.68684,0.68684,0.68684,0.68684
251,0.74492,0.74492,0.74492,0.74492,0.74492
252,0.76069,0.76069,0.76069,0.76069,0.76069
253,0.71083,0.71083,0.71083,0.71083,0.71083
254,0.60863,0.60863,0.60863,0.60863,0.60863
255,0.45245,0.45245,0.45245,0.45245,0.45245
256,0.26342,0.26342,0.26342,0.26342,0.26342
257,0.03129,0.03129,0.03129,0.03129,0.03129
258,0,0,0,0,0
259,0,0,0,0,0
260,0,0,0,0,0
261,0,0,0,0,0
262,0,0,0,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,0,0,0
266,0,0,0,0,0
267,0,0,0,0,0
268,0,0,0,0,0
269,0,0,0,0,0
270,0,0,0,0,0
271,0.18759,0.18759,0.18759,0.18759,0.18759
272,0.39746,0.39746,0.39746,0.39746,0.39746
273,0.56566,0.56566,0.56566,0.56566,0.56566
274,0.68225,0.68225,0.68225,0.68225,0.68225
275,0.63342,0.63342,0.63342,0.63342,0.63342
276,0.68764,0.68764,0.68764,0.68764,0.68764
277,0.68347,0.68347,0.68347,0.68347,0.68347
278,0.60334,0.60334,0.60334,0.60334,0.60334
279,0.46012,0.46012,0.46012,0.46012,0.46012
280,0.265,0.265,0.265,0.265,0.265
281,0.03785,0.03785,0.03785,0.03785,0.03785
282,0,0,0,0,0
283,0,0,0,0,0
284,0,0,0,0,0
285,0,0,0,0,0
286,0,0,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,0,0,0,0,0
290,0,0,0,0,0
291,0,0,0,0,0
292,0,0,0,0,0
293,0,0,0,0,0
294,0,0,0,0,0
295,0.17247,0.17247,0.17247,0.17247,0.17247
296,0.38942,0.38942,0.38942,0.38942,0.38942
297,0.56013,0.56013,0.56013,0.56013,0.56013
298,0.67959,0.67959,0.67959,0.67959,0.67959
299,0.73952,0.73952,0.73952,0.73952,0.73952
300,0.75081,0.75081,0.75081,0.75081,0.75081
301,0.69794,0.69794,0.69794,0.69794,0.69794
302,0.60386,0.60386,0.60386,0.60386,0.60386
303,0.46239,0.46239,0.46239,0.46239,0.46239
304,0.27177,0.27177,0.27177,0.27177,0.27177
305,0.03812,0.03812,0.03812,0.03812,0.03812
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,0,0,0,0,0
311,0,0,0,0,0
312,0,0,0,0,0
313,0,0,0,0,0
314,0,0,0,0,0
315,0,0,0,0,0
316,0,0,0,0,0
317,0,0,0,0,0
318,0,0,0,0,0
319,0.17985,0.17985,0.17985,0.17985,0.17985
320,0.39774,0.39774,0.39774,0.39774,0.39774
321,0.54954,0.54954,0.54954,0.54954,0.54954
