year,discount_factor,annuity_res,annuity_res_inverter,annuity_battery,annuity_battery_inverter,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution
2026,0.9523809523809523,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43952.62346767484,0.0,0.0,198662.29026602703,189202.18120574002,0.0,189202.18120574002
2027,0.9070294784580498,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,180225.72100665994,0.0,180225.72100665994
2028,0.863837598531476,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,171643.5438158666,0.0,171643.5438158666
2029,0.8227024747918819,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149043,0.0,0.0,198698.8574098426,163470.04172939676,0.0,163470.04172939676
2030,0.7835261664684589,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,155685.7540279969,0.0,155685.7540279969
2031,0.7462153966366274,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149044,0.0,0.0,198698.8574098426,148272.14669333037,0.0,148272.14669333037
2032,0.7106813301301214,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149044,0.0,0.0,198698.8574098426,141211.56827936225,0.0,141211.56827936225
2033,0.676839362028687,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149045,0.0,0.0,198698.85740984263,134487.20788510694,0.0,134487.20788510694
2034,0.6446089162177971,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149045,0.0,0.0,198698.85740984263,128083.05512867327,0.0,128083.05512867327
2035,0.6139132535407591,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149043,0.0,0.0,198698.8574098426,121983.86202730784,344226.0774229324,121983.86202730784
