period,year,scenario,demand,supply_renewable,supply_generator,supply_grid_import,supply_battery_discharge,supply_lost_load,sink_battery_charge,sink_grid_export,balance_lhs,balance_residual
0,2026,scenario_1,17.312,0.0,0.0,0.0,17.312,0.0,0.0,0.0,17.312,0.0
0,2027,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2028,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2029,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2030,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2031,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2032,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2033,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2034,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
0,2035,scenario_1,17.312,0.0,17.312,0.0,0.0,0.0,0.0,0.0,17.312,0.0
1,2026,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2027,scenario_1,25.614,0.0,25.614,0.0,0.0,0.0,0.0,0.0,25.614,0.0
1,2028,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2029,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2030,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2031,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2032,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2033,scenario_1,25.614,0.0,0.0,0.0,25.614,0.0,0.0,0.0,25.614,0.0
1,2034,scenario_1,25.614,0.0,25.614,0.0,0.0,0.0,0.0,0.0,25.614,0.0
1,2035,scenario_1,25.614,0.0,25.614,0.0,0.0,0.0,0.0,0.0,25.614,0.0
2,2026,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
2,2027,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
2,2028,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2029,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2030,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2031,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2032,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2033,scenario_1,29.901,0.0,29.901,0.0,0.0,0.0,0.0,0.0,29.901,0.0
2,2034,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
2,2035,scenario_1,29.901,0.0,0.0,0.0,29.901,0.0,0.0,0.0,29.901,0.0
3,2026,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2027,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2028,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2029,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2030,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2031,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2032,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2033,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2034,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
3,2035,scenario_1,38.433,0.0,0.0,0.0,38.433,0.0,0.0,0.0,38.433,0.0
4,2026,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2027,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2028,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2029,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2030,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2031,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2032,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2033,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2034,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
4,2035,scenario_1,53.686,0.0,0.0,0.0,53.686,0.0,0.0,0.0,53.686,0.0
5,2026,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2027,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2028,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2029,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2030,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2031,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2032,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2033,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2034,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
5,2035,scenario_1,66.868,0.0,0.0,0.0,66.868,0.0,0.0,0.0,66.868,0.0
6,2026,scenario_1,10.6,0.29852155452706847,0.0,0.0,10.301478445472931,0.0,0.0,0.0,10.6,0.0
6,2027,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2028,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2029,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2030,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2031,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2032,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
6,2033,scenario_1,10.6,0.29852155452706847,10.301478445472931,0.0,0.0,0.0,0.0,0.0,10.6,0.0
