year,component,resource,technology_label,active_dc_capacity_kw,active_inverter_capacity_ac_kw,effective_ac_capacity_kw
2026,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2026,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2027,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2027,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2028,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2028,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2029,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2029,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2030,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2030,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2031,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2031,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2032,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2032,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2033,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2033,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2034,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2034,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
2035,renewable_inverter,Solar,Solar PV,742.9605637806582,619.1338031505485,619.1338031505485
2035,battery_inverter,,Battery inverter,,326.3097017507936,326.3097017507936
