year,component,resource,technology_label,active_inverter_capacity_ac_kw,peak_dispatch_or_power_kw,peak_utilization_pct,renewable_inverter_clipping_potential_kwh
2026,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2026,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2027,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2027,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2028,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2028,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2029,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2029,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2030,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2030,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2031,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2031,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2032,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2032,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2033,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2033,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2034,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2034,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
2035,battery_inverter,,Battery inverter,326.3097017507936,326.3097017507936,100.0,
2035,renewable_inverter,Solar,Solar PV,619.1338031505485,510.6027017507936,82.47049331703757,180238.14332012186
