year,scenario,total_demand_kwh,served_energy_kwh,lost_load_kwh,lost_load_fraction,total_res_kwh,renewable_potential_kwh,renewable_curtailment_kwh,renewable_curtailment_share,renewable_inverter_clipping_potential_kwh,renewable_active_inverter_capacity_ac_kw,generator_generation_kwh,grid_import_raw_kwh,grid_import_delivered_kwh,grid_export_delivered_kwh,grid_renewable_kwh,renewable_penetration,fuel_consumption,scope1_emissions_kgco2e,scope2_emissions_kgco2e,scope3_emissions_kgco2e,emissions_kgco2e,objective_value
2026,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985514.9633566226,1024080.3597734194,38565.39641679684,0.03765856463190988,180238.14332012186,619.1338031505485,118648.68963129412,0.0,0.0,0.0,0.0,0.8925442896891005,33899.625608941176,91189.99288805177,0.0,0.0,91189.99288805177,
2027,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2028,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2029,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2030,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2031,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2032,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2033,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2034,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2035,scenario_1,1059055.8900000001,1059055.8900000001,0.0,0.0,985464.9563608195,1024080.3597734194,38615.40341259993,0.03770739575666083,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924532144687258,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2026,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985514.9633566226,1024080.3597734194,38565.39641679684,0.03765856463190988,180238.14332012186,619.1338031505485,118648.68963129412,0.0,0.0,0.0,0.0,0.8925442896891005,33899.625608941176,91189.99288805177,0.0,0.0,91189.99288805177,
2027,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2028,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2029,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2030,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2031,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2032,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075619,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2033,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2034,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985753.0150788681,1024080.3597734194,38327.34469455131,0.03742611048905512,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924812629564727,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
2035,expected,1059055.8900000001,1059055.8900000001,0.0,0.0,985464.9563608195,1024080.3597734194,38615.40341259993,0.03770739575666083,180238.14332012186,619.1338031505485,118755.34380075618,0.0,0.0,0.0,0.0,0.8924532144687258,33930.09822878748,91271.96423543832,0.0,0.0,91271.96423543832,
