section,row_label,year,unit,value,secondary_label,value_secondary
summary_metrics,Net Present Cost (Expected),,,1534265.081799441,,
summary_metrics,LCOE,,/kWh,0.1876146001159375,,
summary_metrics,Investment cost (nominal),,,1534771.8594350324,,
summary_metrics,Investment cost (present),,,1534771.8594350324,,
investment_summary,Battery,,kWh,661395.35365832,present_value_investment_cost,661395.35365832
investment_summary,Battery inverter,,kW,52209.55228012697,present_value_investment_cost,52209.55228012697
investment_summary,Generator,,kW,41058.36152689436,present_value_investment_cost,41058.36152689436
investment_summary,Solar PV,,kW,668664.5074025923,present_value_investment_cost,668664.5074025923
investment_summary,Solar PV inverter,,kW_ac,111444.08456709873,present_value_investment_cost,111444.08456709873
expected_cost_components,Annualized CAPEX,Average yearly,/yr,154709.6667983522,,
expected_cost_components,Fixed O&M,Average yearly,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,Average yearly,/yr,40712.46116016436,,
expected_cost_components,Grid import cost,Average yearly,/yr,0.0,,
expected_cost_components,Grid export revenue,Average yearly,/yr,0.0,,
expected_cost_components,RES subsidy revenue,Average yearly,/yr,0.0,,
expected_cost_components,Lost load penalty,Average yearly,/yr,0.0,,
expected_cost_components,Emissions cost,Average yearly,/yr,0.0,,
expected_cost_components,Embedded emissions cost,Average yearly,/yr,0.0,,
expected_cost_components,TOTAL,Average yearly,/yr,198695.20069546104,,
expected_fixed_om,Renewables,Average yearly,/yr,13373.290148051845,,
expected_fixed_om,Renewables inverter,Average yearly,/yr,2228.881691341975,,
expected_fixed_om,Battery,Average yearly,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,Average yearly,/yr,1044.1910456025394,,
expected_fixed_om,Generator,Average yearly,/yr,1231.750845806831,,
expected_cost_components,Annualized CAPEX,2026,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2026,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2026,/yr,40679.550730730334,,
expected_cost_components,Grid import cost,2026,/yr,0.0,,
expected_cost_components,Grid export revenue,2026,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2026,/yr,0.0,,
expected_cost_components,Lost load penalty,2026,/yr,0.0,,
expected_cost_components,Emissions cost,2026,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2026,/yr,0.0,,
expected_cost_components,TOTAL,2026,/yr,198662.29026602703,,
expected_fixed_om,Renewables,2026,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2026,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2026,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2026,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2026,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2027,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2027,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2027,/yr,40716.11787454591,,
expected_cost_components,Grid import cost,2027,/yr,0.0,,
expected_cost_components,Grid export revenue,2027,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2027,/yr,0.0,,
expected_cost_components,Lost load penalty,2027,/yr,0.0,,
expected_cost_components,Emissions cost,2027,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2027,/yr,0.0,,
expected_cost_components,TOTAL,2027,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2027,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2027,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2027,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2027,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2027,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2028,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2028,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2028,/yr,40716.11787454591,,
expected_cost_components,Grid import cost,2028,/yr,0.0,,
expected_cost_components,Grid export revenue,2028,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2028,/yr,0.0,,
expected_cost_components,Lost load penalty,2028,/yr,0.0,,
expected_cost_components,Emissions cost,2028,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2028,/yr,0.0,,
expected_cost_components,TOTAL,2028,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2028,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2028,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2028,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2028,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2028,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2029,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2029,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2029,/yr,40716.11787454592,,
expected_cost_components,Grid import cost,2029,/yr,0.0,,
expected_cost_components,Grid export revenue,2029,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2029,/yr,0.0,,
expected_cost_components,Lost load penalty,2029,/yr,0.0,,
expected_cost_components,Emissions cost,2029,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2029,/yr,0.0,,
expected_cost_components,TOTAL,2029,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2029,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2029,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2029,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2029,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2029,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2030,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2030,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2030,/yr,40716.11787454591,,
expected_cost_components,Grid import cost,2030,/yr,0.0,,
expected_cost_components,Grid export revenue,2030,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2030,/yr,0.0,,
expected_cost_components,Lost load penalty,2030,/yr,0.0,,
expected_cost_components,Emissions cost,2030,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2030,/yr,0.0,,
expected_cost_components,TOTAL,2030,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2030,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2030,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2030,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2030,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2030,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2031,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2031,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2031,/yr,40716.11787454593,,
expected_cost_components,Grid import cost,2031,/yr,0.0,,
expected_cost_components,Grid export revenue,2031,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2031,/yr,0.0,,
expected_cost_components,Lost load penalty,2031,/yr,0.0,,
expected_cost_components,Emissions cost,2031,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2031,/yr,0.0,,
expected_cost_components,TOTAL,2031,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2031,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2031,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2031,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2031,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2031,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2032,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2032,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2032,/yr,40716.11787454593,,
expected_cost_components,Grid import cost,2032,/yr,0.0,,
expected_cost_components,Grid export revenue,2032,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2032,/yr,0.0,,
expected_cost_components,Lost load penalty,2032,/yr,0.0,,
expected_cost_components,Emissions cost,2032,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2032,/yr,0.0,,
expected_cost_components,TOTAL,2032,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2032,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2032,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2032,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2032,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2032,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2033,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2033,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2033,/yr,40716.11787454594,,
expected_cost_components,Grid import cost,2033,/yr,0.0,,
expected_cost_components,Grid export revenue,2033,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2033,/yr,0.0,,
expected_cost_components,Lost load penalty,2033,/yr,0.0,,
expected_cost_components,Emissions cost,2033,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2033,/yr,0.0,,
expected_cost_components,TOTAL,2033,/yr,198698.85740984263,,
expected_fixed_om,Renewables,2033,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2033,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2033,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2033,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2033,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2034,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2034,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2034,/yr,40716.11787454594,,
expected_cost_components,Grid import cost,2034,/yr,0.0,,
expected_cost_components,Grid export revenue,2034,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2034,/yr,0.0,,
expected_cost_components,Lost load penalty,2034,/yr,0.0,,
expected_cost_components,Emissions cost,2034,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2034,/yr,0.0,,
expected_cost_components,TOTAL,2034,/yr,198698.85740984263,,
expected_fixed_om,Renewables,2034,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2034,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2034,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2034,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2034,/yr,1231.7508458068307,,
expected_cost_components,Annualized CAPEX,2035,/yr,154709.66679835218,,
expected_cost_components,Fixed O&M,2035,/yr,31106.020803969594,,
expected_cost_components,Fuel cost,2035,/yr,40716.11787454592,,
expected_cost_components,Grid import cost,2035,/yr,0.0,,
expected_cost_components,Grid export revenue,2035,/yr,0.0,,
expected_cost_components,RES subsidy revenue,2035,/yr,0.0,,
expected_cost_components,Lost load penalty,2035,/yr,0.0,,
expected_cost_components,Emissions cost,2035,/yr,0.0,,
expected_cost_components,Embedded emissions cost,2035,/yr,0.0,,
expected_cost_components,TOTAL,2035,/yr,198698.8574098426,,
expected_fixed_om,Renewables,2035,/yr,13373.290148051847,,
expected_fixed_om,Renewables inverter,2035,/yr,2228.8816913419746,,
expected_fixed_om,Battery,2035,/yr,13227.907073166401,,
expected_fixed_om,Battery inverter,2035,/yr,1044.1910456025394,,
expected_fixed_om,Generator,2035,/yr,1231.7508458068307,,
