year,scenario,weight,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost
2026,scenario_1,1.0,40679.550730730334,0.0,0.0,0.0,40679.550730730334,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,0.0,71785.57153469992
2027,scenario_1,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2028,scenario_1,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2029,scenario_1,1.0,40716.11787454592,0.0,0.0,0.0,40716.11787454592,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2030,scenario_1,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2031,scenario_1,1.0,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552
2032,scenario_1,1.0,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552
2033,scenario_1,1.0,40716.11787454594,0.0,0.0,0.0,40716.11787454594,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851553
2034,scenario_1,1.0,40716.11787454594,0.0,0.0,0.0,40716.11787454594,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543846,0.0,0.0,0.0,0.0,0.0,91271.96423543846,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851553
2035,scenario_1,1.0,40716.11787454592,0.0,0.0,0.0,40716.11787454592,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2026,Expected,1.0,40679.550730730334,0.0,0.0,0.0,40679.550730730334,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,0.0,71785.57153469992
2027,Expected,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2028,Expected,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2029,Expected,1.0,40716.11787454592,0.0,0.0,0.0,40716.11787454592,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2030,Expected,1.0,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155
2031,Expected,1.0,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552
2032,Expected,1.0,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552
2033,Expected,1.0,40716.11787454594,0.0,0.0,0.0,40716.11787454594,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851553
