year,discount_factor,annuity_res,annuity_res_inverter,annuity_battery,annuity_battery_inverter,annuity_generator,opex_expected,externalities_expected,embedded_expected,total_before_discount,discounted_total,post_horizon_annuity_tail_discounted,discounted_objective_contribution,fuel_cost,grid_import_cost,grid_export_revenue,res_subsidy_revenue,annual_variable_cost,fixed_om_res,fixed_om_res_inverter,fixed_om_battery,fixed_om_battery_inverter,fixed_om_generator,fixed_om_total,lost_load_penalty,scope1_emissions,scope2_emissions,scope3_res_emissions,scope3_battery_emissions,scope3_generator_emissions,scope3_emissions,total_emissions,scope1_emissions_cost,scope2_emissions_cost,scope3_res_emissions_cost,scope3_battery_emissions_cost,scope3_generator_emissions_cost,emissions_cost,total_operating_cost,annuity_total,renewables_cost,battery_cost,generator_cost,grid_cost,reliability_cost
2026,0.9523809523809523,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43952.62346767484,0.0,0.0,198662.29026602703,189202.18120574002,0.0,189202.18120574002,40679.550730730334,0.0,0.0,0.0,40679.550730730334,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,91189.99288805194,0.0,0.0,0.0,0.0,0.0,0.0,71785.57153469992,154709.66679835218,73782.33979609901,104955.8099801394,47757.08855681369,0.0,0.0
2027,0.9070294784580498,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,180225.72100665994,0.0,180225.72100665994,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155,154709.66679835218,73782.33979609901,104955.8099801394,47793.655700629264,0.0,0.0
2028,0.863837598531476,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,171643.5438158666,0.0,171643.5438158666,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,91271.9642354385,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155,154709.66679835218,73782.33979609901,104955.8099801394,47793.655700629264,0.0,0.0
2029,0.8227024747918819,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149043,0.0,0.0,198698.8574098426,163470.04172939676,0.0,163470.04172939676,40716.11787454592,0.0,0.0,0.0,40716.11787454592,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155,154709.66679835218,73782.33979609901,104955.8099801394,47793.65570062927,0.0,0.0
2030,0.7835261664684589,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149042,0.0,0.0,198698.8574098426,155685.7540279969,0.0,155685.7540279969,40716.11787454591,0.0,0.0,0.0,40716.11787454591,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155,154709.66679835218,73782.33979609901,104955.8099801394,47793.655700629264,0.0,0.0
2031,0.7462153966366274,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149044,0.0,0.0,198698.8574098426,148272.14669333037,0.0,148272.14669333037,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552,154709.66679835218,73782.33979609901,104955.8099801394,47793.655700629286,0.0,0.0
2032,0.7106813301301214,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149044,0.0,0.0,198698.8574098426,141211.56827936225,0.0,141211.56827936225,40716.11787454593,0.0,0.0,0.0,40716.11787454593,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851552,154709.66679835218,73782.33979609901,104955.8099801394,47793.655700629286,0.0,0.0
2033,0.676839362028687,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149045,0.0,0.0,198698.85740984263,134487.20788510694,0.0,134487.20788510694,40716.11787454594,0.0,0.0,0.0,40716.11787454594,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851553,154709.66679835218,73782.33979609901,104955.8099801394,47793.65570062929,0.0,0.0
2034,0.6446089162177971,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149045,0.0,0.0,198698.85740984263,128083.05512867327,0.0,128083.05512867327,40716.11787454594,0.0,0.0,0.0,40716.11787454594,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543846,0.0,0.0,0.0,0.0,0.0,91271.96423543846,0.0,0.0,0.0,0.0,0.0,0.0,71822.13867851553,154709.66679835218,73782.33979609901,104955.8099801394,47793.65570062929,0.0,0.0
2035,0.6139132535407591,47443.38990899282,10736.778047712372,85653.7241596486,5029.98770172187,5845.786980276525,43989.19061149043,0.0,0.0,198698.8574098426,121983.86202730784,344226.0774229324,121983.86202730784,40716.11787454592,0.0,0.0,0.0,40716.11787454592,13373.290148051847,2228.8816913419746,13227.907073166401,1044.1910456025394,1231.7508458068307,31106.020803969594,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,91271.96423543847,0.0,0.0,0.0,0.0,0.0,0.0,71822.1386785155,154709.66679835218,73782.33979609901,104955.8099801394,47793.65570062927,0.0,0.0
