meta,low,base,high
hour,typical_year,typical_year,typical_year
0,12.984,17.312,21.64
1,19.2105,25.614,32.0175
2,22.42575,29.901,37.37625
3,28.82475,38.433,48.04125
4,40.2645,53.686,67.1075
5,50.151,66.868,83.585
6,7.95,10.6,13.25
7,166.76775,222.357,277.94625
8,188.20575,250.941,313.67625
9,172.37775,229.837,287.29625
10,103.4835,137.978,172.4725
11,9.99675,13.329,16.66125
12,80.337,107.116,133.895
13,8.6475,11.53,14.4125
14,85.83075,114.441,143.05125
15,80.49975,107.333,134.16625
16,98.661,131.548,164.435
17,132.906,177.208,221.51
18,205.743,274.324,342.905
19,220.9965,294.662,368.3275
20,194.10225,258.803,323.50375
21,118.9665,158.622,198.2775
22,51.096,68.128,85.16
23,18.92775,25.237,31.54625
24,15.92925,21.239,26.54875
25,18.56175,24.749,30.93625
26,2.87175,3.829,4.78625
27,34.10925,45.479,56.84875
28,51.81075,69.081,86.35125
29,63.60675,84.809,106.01125
30,81.09375,108.125,135.15625
31,153.96225,205.283,256.60375
32,185.51625,247.355,309.19375
33,151.6305,202.174,252.7175
34,98.1435,130.858,163.5725
35,92.259,123.012,153.765
36,70.29375,93.725,117.15625
37,74.26275,99.017,123.77125
38,76.03125,101.375,126.71875
39,85.5105,114.014,142.5175
40,104.9235,139.898,174.8725
41,149.75475,199.673,249.59125
42,204.13275,272.177,340.22125
43,226.45425,301.939,377.42375
44,168.567,224.756,280.945
45,117.222,156.296,195.37
46,61.389,81.852,102.315
47,28.383,37.844,47.305
48,2.39625,3.195,3.99375
49,32.17125,42.895,53.61875
50,32.49525,43.327,54.15875
51,40.566,54.088,67.61
52,44.5185,59.358,74.1975
53,77.4315,103.242,129.0525
54,111.52125,148.695,185.86875
55,151.67175,202.229,252.78625
56,215.01825,286.691,358.36375
57,174.28725,232.383,290.47875
58,123.234,164.312,205.39
59,95.307,127.076,158.845
60,71.547,95.396,119.245
61,63.18375,84.245,105.30625
62,73.32225,97.763,122.20375
63,87.96225,117.283,146.60375
64,102.801,137.068,171.335
65,140.871,187.828,234.785
66,191.46975,255.293,319.11625
67,21.402,28.536,35.67
68,175.61625,234.155,292.69375
69,123.3645,164.486,205.6075
70,5.88375,7.845,9.80625
71,36.1065,48.142,60.1775
72,14.76975,19.693,24.61625
73,25.67175,34.229,42.78625
74,26.3355,35.114,43.8925
75,30.05625,40.075,50.09375
76,55.00875,73.345,91.68125
77,58.959,78.612,98.265
78,92.28225,123.043,153.80375
79,175.35975,233.813,292.26625
80,19.266,25.688,32.11
81,168.56925,224.759,280.94875
82,133.03125,177.375,221.71875
83,94.9665,126.622,158.2775
84,83.97375,111.965,139.95625
85,71.46225,95.283,119.10375
86,81.426,108.568,135.71
87,98.418,131.224,164.03
88,124.77525,166.367,207.95875
89,136.38825,181.851,227.31375
90,183.11175,244.149,305.18625
91,211.54725,282.063,352.57875
92,184.50075,246.001,307.50125
93,11.1105,14.814,18.5175
94,55.41225,73.883,92.35375
95,31.458,41.944,52.43
96,15.24225,20.323,25.40375
97,19.40925,25.879,32.34875
98,30.357,40.476,50.595
99,33.579,44.772,55.965
100,42.09975,56.133,70.16625
101,58.08675,77.449,96.81125
102,98.9805,131.974,164.9675
103,169.53225,226.043,282.55375
104,191.12925,254.839,318.54875
105,174.93675,233.249,291.56125
106,114.23475,152.313,190.39125
107,89.7285,119.638,149.5475
108,75.21075,100.281,125.35125
109,96.7005,128.934,161.1675
110,79.587,106.116,132.645
111,104.4465,139.262,174.0775
112,100.66275,134.217,167.77125
113,144.927,193.236,241.545
114,185.946,247.928,309.91
115,215.69775,287.597,359.49625
116,187.85625,250.475,313.09375
117,128.112,170.816,213.52
118,60.9495,81.266,101.5825
119,2.53725,3.383,4.22875
120,29.37225,39.163,48.95375
121,33.2265,44.302,55.3775
122,3.414,4.552,5.69
123,44.577,59.436,74.295
124,43.62975,58.173,72.71625
125,60.822,81.096,101.37
126,102.38925,136.519,170.64875
127,125.98725,167.983,209.97875
128,132.26475,176.353,220.44125
129,132.78825,177.051,221.31375
130,138.96825,185.291,231.61375
131,122.514,163.352,204.19
132,90.792,121.056,151.32
133,87.228,116.304,145.38
134,9.27,12.36,15.45
135,104.0445,138.726,173.4075
136,129.0645,172.086,215.1075
137,152.15625,202.875,253.59375
138,176.5905,235.454,294.3175
139,176.13975,234.853,293.56625
140,153.46875,204.625,255.78125
141,96.88575,129.181,161.47625
142,53.74125,71.655,89.56875
143,3.51,4.68,5.85
144,26.13525,34.847,43.55875
145,29.544,39.392,49.24
146,31.8765,42.502,53.1275
147,3.7725,5.03,6.2875
148,53.47275,71.297,89.12125
149,67.83525,90.447,113.05875
150,88.09575,117.461,146.82625
151,119.69475,159.593,199.49125
152,146.73375,195.645,244.55625
153,12.66975,16.893,21.11625
154,11.46675,15.289,19.11125
155,110.8155,147.754,184.6925
156,115.0245,153.366,191.7075
157,104.64375,139.525,174.40625
158,10.64925,14.199,17.74875
159,134.2755,179.034,223.7925
160,144.00975,192.013,240.01625
161,159.5355,212.714,265.8925
162,180.249,240.332,300.415
163,18.2355,24.314,30.3925
164,137.751,183.668,229.585
165,92.95725,123.943,154.92875
166,62.68275,83.577,104.47125
167,21.804,29.072,36.34
168,18.37875,24.505,30.63125
169,31.28025,41.707,52.13375
170,35.4045,47.206,59.0075
171,39.16425,52.219,65.27375
172,39.948,53.264,66.58
173,60.49575,80.661,100.82625
174,82.35675,109.809,137.26125
175,160.1805,213.574,266.9675
176,195.7515,261.002,326.2525
177,161.71125,215.615,269.51875
178,103.49925,137.999,172.49875
179,81.94575,109.261,136.57625
180,68.80425,91.739,114.67375
181,102.4635,136.618,170.7725
182,98.43075,131.241,164.05125
183,97.34475,129.793,162.24125
184,119.223,158.964,198.705
185,148.56825,198.091,247.61375
186,195.39375,260.525,325.65625
187,20.571,27.428,34.285
188,183.3855,244.514,305.6425
189,121.8195,162.426,203.0325
190,48.4755,64.634,80.7925
191,16.863,22.484,28.105
192,25.53825,34.051,42.56375
193,28.7415,38.322,47.9025
194,32.71125,43.615,54.51875
195,43.941,58.588,73.235
196,47.193,62.924,78.655
197,5.68575,7.581,9.47625
198,88.21275,117.617,147.02125
199,160.31925,213.759,267.19875
200,180.63825,240.851,301.06375
201,149.9205,199.894,249.8675
202,10.13625,13.515,16.89375
203,78.7305,104.974,131.2175
204,76.311,101.748,127.185
205,80.37675,107.169,133.96125
206,95.54775,127.397,159.24625
207,130.27725,173.703,217.12875
208,119.12475,158.833,198.54125
209,13.52175,18.029,22.53625
210,206.48175,275.309,344.13625
211,227.20425,302.939,378.67375
212,174.38925,232.519,290.64875
213,125.9115,167.882,209.8525
214,61.20375,81.605,102.00625
215,30.48225,40.643,50.80375
216,30.54225,40.723,50.90375
217,32.36625,43.155,53.94375
218,3.60225,4.803,6.00375
219,33.00825,44.011,55.01375
220,43.1415,57.522,71.9025
221,56.75925,75.679,94.59875
222,89.421,119.228,149.035
223,155.214,206.952,258.69
224,199.9395,266.586,333.2325
225,166.28775,221.717,277.14625
226,121.73475,162.313,202.89125
227,89.24325,118.991,148.73875
228,82.02225,109.363,136.70375
229,89.21775,118.957,148.69625
230,88.0785,117.438,146.7975
231,88.917,118.556,148.195
232,112.81125,150.415,188.01875
233,143.61675,191.489,239.36125
234,187.773,250.364,312.955
235,221.94825,295.931,369.91375
236,198.1665,264.222,330.2775
237,122.052,162.736,203.42
238,57.24075,76.321,95.40125
239,29.8245,39.766,49.7075
240,24.3465,32.462,40.5775
241,27.4845,36.646,45.8075
242,32.5395,43.386,54.2325
243,32.64375,43.525,54.40625
244,36.3045,48.406,60.5075
245,4.67625,6.235,7.79375
246,91.2765,121.702,152.1275
247,152.2185,202.958,253.6975
248,206.046,274.728,343.41
249,161.82375,215.765,269.70625
250,9.222,12.296,15.37
251,67.983,90.644,113.305
252,75.64875,100.865,126.08125
253,82.15725,109.543,136.92875
254,91.3215,121.762,152.2025
255,103.23075,137.641,172.05125
256,111.2355,148.314,185.3925
257,139.911,186.548,233.185
258,199.42725,265.903,332.37875
259,233.8995,311.866,389.8325
260,184.95225,246.603,308.25375
261,113.0235,150.698,188.3725
262,52.80225,70.403,88.00375
263,26.60025,35.467,44.33375
264,12.37875,16.505,20.63125
265,19.37625,25.835,32.29375
266,19.49325,25.991,32.48875
267,29.72925,39.639,49.54875
268,44.0985,58.798,73.4975
269,5.04225,6.723,8.40375
270,96.6705,128.894,161.1175
271,168.5115,224.682,280.8525
272,183.15825,244.211,305.26375
273,152.3415,203.122,253.9025
274,100.81425,134.419,168.02375
275,8.31675,11.089,13.86125
276,74.3805,99.174,123.9675
277,92.2155,122.954,153.6925
278,107.706,143.608,179.51
279,9.285,12.38,15.475
280,102.1755,136.234,170.2925
281,148.94175,198.589,248.23625
282,189.4485,252.598,315.7475
283,207.7095,276.946,346.1825
284,180.4755,240.634,300.7925
285,119.97375,159.965,199.95625
286,58.23825,77.651,97.06375
287,25.1205,33.494,41.8675
288,26.12475,34.833,43.54125
289,31.182,41.576,51.97
290,36.15825,48.211,60.26375
291,42.5415,56.722,70.9025
292,46.81125,62.415,78.01875
293,63.39525,84.527,105.65875
294,93.13575,124.181,155.22625
295,129.384,172.512,215.64
296,139.08525,185.447,231.80875
297,129.41775,172.557,215.69625
298,117.84225,157.123,196.40375
299,102.5805,136.774,170.9675
300,95.00775,126.677,158.34625
301,98.71275,131.617,164.52125
302,127.90725,170.543,213.17875
303,119.34075,159.121,198.90125
304,150.702,200.936,251.17
305,158.547,211.396,264.245
306,186.71175,248.949,311.18625
307,179.16375,238.885,298.60625
308,135.9435,181.258,226.5725
309,83.07825,110.771,138.46375
310,46.8645,62.486,78.1075
311,31.2405,41.654,52.0675
312,11.40675,15.209,19.01125
313,18.03525,24.047,30.05875
314,26.24475,34.993,43.74125
315,4.23525,5.647,7.05875
316,43.659,58.212,72.765
317,61.74075,82.321,102.90125
318,10.06725,13.423,16.77875
319,123.94275,165.257,206.57125
320,135.06975,180.093,225.11625
321,141.07275,188.097,235.12125
322,118.91625,158.555,198.19375
323,133.431,177.908,222.385
324,110.223,146.964,183.705
325,92.06775,122.757,153.44625
326,106.377,141.836,177.295
327,117.34725,156.463,195.57875
328,135.42825,180.571,225.71375
329,142.55025,190.067,237.58375
330,178.80825,238.411,298.01375
331,175.188,233.584,291.98
332,127.03725,169.383,211.72875
333,74.1855,98.914,123.6425
334,36.9195,49.226,61.5325
335,19.2645,25.686,32.1075
336,14.71575,19.621,24.52625
337,32.86725,43.823,54.77875
338,32.55825,43.411,54.26375
339,33.867,45.156,56.445
340,41.4465,55.262,69.0775
341,62.133,82.844,103.555
342,10.51725,14.023,17.52875
343,168.96675,225.289,281.61125
344,196.1745,261.566,326.9575
345,148.08525,197.447,246.80875
346,89.09625,118.795,148.49375
347,73.926,98.568,123.21
348,80.8905,107.854,134.8175
349,79.986,106.648,133.31
350,94.9455,126.594,158.2425
351,95.13375,126.845,158.55625
352,100.29525,133.727,167.15875
353,135.4845,180.646,225.8075
354,214.1295,285.506,356.8825
355,218.049,290.732,363.415
356,165.4785,220.638,275.7975
357,127.37775,169.837,212.29625
358,68.21925,90.959,113.69875
359,2.8425,3.79,4.7375
360,17.4705,23.294,29.1175
361,20.0205,26.694,33.3675
362,40.10325,53.471,66.83875
363,39.351,52.468,65.585
364,44.00925,58.679,73.34875
365,58.79775,78.397,97.99625
366,97.89075,130.521,163.15125
367,159.342,212.456,265.57
368,203.334,271.112,338.89
369,170.13825,226.851,283.56375
370,119.5395,159.386,199.2325
371,85.038,113.384,141.73
372,67.57575,90.101,112.62625
373,67.90275,90.537,113.17125
374,9.97875,13.305,16.63125
375,8.55675,11.409,14.26125
376,116.49225,155.323,194.15375
377,146.29275,195.057,243.82125
378,190.04475,253.393,316.74125
379,207.156,276.208,345.26
380,172.8255,230.434,288.0425
381,122.622,163.496,204.37
382,62.31075,83.081,103.85125
383,34.971,46.628,58.285
384,15.48525,20.647,25.80875
385,15.159,20.212,25.265
386,22.0365,29.382,36.7275
387,31.7085,42.278,52.8475
388,36.05775,48.077,60.09625
389,50.016,66.688,83.36
390,91.00725,121.343,151.67875
391,170.26275,227.017,283.77125
392,212.06775,282.757,353.44625
393,190.58025,254.107,317.63375
394,12.29775,16.397,20.49625
395,87.8145,117.086,146.3575
396,71.94375,95.925,119.90625
397,100.7655,134.354,167.9425
398,79.6245,106.166,132.7075
399,87.62925,116.839,146.04875
400,105.18075,140.241,175.30125
401,153.01275,204.017,255.02125
402,197.31225,263.083,328.85375
403,214.54725,286.063,357.57875
404,188.54925,251.399,314.24875
405,128.241,170.988,213.735
406,38.57625,51.435,64.29375
407,17.37825,23.171,28.96375
408,29.2845,39.046,48.8075
409,33.25275,44.337,55.42125
410,34.98675,46.649,58.31125
411,43.554,58.072,72.59
412,51.23625,68.315,85.39375
413,59.364,79.152,98.94
414,93.19425,124.259,155.32375
415,158.59125,211.455,264.31875
416,191.95875,255.945,319.93125
417,161.313,215.084,268.855
418,106.63275,142.177,177.72125
419,89.877,119.836,149.795
420,71.202,94.936,118.67
421,66.84375,89.125,111.40625
422,77.00475,102.673,128.34125
423,108.89625,145.195,181.49375
424,103.3695,137.826,172.2825
425,122.976,163.968,204.96
426,195.33975,260.453,325.56625
427,205.6515,274.202,342.7525
428,16.84425,22.459,28.07375
429,111.879,149.172,186.465
430,41.8245,55.766,69.7075
431,19.68675,26.249,32.81125
432,29.03325,38.711,48.38875
433,34.62075,46.161,57.70125
434,37.95675,50.609,63.26125
435,33.45975,44.613,55.76625
436,41.90925,55.879,69.84875
437,52.22325,69.631,87.03875
438,88.0965,117.462,146.8275
439,157.3035,209.738,262.1725
440,192.9045,257.206,321.5075
441,168.04425,224.059,280.07375
442,106.16025,141.547,176.93375
443,11.89725,15.863,19.82875
444,77.367,103.156,128.945
445,78.46725,104.623,130.77875
446,90.2115,120.282,150.3525
447,10.22775,13.637,17.04625
448,115.413,153.884,192.355
449,121.32975,161.773,202.21625
450,17.115,22.82,28.525
451,214.74675,286.329,357.91125
452,178.51275,238.017,297.52125
453,125.44425,167.259,209.07375
454,51.65925,68.879,86.09875
455,16.39425,21.859,27.32375
456,26.88075,35.841,44.80125
457,30.72375,40.965,51.20625
458,32.16675,42.889,53.61125
459,33.948,45.264,56.58
460,45.65925,60.879,76.09875
461,63.573,84.764,105.955
462,95.031,126.708,158.385
463,130.46475,173.953,217.44125
464,145.749,194.332,242.915
465,139.923,186.564,233.205
466,138.21975,184.293,230.36625
467,11.4915,15.322,19.1525
468,116.1405,154.854,193.5675
469,109.7265,146.302,182.8775
470,105.477,140.636,175.795
471,11.49525,15.327,19.15875
472,134.5185,179.358,224.1975
473,165.47775,220.637,275.79625
474,16.3575,21.81,27.2625
475,17.508,23.344,29.18
476,131.29725,175.063,218.82875
477,78.807,105.076,131.345
478,41.85225,55.803,69.75375
479,29.4645,39.286,49.1075
480,29.00175,38.669,48.33625
481,3.13125,4.175,5.21875
482,32.84925,43.799,54.74875
483,32.8755,43.834,54.7925
484,38.39775,51.197,63.99625
485,52.63875,70.185,87.73125
486,98.8005,131.734,164.6675
487,128.856,171.808,214.76
488,125.70975,167.613,209.51625
489,111.41625,148.555,185.69375
490,103.10925,137.479,171.84875
491,87.15225,116.203,145.25375
492,9.75075,13.001,16.25125
493,84.87825,113.171,141.46375
494,104.32575,139.101,173.87625
495,135.06975,180.093,225.11625
496,144.70575,192.941,241.17625
497,162.4785,216.638,270.7975
498,178.07775,237.437,296.79625
499,166.23075,221.641,277.05125
500,139.54275,186.057,232.57125
501,100.37175,133.829,167.28625
502,71.65275,95.537,119.42125
503,37.01625,49.355,61.69375
504,25.7265,34.302,42.8775
505,30.73875,40.985,51.23125
506,33.39375,44.525,55.65625
507,34.728,46.304,57.88
508,37.449,49.932,62.415
509,51.50325,68.671,85.83875
510,94.3515,125.802,157.2525
511,17.97525,23.967,29.95875
