meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
0;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
1;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
2;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
3;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
4;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
5;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
6;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
7;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
8;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
9;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
10;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
11;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
12;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
13;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
14;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
15;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
16;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
17;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
18;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
19;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
20;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
21;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
22;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
23;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
24;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
25;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
26;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
27;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
28;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
29;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
30;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
31;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
32;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
33;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951;56,951
34;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119;57,119
35;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
36;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
37;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
38;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
39;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
40;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
41;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
42;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
43;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
44;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
45;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
